Response,Explanatory1
135.877,37.363
141.503,68.153
140.176,72.407
143.043,36.624
139.439,46.401
141.113,41.462
140.464,45.713
141.889,53.446
142.58,48.743
137.424,15.382
142.117,12.303
139.449,29.808
141.205,29.339
140.195,27.124
141.066,71.366
142.038,29.408
139.049,7.18
140.034,31.047
140.11,-56.437
139.905,55.192
141.375,23.854
140.24,63.407
139.349,20.417
137.523,74.875
141.201,25.97
140.099,15.833
138.182,28.862
139.678,66.22
142.529,38.956
139.391,22.743
139.375,59.159
139.23,45.559
139.188,11.737
138.935,24.426
138.515,51.676
139.958,35.699
144.184,57.508
137.42,45.787
141.054,11.327
140.154,42.413
136.06,77.099
140.158,45.101
138.69,53.827
140.108,39.658
140.258,21.912
140.573,16.548
140.79,39.66
140.754,56.996
145.091,56.846
139.86,49.505
140.124,7.9
141.151,32.639
138.756,37.449
138.385,28.841
139.905,29.16
139.607,35.201
141.018,33.436
145.714,55.289
140.07,6.293
139.671,35.861
142.258,43.457
139.602,9.125
143.985,44.072
143.04,8.891
140.819,18.415
139.481,101.003
139.672,65.904
137.874,43.739
140.096,9.076
139.234,26.22
132.632,60.809
139.083,32.882
136.931,111.73
141.823,42.308
141.364,31.457
138.523,25.704
140.076,87.288
139.131,84.815
136.01,38.196
139.668,-31.716
139.209,56.586
142.288,43.816
140.207,35.175
136.622,32.979
140.185,30.354
140.576,-4.374
139.558,29.052
138.672,20.255
140.712,39.313
142.573,23.792
142.293,30.578
137.858,40.379
140.359,25.402
138.908,16.835
139.958,29.452
141.371,36.319
138.429,70.203
139.464,37.817
141.168,34.391
139.636,32.022
141.522,17.118
140.042,65.493
136.441,61.428
138.895,27.787
138.403,28.039
139.988,34.769
140.245,67.857
139.655,31.077
140.235,38.271
140.768,47.459
138.729,99.755
140.552,34.809
140.125,27.595
141.135,62.633
139.953,33.996
139.573,36.971
140.179,-2.311
136.829,43.293
139.703,-22.994
140.769,62.684
140.35,39.042
141.646,40.592
141.404,12.787
141.272,23.9
140.498,30.02
138.95,21.174
142.362,57.254
144.46,38.262
140.335,46.52
140.845,-11.104
135.996,43.921
141.302,30.467
140.052,31.77
139.384,8.363
138.673,49.95
140.111,82.195
139.981,45.992
140.081,35.275
139.356,23.657
140.712,37.378
143.385,57.508
139.268,21.996
140.095,-24.377
140.446,-15.591
139.474,2.474
140.039,20.472
140.193,62.667
141.059,18.326
139.241,26.022
146.414,40.121
139.785,11.933
140.803,20.16
141.724,29.241
135.458,52.712
139.362,26.963
140.538,40.048
142.557,27.505
139.896,38.528
139.558,43.191
141.056,34.182
138.661,33.812
141.647,12.726
140.721,57.275
139.059,0.928
139.462,8.306
139.391,34.97
136.956,35.302
139.934,22.035
143.455,70.028
138.028,50.868
140.638,-44.016
142.242,22.679
141.974,29.06
139.345,26.323
140.911,51.127
140.19,30.276
139.233,46.019
133.013,64.917
137.088,46.033
138.471,31.99
138.207,13.156
143.049,64.65
136.507,36.084
140.251,1.985
141.612,27.287
140.164,33.676
139.165,40.878
139.009,53.983
141.355,71.98
142.769,25.975
142.427,30.067
143.093,35.18
134.295,17.078
138.803,52.933
136.254,24.163
140.839,28.169
144.391,33.864
139.731,32.972
141.187,28.439
142.07,27.302
139.161,-6.508
139.887,40.617
139.462,20.104
137.948,30.226
138.491,25.416
140.492,56.379
139.226,36.28
141.163,28.235
139.953,28.224
142.666,25.224
139.642,22.445
139.591,61.512
138.725,60.996
139.399,28.111
137.1,41.606
138.991,40.32
140.708,73.675
144.452,29.238
140.147,38.693
140.105,35.237
140.045,35.149
141.181,25.561
140.654,4.249
139.054,38.42
140.693,49.854
140.905,29.932
140.561,27.477
140.818,41.175
140.716,3.835
139.199,40.754
140.903,12.657
139.594,34.652
150.951,0.397
139.893,33.167
141.405,7.76
138.122,17.502
140.48,-5.631
141.051,41.574
142.188,37.0
138.142,37.116
144.391,11.406
140.314,17.15
141.865,65.265
140.362,38.511
141.068,20.717
140.197,22.013
139.905,34.794
140.026,22.01
139.283,25.524
140.074,15.218
140.453,27.899
140.282,30.171
140.636,39.333
140.05,41.756
140.388,37.328
137.851,4.954
139.534,35.073
140.825,40.091
138.448,27.856
141.545,41.464
138.855,24.652
139.387,34.913
138.69,18.043
139.264,34.788
140.732,-23.136
138.02,48.163
139.908,67.325
140.192,34.662
139.371,36.286
140.118,33.758
141.099,12.039
141.344,26.079
139.978,34.582
140.1,45.418
134.824,14.669
138.923,7.78
141.528,58.724
141.108,35.498
140.591,47.22
140.416,32.568
142.323,44.266
141.896,23.861
138.188,43.746
138.551,13.924
141.302,18.214
141.101,25.726
139.275,75.935
132.576,38.53
140.816,83.655
139.137,37.795
132.779,58.245
141.153,9.951
143.019,20.38
145.296,26.709
137.375,20.729
138.612,44.412
141.169,-9.504
144.342,40.877
137.334,19.741
141.373,13.932
141.82,23.987
137.088,59.988
142.297,6.511
137.732,48.323
143.604,63.587
137.187,29.2
139.654,22.868
140.34,75.369
141.771,53.734
139.963,59.903
140.632,40.545
137.036,42.863
139.0,39.388
144.579,31.087
139.834,43.29
140.475,31.986
141.436,61.207
139.267,33.928
140.971,33.063
140.326,37.963
136.817,-22.304
139.689,43.254
141.439,69.321
139.083,32.361
141.338,64.561
140.203,23.327
138.168,11.304
141.576,64.213
141.001,38.733
139.139,55.941
139.273,37.055
139.947,33.996
137.655,5.012
143.608,62.667
141.137,60.855
138.22,10.271
138.783,10.751
140.591,43.93
138.45,43.266
144.021,43.892
141.153,25.304
139.506,29.926
138.459,55.248
142.326,35.016
140.041,48.598
138.911,-27.816
139.453,38.957
141.332,44.03
139.525,60.076
140.01,44.457
141.344,1.935
138.753,31.729
140.439,39.369
140.161,48.055
140.36,45.497
139.322,3.121
138.414,32.002
141.258,-6.028
142.292,32.848
136.694,56.839
140.479,33.028
138.174,34.239
140.739,12.682
141.166,50.105
142.289,72.993
140.395,69.201
140.699,70.979
141.21,39.076
137.711,18.492
140.194,24.976
141.074,29.086
138.868,61.386
139.482,-3.658
139.563,59.793
143.438,34.947
137.466,30.33
140.122,53.287
139.634,44.286
140.12,59.969
140.392,28.982
141.606,34.367
139.843,72.057
139.057,25.902
140.155,30.448
140.966,33.686
138.32,133.509
140.281,37.638
141.162,52.717
142.785,17.321
140.477,26.874
140.133,69.269
140.467,27.697
137.885,2.098
139.275,16.216
139.661,18.175
139.896,25.307
140.143,38.681
140.873,43.306
138.482,13.896
141.388,31.685
140.525,41.08
139.204,119.509
140.571,23.891
139.7,39.745
140.748,87.136
141.135,56.966
140.321,36.844
140.566,22.628
143.249,22.316
139.195,41.728
141.963,35.031
140.275,20.442
141.848,17.783
138.753,35.388
141.032,69.361
140.138,43.648
139.827,21.592
142.955,39.714
140.258,18.582
142.456,59.851
139.343,13.189
140.052,18.65
139.002,37.777
141.29,52.066
140.585,24.737
137.859,38.502
139.85,21.259
139.479,48.749
140.292,110.824
141.007,5.163
140.731,42.281
141.036,13.726
140.633,66.972
139.352,38.227
139.169,-17.436
140.222,55.245
140.238,16.275
139.831,1.586
142.327,44.845
140.833,48.079
140.586,35.983
140.053,49.468
140.597,19.712
139.93,46.266
140.133,31.038
138.487,41.333
141.664,27.01
139.251,21.83
139.148,14.839
141.22,11.354
135.006,41.163
142.015,37.768
140.065,-22.991
140.042,99.983
139.824,-1.312
138.535,-5.319
139.727,51.497
139.971,28.395
133.597,45.974
141.093,17.4
139.356,47.827
137.918,23.306
139.778,39.797
142.037,22.516
141.368,44.433
141.953,72.854
142.796,26.512
139.87,42.578
137.018,-26.035
139.058,21.026
138.281,49.207
144.158,58.009
141.205,10.914
138.512,11.226
138.335,78.972
143.333,54.748
138.856,41.124
144.413,30.468
136.921,36.538
138.721,19.943
142.747,23.853
144.498,27.449
142.215,6.488
139.308,39.996
147.821,25.618
138.759,0.613
142.108,78.271
141.467,27.619
137.865,69.218
139.162,30.664
144.94,40.032
140.407,35.906
139.835,12.889
137.62,-55.84
140.001,20.023
140.72,36.054
144.529,34.651
140.536,53.741
140.329,98.697
142.126,44.094
139.052,18.188
138.228,-1.757
141.731,34.641
140.712,35.595
140.359,32.951
140.423,67.094
140.092,23.99
143.715,17.631
141.974,11.292
137.329,64.139
139.249,23.118
141.414,36.555
137.031,35.596
139.543,66.705
141.803,57.747
139.94,39.946
140.303,40.069
137.676,27.805
141.509,35.186
141.569,29.838
148.302,28.715
139.395,38.618
138.992,32.807
138.137,11.809
139.873,76.344
141.63,36.061
144.784,27.21
141.129,35.397
140.231,32.152
140.192,35.699
138.621,12.126
137.833,34.941
140.339,32.842
144.686,30.497
140.491,44.413
140.249,33.076
140.237,32.726
138.312,23.871
137.191,22.317
140.915,112.375
139.593,21.297
140.462,38.073
143.504,36.538
140.633,41.726
140.515,15.706
140.111,41.09
141.916,42.388
141.303,16.657
139.41,19.621
142.026,43.391
140.51,-9.601
139.02,29.84
138.707,78.53
140.823,84.027
138.802,49.424
137.802,35.603
145.305,33.493
140.614,36.266
141.64,47.024
137.076,51.798
139.359,28.426
142.067,33.991
138.573,45.541
140.825,46.83
144.02,43.761
140.819,25.36
140.701,42.152
140.418,69.37
138.929,23.266
141.192,33.257
138.174,22.018
140.174,-7.389
140.658,32.8
140.627,31.832
140.102,20.679
137.386,84.912
140.722,41.48
140.094,18.303
140.197,51.482
137.07,13.667
139.814,50.536
139.59,46.447
133.185,23.892
141.494,34.673
143.511,32.675
140.892,78.314
141.562,0.096
140.324,32.181
145.621,45.238
140.801,17.678
140.772,41.037
137.669,-56.773
138.313,30.081
140.712,26.1
142.545,26.821
141.221,92.226
141.863,54.195
139.603,66.083
140.258,55.985
139.878,24.918
139.511,31.756
142.916,22.034
138.229,2.88
140.999,13.201
141.347,24.007
140.382,16.135
144.591,14.641
138.793,15.861
140.521,19.47
141.687,35.707
139.83,104.077
140.417,28.765
138.98,27.364
139.477,33.623
141.45,28.005
139.583,20.235
141.201,53.302
141.391,29.298
141.873,-49.875
140.319,31.571
139.479,63.697
139.48,46.235
142.057,59.821
139.67,19.448
138.484,1.218
140.229,31.778
139.211,39.703
140.479,13.208
140.183,36.489
144.314,20.732
142.631,-51.043
140.98,26.467
138.295,-38.515
139.681,33.733
141.429,41.95
141.44,25.729
141.151,45.866
139.439,20.674
136.665,47.834
141.032,-33.133
139.894,51.312
140.491,32.041
141.144,1.681
138.728,40.37
140.46,-32.783
142.209,21.882
134.809,28.605
138.583,1.195
135.598,51.524
138.198,2.848
140.537,87.52
142.705,33.972
138.308,18.166
141.976,43.722
144.55,112.252
140.838,29.201
140.923,21.106
141.261,46.247
140.61,28.092
139.557,25.584
139.072,119.344
139.993,21.97
140.578,41.733
139.953,28.157
140.184,34.123
140.151,38.753
138.027,53.296
137.355,39.88
139.225,31.908
142.595,27.977
142.18,93.128
140.471,-6.714
145.272,63.814
141.368,26.576
137.305,3.606
141.408,21.126
142.804,55.917
140.903,8.546
140.319,25.66
138.92,28.139
141.944,32.59
139.754,30.403
138.998,-18.231
140.724,23.559
140.747,24.324
139.667,21.35
139.843,22.525
140.514,0.136
141.614,30.67
140.492,86.695
140.615,18.533
140.142,-9.094
139.056,40.503
139.59,82.938
137.524,40.078
134.71,-58.986
137.906,-16.035
138.661,53.79
139.384,42.541
138.693,44.819
140.69,32.143
138.454,15.044
140.395,48.315
139.335,31.638
138.874,-38.796
139.649,28.812
143.596,28.469
142.942,69.928
138.357,19.114
138.732,73.278
140.443,38.514
139.853,57.234
140.248,3.431
140.195,39.47
140.767,13.333
139.138,-1.034
139.622,48.405
141.88,36.122
144.288,27.591
140.877,-27.759
140.423,41.923
138.751,41.63
140.606,49.666
139.453,22.238
141.173,56.646
140.054,47.745
140.567,67.835
139.958,36.352
139.321,25.201
139.202,38.111
139.881,49.573
140.163,-1.037
138.961,13.879
141.96,20.816
139.243,93.167
141.61,39.128
139.481,69.456
137.43,43.272
144.01,68.312
140.114,34.2
141.41,21.811
139.859,99.562
139.992,35.893
143.513,47.105
139.189,17.597
140.935,26.268
139.93,38.983
140.138,14.666
140.256,6.326
140.651,12.221
139.906,43.988
138.95,80.401
140.795,46.75
139.485,44.438
132.691,55.531
138.582,38.736
138.486,24.309
139.084,23.84
139.294,22.855
132.782,31.507
143.111,47.076
139.565,20.668
138.977,52.933
140.916,43.833
139.98,15.988
140.479,-34.804
