Response,Explanatory1,Explanatory2,Explanatory3
133.485,43.613,127.321,-13.594
167.917,-124.57,145.378,-7.331
142.447,-128.57,133.931,26.414
38.331,-153.885,128.816,18.21
157.06,-84.324,124.232,34.497
114.358,-124.508,121.162,-0.191
120.006,-194.151,162.036,22.015
179.503,-135.072,170.756,-14.821
195.382,-158.167,87.971,63.308
53.033,-98.815,130.931,55.398
186.872,-89.114,112.98,-16.806
148.943,-150.001,156.286,75.638
164.467,-160.049,115.276,18.805
186.02,-138.166,132.236,24.752
185.884,-98.708,165.731,-6.314
99.24,-138.465,132.966,-11.938
148.352,-91.842,140.341,-12.235
127.358,-68.451,94.256,-67.138
154.392,-161.803,130.516,27.253
140.021,-181.276,111.333,60.14
162.426,-131.271,116.982,-18.392
230.664,-90.184,193.313,78.607
138.131,-100.317,120.335,-12.184
141.004,-99.278,136.108,12.602
163.453,-121.381,132.387,9.347
109.155,-164.293,119.317,15.781
102.904,-123.499,110.256,9.233
237.999,-73.733,187.652,12.966
155.225,-131.737,97.244,17.879
27.947,-134.271,119.661,4.674
139.943,-150.92,127.563,1.122
150.702,-86.366,132.785,-9.391
181.769,-135.708,128.651,38.443
147.477,-156.42,124.238,-46.752
-24.847,-102.212,106.974,-37.18
147.812,-185.597,175.781,1.953
149.327,-125.749,143.492,-0.834
159.847,-90.613,124.89,-3.489
161.185,-98.041,122.336,26.685
181.225,-312.979,167.762,-25.626
119.699,-167.621,119.694,138.292
144.687,-120.546,127.108,125.217
119.744,-45.399,126.293,0.405
129.987,-99.744,140.634,5.046
161.068,-181.252,101.984,55.261
184.105,-275.655,126.796,-26.853
202.766,-88.983,135.261,-13.515
164.582,-136.608,126.729,-91.683
82.093,-123.828,121.882,16.544
150.232,-90.319,154.944,64.578
106.955,-116.232,111.673,10.598
146.167,-292.854,154.903,-10.208
151.654,-161.687,116.877,-56.996
164.346,-186.585,124.071,-37.33
129.764,-83.916,113.188,-144.169
98.906,-117.611,99.284,12.378
90.808,-135.767,122.569,19.093
158.923,-101.794,69.046,-30.984
196.54,-113.415,150.881,-52.044
145.986,-121.784,152.467,18.407
240.851,-140.237,122.589,-14.465
144.944,-130.372,90.113,-8.683
232.301,-102.611,144.677,18.331
155.187,-54.283,142.21,19.677
84.644,-127.126,126.808,29.35
167.611,-269.25,162.416,4.938
83.644,-212.199,121.492,9.302
143.364,-114.563,119.228,46.254
219.962,11.878,84.11,14.591
223.966,-104.692,128.651,-44.328
201.994,-125.171,130.928,25.04
207.033,-101.9,113.954,22.495
227.694,-275.244,98.801,33.253
176.909,-84.42,114.228,9.34
174.009,-189.9,120.293,-141.001
152.148,-153.027,157.239,32.345
145.152,-149.139,122.322,12.059
242.31,-118.918,122.817,4.725
191.272,-112.262,105.148,-71.634
167.246,-129.205,125.194,54.215
165.431,-128.897,104.882,-57.844
153.876,-135.491,141.809,1.464
160.258,-107.142,140.321,53.203
137.7,-108.251,102.423,-29.027
104.151,-112.365,102.2,14.715
170.945,-166.379,146.876,-48.11
151.87,-163.616,112.989,1.965
117.609,-141.097,125.242,1.618
189.239,-106.043,137.903,-17.444
165.582,-94.493,126.969,-29.471
139.808,-136.685,150.374,22.401
114.247,-135.308,124.472,6.879
215.282,-123.177,129.148,27.674
144.128,-184.186,167.497,1.696
141.198,-141.712,146.936,147.308
137.803,-88.916,123.66,1.968
123.047,-132.109,125.621,29.408
155.876,-186.796,158.435,-6.276
203.617,-191.724,165.712,25.344
112.556,-98.955,137.531,30.99
164.078,-134.164,119.601,-8.058
183.502,-108.762,121.183,-45.615
154.918,-102.789,131.519,17.776
122.59,-128.306,116.61,-12.092
102.204,-160.909,67.175,11.886
144.019,-135.671,137.392,-53.923
112.185,-158.63,135.246,24.211
135.119,-122.527,127.637,3.379
193.543,-64.341,101.213,-64.882
186.143,-122.766,125.428,8.489
151.345,-85.217,138.96,-21.222
151.489,-119.008,106.336,21.834
135.741,-97.253,146.025,-13.59
233.099,-80.62,126.904,-0.642
151.061,-118.609,118.773,4.547
179.325,-202.731,131.184,44.655
115.438,-141.005,129.419,25.797
115.243,-157.457,136.018,52.411
187.967,-16.386,140.086,22.551
157.936,-144.133,126.549,45.043
191.297,-63.219,164.981,-52.988
121.021,-133.238,127.206,-1.248
