Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
67.213,232.557,102.922,223.266,-102.003
3.717,189.23,123.655,182.53,37.749
-53.06,209.448,34.4,154.911,-12.215
-22.205,198.736,131.764,196.582,-25.773
23.99,171.827,59.672,204.112,-33.85
-67.24,190.64,135.736,181.827,-52.708
-30.979,202.858,168.142,186.891,40.971
19.872,177.826,111.717,207.326,-4.97
16.121,164.425,88.913,217.767,-51.576
29.893,217.49,114.01,198.925,-29.052
17.292,195.081,-76.236,215.836,-40.765
-36.997,212.503,119.809,209.907,-30.205
13.775,196.083,89.24,196.43,-34.154
-10.841,190.955,102.479,186.385,-12.763
-33.439,193.439,105.165,199.437,-28.723
55.07,189.639,108.279,172.195,-45.066
27.857,201.852,65.386,186.147,-74.156
-1.194,209.906,88.438,209.4,-52.489
32.416,199.361,172.437,179.798,-41.217
54.49,212.096,77.307,247.635,-0.723
10.327,191.873,52.744,193.628,-18.336
15.342,224.111,81.912,152.126,-4.376
14.067,197.544,122.533,210.909,-70.656
28.88,207.552,224.985,157.304,-33.946
37.52,195.284,52.583,178.467,-27.348
9.665,180.283,81.9,199.918,10.699
1.501,193.168,57.295,206.305,-31.735
8.379,170.562,78.596,232.406,-29.833
24.8,195.4,-19.157,196.66,-51.849
12.493,192.416,48.416,203.685,-37.199
-7.508,208.273,175.908,173.834,-11.162
-0.39,216.394,89.754,214.109,15.779
6.954,178.689,67.391,191.192,-75.456
-4.329,199.565,45.584,174.018,-67.833
-10.307,190.373,49.681,179.303,-37.619
31.265,192.102,54.627,190.512,-36.382
3.377,194.333,121.591,219.678,-55.556
-12.525,222.013,43.98,188.458,-33.878
31.293,164.656,66.738,168.206,-41.601
-4.96,208.506,113.488,167.796,-42.13
-18.953,198.979,161.522,173.634,-60.314
53.124,209.972,39.482,170.387,-76.659
8.875,189.976,69.919,171.133,-38.777
12.568,178.919,55.208,185.443,77.165
11.048,177.956,79.216,207.144,-6.907
35.85,194.701,84.576,227.138,-26.313
-2.484,236.69,105.811,208.177,-23.156
10.606,188.608,93.097,198.436,15.494
-8.339,195.066,94.219,173.419,-40.582
-8.389,190.68,89.042,249.295,-8.102
8.416,201.566,68.482,241.86,-61.983
15.975,178.757,69.92,207.246,24.971
15.433,186.459,115.614,202.341,-145.115
25.74,158.849,117.375,114.033,-61.595
3.762,198.61,129.663,155.096,-56.285
21.191,201.861,79.15,231.121,-23.956
25.833,197.657,94.418,215.24,-16.712
36.482,195.434,103.021,202.727,-122.415
-44.072,142.668,99.815,167.33,-46.941
16.091,214.997,63.818,191.615,-6.265
9.896,192.913,81.776,235.806,-83.56
67.283,200.984,118.044,164.737,-20.009
1.285,182.803,77.476,184.891,-97.348
-6.428,192.794,64.67,185.822,-44.937
21.785,229.417,89.638,142.768,-38.841
3.974,169.366,102.479,157.985,20.592
35.266,190.357,91.488,205.275,-75.162
-13.06,191.942,56.755,270.316,-33.331
19.927,186.182,44.518,186.893,-18.739
51.991,164.46,102.363,178.6,-39.398
-8.159,214.151,85.954,172.175,-37.28
-1.976,199.678,164.949,195.345,-46.422
7.695,192.288,151.651,228.283,33.581
-24.324,224.523,108.982,195.24,-54.889
