Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
-148.207,-0.514,-36.362,-54.223,-33.367,91.382,6.598,128.861,-152.054,134.092
-148.222,-15.046,-80.426,-74.034,-85.329,36.943,7.187,163.733,-135.003,105.78
-148.158,-3.606,-137.496,-9.05,-46.475,85.679,7.475,152.666,-159.907,77.067
-142.275,-11.11,-82.528,-68.343,-31.238,102.052,0.227,144.247,-175.487,100.048
-153.521,-17.519,-4.459,-49.752,-97.114,67.166,11.484,142.769,-162.708,106.555
-176.911,-68.752,-78.845,-52.963,-138.587,58.281,10.148,140.525,-157.257,113.252
-136.563,-70.956,40.21,-62.668,-145.365,73.065,17.456,133.971,-154.576,97.365
-153.149,-22.134,-85.661,-21.171,-26.769,111.963,1.294,143.305,-170.444,117.473
-146.828,-41.242,-51.516,-49.018,-49.671,79.801,30.076,170.964,-157.209,105.973
-149.744,-18.996,-91.242,-37.791,-17.68,96.068,14.379,169.539,-166.755,110.837
-156.401,8.19,-59.28,-58.717,-34.111,90.936,7.746,177.55,-138.88,110.528
-150.514,-19.812,-89.31,-25.125,-74.813,81.489,2.894,142.41,-144.536,112.571
-171.67,-75.937,-55.11,-81.586,-30.609,106.115,-0.669,158.778,-165.088,106.155
-147.206,-17.125,-71.064,-6.639,-20.629,155.821,-3.015,123.526,-166.732,122.915
-147.413,-82.243,-90.016,-59.129,15.773,77.279,6.353,128.642,-140.587,105.971
-120.427,-25.04,-84.517,-72.022,36.109,87.947,7.66,151.19,-154.198,113.685
-145.548,-45.564,-22.339,-66.958,-18.285,71.408,5.258,126.386,-144.183,110.616
-142.341,6.97,-15.228,-95.753,-134.844,76.054,5.393,152.581,-141.604,114.423
-141.894,-1.67,-122.486,-44.598,-20.942,81.251,2.187,135.419,-158.068,114.879
-159.936,58.189,-81.138,-56.345,-89.693,95.985,6.306,193.455,-142.373,111.513
-137.774,-29.731,-73.072,-57.187,-38.802,88.233,2.673,133.302,-160.21,114.335
-169.001,-13.4,-71.021,-49.481,-2.319,88.732,5.904,114.623,-156.896,122.709
-146.716,-31.635,-50.873,-53.648,-54.407,109.73,10.75,145.15,-150.626,101.064
-149.088,-52.342,-95.627,-56.252,-18.008,79.888,3.593,131.366,-171.885,106.946
-149.919,-44.386,-41.491,-63.534,-23.08,91.813,19.825,121.14,-146.108,117.979
-147.931,-35.417,-74.34,-52.486,-13.319,100.128,17.993,122.627,-158.942,114.534
-152.511,-27.607,-122.221,-64.97,-121.799,87.82,13.46,205.919,-161.39,126.934
-150.533,-10.083,-67.485,-50.295,2.196,137.183,27.3,88.87,-126.345,108.315
-135.151,-21.949,54.951,-39.537,-30.235,94.342,5.96,182.584,-134.518,109.599
-146.827,-25.77,-9.411,-53.846,-4.433,16.985,11.079,152.048,-136.746,102.289
-145.845,-39.752,-75.433,-63.808,-51.024,113.776,1.428,113.684,-171.3,122.707
-140.605,-6.551,-109.001,-50.387,-19.674,82.773,-0.119,144.748,-166.025,119.352
-165.203,-25.849,-125.584,-59.349,-55.79,98.393,4.42,167.247,-165.966,93.33
-143.914,20.172,-104.111,-54.417,9.223,130.987,4.878,109.351,-151.741,120.185
-144.389,-21.216,-45.262,-55.238,-26.484,72.421,-3.656,102.76,-151.671,108.027
-149.596,-21.551,-63.284,-67.85,-53.008,53.395,-2.606,124.146,-140.977,109.789
-138.475,-24.094,-5.008,-40.838,6.123,47.218,12.214,248.808,-152.558,127.912
-149.219,-9.939,-54.73,-35.503,-9.796,89.443,3.841,95.878,-128.512,114.65
-182.914,-71.61,24.229,-26.727,-22.392,135.574,3.269,123.033,-130.63,124.401
-136.805,11.356,-89.104,-37.765,-32.952,87.239,5.249,135.162,-151.338,109.5
-149.147,-21.97,-121.419,-70.895,-57.739,13.584,7.888,116.454,-161.541,117.412
-163.087,11.144,-67.9,-100.54,25.027,88.569,7.26,131.967,-165.021,87.019
-145.742,38.894,-61.094,-68.661,47.523,71.183,11.451,143.385,-154.515,105.092
-163.337,-1.711,-67.579,-55.391,-24.134,80.984,2.001,145.797,-152.046,119.717
-156.863,-67.559,-60.678,-35.609,43.561,95.825,5.842,145.788,-155.551,88.811
-196.336,-34.965,-138.119,-52.295,-94.661,87.045,-11.844,163.753,-149.078,120.6
-131.29,-7.377,-80.991,-64.738,-19.016,89.6,-0.209,128.105,-160.452,126.514
-141.866,11.392,-28.139,-56.131,-75.308,99.584,11.761,120.693,-153.919,111.513
-144.355,-96.367,-82.677,-95.941,-77.984,30.614,4.75,148.986,-147.473,112.128
-148.079,22.431,-98.461,-42.215,-48.907,71.424,7.448,149.421,-188.55,84.818
-131.405,0.062,-131.609,-52.974,-75.305,83.828,12.174,137.564,-141.593,134.414
-141.215,-17.577,-59.275,-56.113,-37.3,86.987,5.245,141.504,-150.099,116.119
-147.091,19.764,-45.896,-76.469,-31.567,91.545,-2.669,132.225,-129.305,119.099
-135.594,-14.896,-56.232,-53.535,-10.995,79.553,6.447,193.241,-151.349,127.783
-145.556,-10.585,-72.661,-72.207,-21.257,94.054,6.375,180.181,-153.604,140.445
-133.485,73.296,-22.413,-58.45,-26.957,113.427,8.639,153.684,-154.92,87.53
-155.398,-35.76,-73.37,-58.199,-1.069,76.765,2.529,132.691,-161.415,122.274
-143.838,-27.744,-74.855,-59.008,2.801,99.239,8.837,146.743,-153.617,113.698
-146.369,-23.194,-26.855,-68.046,-114.164,99.313,9.17,156.936,-158.929,116.105
-147.209,18.069,-125.454,-40.389,-72.109,84.957,33.349,124.1,-142.468,96.507
-151.187,-15.289,-74.157,-61.129,18.383,96.314,-2.552,130.138,-153.61,101.147
-118.527,-15.341,-119.141,-55.756,-43.595,73.017,-4.938,143.629,-152.979,129.774
-145.9,-16.695,-52.139,-57.479,-10.333,85.17,7.22,138.956,-155.352,109.619
-146.035,5.954,-144.638,-63.958,-43.549,68.225,5.721,129.538,-160.449,110.331
-120.56,-17.53,-115.498,-26.705,-24.841,100.7,4.187,141.853,-167.9,111.606
-135.508,131.224,-33.971,-24.124,-35.085,83.355,-0.467,182.788,-137.964,139.038
-154.67,-22.182,-75.795,-66.066,-47.42,72.109,9.046,166.475,-154.708,117.102
-140.582,-41.318,24.32,-45.074,-21.562,84.402,6.457,170.48,-143.165,110.254
-130.571,17.135,-60.006,-33.408,-1.508,77.564,-6.512,135.421,-151.101,107.942
-149.123,65.644,-68.823,-76.3,14.338,81.291,3.832,139.649,-162.296,112.379
-149.062,-21.357,-90.741,-58.839,-18.482,41.936,9.805,139.506,-155.886,113.655
-132.079,-1.779,-65.3,-69.035,-47.155,86.207,-6.314,138.787,-136.621,110.293
-148.028,-27.087,-57.495,-82.892,-28.084,80.979,6.019,141.266,-170.16,91.765
-156.31,-86.928,-83.976,-33.298,27.424,99.66,-1.73,143.813,-144.009,122.936
-146.525,43.814,-86.274,-66.245,63.108,88.943,3.47,150.464,-150.406,64.332
-153.568,-36.544,-61.814,-68.645,-17.233,73.833,6.611,146.684,-135.443,104.496
-125.588,-30.035,-76.431,-67.284,-21.091,89.675,9.775,151.413,-157.708,121.019
-139.51,-8.715,-33.822,-49.174,-5.022,84.04,14.786,84.718,-154.949,110.719
-144.713,-19.865,-66.55,-47.168,-33.265,89.797,7.052,156.947,-150.472,108.35
-135.131,14.969,-75.716,-65.065,8.848,85.528,-1.912,85.245,-152.296,105.122
