Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
-0.991,83.082,-75.45,64.543,-8.9,-159.862,-184.048,-126.599,43.94,-10.243,103.312,136.309,-141.902,5.033,-105.13
-102.768,79.504,-75.656,82.785,-25.418,-134.655,-199.305,-43.394,35.552,21.557,107.82,135.398,-249.129,-225.746,-95.423
-42.749,78.621,-75.9,84.077,-91.246,-192.53,-196.278,-125.282,44.114,30.082,105.252,146.628,-199.616,-59.394,-121.708
-73.52,93.312,-75.469,81.039,40.248,-144.65,-135.179,-62.978,47.86,43.37,107.42,140.788,-186.061,-47.013,-133.979
-68.761,83.148,-76.618,67.782,2.622,-188.451,-199.28,-128.692,45.408,23.29,107.306,140.197,-73.398,-62.854,-86.814
-91.812,77.5,-75.903,56.024,22.659,-167.871,-209.563,-103.388,40.548,7.574,107.094,135.022,-281.682,-33.552,-91.838
-77.166,62.534,-75.519,71.57,-14.186,-171.527,-188.31,-110.574,44.601,13.889,108.827,139.681,-212.602,-95.838,-103.15
-54.606,88.377,-75.861,44.713,-113.437,-144.691,-182.992,-103.427,36.87,-18.884,108.661,144.164,-205.646,-9.877,-71.804
-101.988,92.013,-74.193,99.907,4.968,-119.978,-211.045,-165.852,45.21,22.066,108.296,136.82,-152.417,-78.957,-93.328
-91.35,99.403,-75.932,93.257,-52.407,-150.137,-189.098,-70.015,44.468,22.402,106.524,138.556,-165.75,-7.986,-102.241
-99.995,19.011,-74.794,60.076,-27.038,-122.738,-137.15,-108.372,32.875,3.909,110.15,135.803,-202.541,-76.992,-94.424
-19.055,80.846,-75.322,78.948,-27.207,-111.833,-183.792,-84.644,38.377,19.592,108.12,137.739,-165.077,38.536,-95.336
-136.972,68.886,-75.086,65.744,94.042,-140.145,-187.04,-92.118,47.337,42.925,106.329,131.69,-123.938,-4.78,-97.59
-125.844,65.581,-75.639,93.017,46.401,-134.709,-203.674,-99.492,53.638,31.529,108.811,139.0,-172.365,23.888,-124.573
-91.663,64.078,-75.858,200.959,-14.365,-149.077,-181.448,-130.339,45.27,-6.77,108.898,138.337,-16.489,-113.092,-98.348
-127.986,73.867,-76.018,180.321,-11.17,-154.977,-156.457,-162.789,43.778,19.949,111.747,141.6,-214.458,-40.548,-121.522
-94.373,78.551,-76.229,69.174,89.551,-158.158,-177.478,-125.108,48.756,-45.539,108.931,157.467,-79.614,87.404,-103.39
-155.913,81.201,-76.678,82.791,33.86,-71.841,-158.638,-116.117,46.484,54.671,107.318,140.869,-161.144,-58.983,-92.815
-100.988,77.639,-75.8,140.832,12.434,-179.611,-231.339,-106.315,44.535,54.0,105.908,139.777,38.515,-10.062,-100.46
-33.419,97.561,-75.644,73.435,26.345,-164.655,-205.576,-93.454,43.761,31.421,108.458,138.405,-132.922,-87.105,-91.19
-105.164,78.114,-75.495,87.064,-12.228,-164.113,-203.101,-88.948,41.018,-9.356,109.182,138.22,-145.58,-11.761,-93.767
-66.326,69.617,-75.552,98.216,-11.585,-143.106,-180.237,-84.664,46.247,-30.31,106.412,142.57,-139.872,-54.694,-108.179
-98.874,115.038,-74.942,80.295,45.636,-166.079,-148.887,-45.494,42.476,20.611,108.093,137.703,-159.969,-90.555,-109.188
