Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-44.96,151.407,-110.168,35.343,-1.732,29.019,28.698,-164.757,-133.946,127.906,-22.758,99.257,-20.14,-87.504,-139.352,-183.411,169.195,92.522,-11.686,165.883
-0.749,93.784,-96.882,-16.466,59.569,-2.709,28.209,-215.205,-116.159,122.261,-60.145,150.318,-19.233,-83.532,-158.15,-162.051,216.615,74.987,-5.013,156.195
-2.134,140.665,-99.423,25.968,34.375,21.341,35.914,-164.645,-115.801,125.251,8.83,150.048,-17.311,-83.844,-115.532,-156.494,194.109,-18.962,18.248,175.941
-0.242,151.036,-157.559,34.825,17.452,13.386,68.331,-173.425,-183.686,118.307,-1.502,143.097,-20.632,-79.803,-115.068,-160.443,191.861,-64.773,22.429,175.935
-47.011,76.385,-118.903,-3.326,17.881,-7.542,21.797,-211.996,-73.981,137.018,-26.291,164.337,-18.355,-83.264,-76.231,-218.159,189.156,100.956,13.66,165.836
11.359,139.623,-110.911,-67.76,42.961,33.846,22.263,-261.981,-143.06,129.318,-28.277,156.05,-20.49,-82.717,-90.728,-153.598,191.081,3.04,17.052,177.944
-17.276,145.69,-121.516,-10.457,-12.055,42.427,25.193,-155.051,-104.625,103.197,-33.836,148.614,-19.989,-81.661,-131.006,-162.945,172.23,77.921,44.315,150.234
-4.18,184.525,-107.45,29.403,-19.518,31.326,38.486,-173.192,-102.576,129.548,-16.106,158.882,-18.595,-84.302,-110.119,-172.697,198.927,27.603,-23.275,162.215
-16.418,130.459,-94.94,-12.405,30.853,37.288,93.286,-169.603,-210.325,77.505,-45.268,152.879,-18.29,-82.764,-70.642,-187.939,188.526,65.957,53.776,164.24
-15.672,127.07,-113.348,-41.07,-26.123,-27.064,25.039,-159.391,-154.044,136.565,-23.257,150.59,-20.175,-72.181,-125.654,-164.738,182.043,74.605,11.926,176.785
