Response,Explanatory1
-41.855310344827586,-41.106
-97.15441379310344,-41.426
-108.53441379310344,-41.165
-101.95393103448276,-41.344
-105.58686206896552,-41.556
-101.45965517241379,-41.351
-109.57306896551724,-40.746
-92.26893103448276,-40.822
-110.64513793103447,-41.114
-113.72037931034484,-41.097
-107.44289655172415,-41.218
-95.15393103448275,-40.822
-99.30106896551723,-41.326
-128.37862068965518,-41.37
-122.59441379310346,-42.093
-65.13151724137931,-41.05
-70.75375862068965,-41.352
-98.47575862068966,-41.12
-110.56696551724139,-41.035
-55.939931034482754,-41.228
-108.31337931034483,-41.242
-98.2904827586207,-41.33
-102.90703448275862,-41.055
-88.78755172413794,-41.205
-94.58624137931034,-41.202
-106.08655172413793,-41.263
-101.11724137931034,-41.318
-116.5843103448276,-41.396
-97.1828275862069,-41.343
-112.81182758620689,-41.227
-62.42524137931034,-41.289
-89.4073448275862,-41.261
-89.83675862068965,-41.207
-98.78286206896551,-40.802
-102.22503448275862,-41.055
-131.4514827586207,-41.098
-112.74631034482758,-41.309
-131.9610344827586,-40.504
-119.45737931034482,-41.242
-100.86548275862069,-41.156
-86.69727586206896,-41.357
-95.38796551724138,-41.412
-102.43465517241378,-41.438
-105.52579310344828,-41.246
-89.28279310344828,-41.072
-123.90872413793102,-41.168
-103.8993448275862,-40.855
-134.2753103448276,-41.222
-103.69379310344829,-41.333
-104.9601379310345,-41.781
-101.24693103448276,-41.257
-93.40527586206896,-41.299
-113.07537931034483,-41.097
-115.07513793103448,-41.056
-99.13506896551723,-40.949
-106.15068965517241,-41.448
-89.59510344827586,-40.756
-92.04137931034484,-41.271
-122.89793103448277,-41.315
-58.7936551724138,-41.815
-104.65075862068966,-41.236
-123.77210344827587,-41.365
-98.18982758620689,-41.198
-97.11868965517242,-41.187
-115.69644827586207,-41.871
-93.22679310344829,-41.217
-113.23886206896552,-40.976
-113.62479310344828,-41.507
-100.24396551724138,-41.093
-106.24979310344827,-40.608
-96.9264827586207,-41.446
-107.73462068965517,-41.138
-93.52027586206897,-41.473
-106.7246551724138,-41.206
-119.05237931034483,-40.981
-100.92172413793104,-41.342
-98.814,-41.364
-97.1691724137931,-41.646
-112.18113793103448,-41.23
-54.672758620689656,-41.149
-95.95537931034484,-41.097
-93.31741379310344,-41.165
-110.10296551724139,-40.832
-94.02386206896551,-41.237
-92.93662068965517,-41.138
-81.10344827586206,-40.943
-149.3363448275862,-41.609
-114.4395172413793,-41.862
-67.32362068965517,-41.66
-122.4086551724138,-41.119
-96.8306551724138,-41.757
-97.16875862068966,-41.41
-105.83037931034484,-41.126
-111.40172413793104,-41.545
-114.75586206896551,-41.266
-105.44075862068965,-41.323
-117.51827586206898,-41.502
-128.05024137931036,-41.289
-104.96437931034484,-41.184
-93.13713793103449,-40.998
-115.3444827586207,-41.359
-88.8355172413793,-41.166
-99.6771379310345,-41.201
-98.50310344827587,-41.249
-99.467,-40.987
