Response,Explanatory1,Explanatory2
297.06127560124935,106.443,-30.368
286.1067888031938,46.975,31.986
240.54158034559623,14.122,-5.152
248.2453491612274,73.943,48.08
202.37977151430132,69.347,83.29
207.46264736888665,101.79,53.754
259.7710460399861,93.039,-17.205
331.27260774894,32.92,23.831
276.4071999727197,94.506,110.516
247.9234754493048,57.035,59.797
245.02518089835803,147.15,230.7
250.71919672317733,79.953,44.432
242.3064675210813,103.903,108.143
259.52567743813745,-4.381,83.187
245.9833908720524,99.031,24.203
192.47855053355707,102.331,32.31
278.05699805000125,93.722,151.436
258.3023136618221,49.611,21.707
221.86835449428457,126.759,5.963
247.32019754656406,38.075,58.37
263.2603708797332,80.091,-70.911
281.3772982884791,71.608,50.421
232.51753192011947,63.693,60.605
258.1545465300809,84.363,27.786
311.858315098909,126.048,-27.43
235.80197577917687,114.031,39.249
239.7304559345605,80.796,32.519
256.1377153450734,31.302,26.276
255.25928760135903,107.791,1.502
272.1191313561474,73.003,49.139
247.19108592420255,77.617,51.557
210.87400022483178,67.848,4.566
248.11029630450963,29.321,16.692
238.44492776722123,129.165,60.692
240.75848124814857,154.723,117.566
257.6370226948154,67.537,40.891
216.24197230458375,46.803,22.131
237.46459018685852,92.582,102.487
259.4222704373433,67.304,34.533
243.33024754400827,65.623,-52.46
235.90593013249392,81.053,25.776
206.69074505346558,95.022,66.705
315.73981414582346,139.915,14.409
297.0176925813276,74.837,-10.468
254.1865430301752,7.381,32.847
381.3864973049311,63.718,19.057
303.08457163544807,13.093,-0.231
256.41821502363604,128.037,45.235
245.30108305518036,53.236,58.58
248.68763694550128,89.92,10.202
266.8974726454569,65.555,81.242
229.71006057726066,63.112,-25.333
267.4885037921724,81.921,36.5
205.45905686659515,171.462,27.25
275.72224995913,128.918,92.489
121.14658817155737,62.601,106.01
210.6210925103014,12.576,-27.262
246.37697501082627,127.705,66.272
267.08465057689926,245.905,-19.591
271.29370416819734,99.878,-8.31
248.071507442427,85.406,68.284
264.40982824684204,96.252,42.872
240.69634748959618,57.911,49.984
280.0982652832258,172.894,-45.408
326.467905011829,58.36,122.592
240.93629796451597,96.051,61.373
242.7783127227626,92.974,41.972
270.30877069682026,96.496,21.6
