Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
130.72124936290345,-128.013,157.659,98.657,-74.557
123.68399197016598,-133.762,139.234,102.165,-108.895
131.09391913112785,-146.793,144.872,-85.849,-77.173
123.4860071607792,-134.861,143.39,97.177,-74.584
111.82065900543066,-129.299,138.744,123.102,-71.093
96.89482280605856,-109.949,141.758,65.419,-72.068
129.5537519505865,-107.316,148.07,140.301,-73.942
125.99986101897078,-89.348,139.011,112.665,-72.388
113.49493080681587,-125.856,141.653,95.018,-92.59
123.90432886715928,-143.242,138.887,24.741,-73.694
133.77346473920358,-128.513,155.416,103.814,-67.486
144.44550359766578,-123.365,135.608,91.961,-65.852
96.17660247969133,-125.973,135.629,126.202,-71.839
150.78922013367247,-140.185,139.902,137.356,-72.891
125.51250265640172,-128.418,141.727,62.621,-83.86
115.56127743625045,-160.482,157.247,110.977,-73.561
154.7278766329854,-134.594,146.918,59.795,-70.32
120.61491505598703,-129.495,141.854,90.127,-81.442
124.63011326990367,-141.882,158.285,98.935,-55.367
105.98173095796771,-143.789,137.735,69.127,-75.99
157.2436959415684,-131.443,139.299,93.204,-114.947
130.43630237272356,-147.49,151.797,100.34,-87.11
116.9747820374605,-149.777,172.239,13.78,-71.155
151.65735900605335,-147.555,140.925,93.334,-68.168
121.4187477882395,-139.801,119.523,95.578,-55.55
115.95175302935984,-112.645,156.286,101.658,-58.61
127.52466889078231,-154.463,152.91,56.858,-80.251
123.74863833513001,-147.658,137.692,74.509,-79.527
127.72400134604008,-135.223,145.722,109.39,-76.289
133.5324645671545,-158.049,141.941,84.411,-72.99
143.15632371112034,-154.188,140.167,141.609,-84.409
147.15521432447304,-142.906,139.736,96.273,-72.556
120.71435612821531,-106.118,142.961,110.1,-85.24
135.0544658484408,-155.719,145.473,59.063,-57.688
130.35332360064524,-123.242,140.384,88.62,-74.261
108.12492047528569,-136.574,134.554,103.345,-74.486
138.69286066708966,-116.61,149.729,27.877,-59.585
110.8945724743408,-138.903,146.142,-7.306,-88.302
141.67155656497204,-179.239,139.219,147.742,-75.502
119.17041175759466,-170.135,138.314,59.389,-72.435
120.56222373915793,-137.607,157.469,153.362,-81.257
125.69297656503315,-179.7,141.983,69.335,-79.897
143.63748612905877,-148.385,140.831,100.156,-83.035
102.50799568383151,-141.81,138.908,78.582,-69.372
114.70654322264357,-201.661,148.743,97.234,-74.647
118.92505583046132,-134.323,153.222,92.172,-78.029
119.01830319964715,-155.751,140.018,37.564,-73.736
142.08482785714773,-177.749,154.323,102.998,-73.011
135.01835662871352,-161.287,140.128,98.257,-67.425
94.95274938581699,-166.842,120.513,56.941,-86.771
124.58285155675081,-163.494,127.917,99.071,-74.584
120.83333662713314,-151.404,147.284,143.432,-74.137
124.0978908631904,-124.603,144.541,62.203,-79.862
96.98638981081334,-129.68,149.892,115.369,-78.697
147.84980768610566,-144.352,140.827,130.511,-69.992
173.09021050803864,-157.941,136.361,88.084,-89.05
125.5875479380476,-165.244,138.85,112.629,-73.891
120.25083629881178,-146.269,149.675,101.47,-78.032
125.34473032439742,-134.555,134.804,111.15,-75.363
134.39294380533508,-133.6,132.127,116.392,-72.807
136.69886455870414,-148.097,138.659,165.238,-68.292
114.71255206686139,-139.292,138.078,158.415,-77.557
135.6942137081999,-137.521,142.123,67.111,-78.555
92.85971189486055,-156.863,136.858,88.426,-73.612
138.5742945262192,-112.98,150.903,94.938,-84.226
144.60980712827126,-141.065,125.131,46.21,-75.245
123.44818816414165,-140.875,147.967,124.906,-81.415
124.51276473824481,-141.539,144.276,118.579,-72.624
139.7515956535662,-152.301,140.399,49.427,-80.161
120.37253747857051,-133.135,136.424,145.835,-74.601
113.21160986729758,-136.01,141.679,100.71,-73.205
125.65417299332043,-142.478,145.766,83.396,-75.446
139.29061181486128,-160.044,137.435,84.964,-77.168
133.41610007837042,-139.036,138.398,107.788,-76.494
103.22954910616694,-122.367,145.939,202.397,-65.209
129.08117300819265,-91.809,141.769,70.492,-78.446
122.41393755564434,-127.861,144.798,100.22,-79.007
125.46364995592214,-149.4,151.366,92.853,-58.334
121.30993310312861,-138.879,120.367,106.147,-71.374
208.09688945976862,-133.267,147.386,139.683,-62.954
119.1508085469818,-138.093,136.034,99.743,-79.157
130.6120903266008,-138.957,157.47,103.333,-97.935
116.77437018223135,-202.196,125.179,143.798,-88.699
135.46379496311047,-121.767,141.167,78.563,-76.87
130.15164669353575,-157.494,133.688,141.424,-76.751
123.61398015164391,-145.33,137.687,148.627,-64.858
132.44761051473827,-185.247,148.488,114.19,-73.157
124.99258872656715,-132.17,138.31,129.08,-75.602
112.0082088392362,-152.183,133.936,100.837,-85.995
107.34469785470269,-161.883,143.811,87.66,-76.731
122.67339157820308,-177.855,140.194,78.393,-73.288
108.51470924501301,-147.892,127.407,59.071,-68.002
127.96771932271326,-142.472,135.647,125.226,-81.202
124.2236088901286,-147.578,143.739,102.123,-104.194
112.84851744007591,-170.65,146.195,104.106,-74.397
123.84848717535638,-141.676,140.757,86.481,-75.144
142.72429725640353,-153.139,153.043,114.452,-90.838
123.9738084622758,-163.523,141.542,24.808,-85.638
128.24518256752302,-95.996,141.309,98.996,-71.113
122.95035377981849,-137.439,144.132,83.055,-74.445
127.0851669674602,-105.534,139.499,107.546,-81.352
118.16570434240265,-148.263,144.281,133.271,-73.441
128.00158707717915,-160.339,153.443,90.584,-79.539
126.65756996777522,-142.366,154.554,96.122,-77.413
122.18744901508127,-165.178,137.028,51.163,-65.269
134.87798253835493,-170.384,142.284,110.363,-78.053
157.09956555413243,-170.555,142.551,133.366,-72.71
136.78711128923106,-132.897,135.924,85.354,-67.27
135.93767363397606,-137.989,134.28,42.514,-85.617
112.75174190538452,-164.672,148.086,57.963,-77.409
120.33701228649356,-144.617,141.359,79.044,-75.538
126.90336195467519,-144.583,123.716,87.643,-70.909
109.47965596159551,-110.15,152.178,75.155,-79.901
124.47228395595565,-126.828,151.058,129.41,-72.044
141.78453262862266,-150.787,141.925,80.838,-76.328
104.36762317368567,-121.178,144.976,28.022,-77.645
130.33758593405867,-145.2,134.724,100.567,-79.54
130.4394112558838,-162.945,140.726,93.749,-88.611
124.35940320541732,-143.371,143.716,88.879,-72.878
145.67401743616423,-133.818,144.116,88.152,-69.201
119.04601315316236,-141.365,141.147,143.678,-64.376
125.70599087602547,-184.913,137.437,147.443,-78.293
139.6120786082734,-121.418,143.375,71.511,-69.105
128.61996695967665,-128.736,130.638,99.349,-75.077
136.75473099740913,-116.691,135.388,60.301,-74.303
125.59371320096858,-112.049,137.814,66.395,-61.858
127.53872323353588,-137.674,130.531,45.736,-82.094
123.75284246363104,-129.121,154.746,102.602,-65.068
113.16574599926818,-156.08,146.787,62.403,-68.045
119.51401230923692,-122.336,149.481,104.988,-66.74
123.96795432955625,-167.578,146.231,77.879,-71.512
115.06657281098326,-137.348,133.111,70.657,-71.245
116.99858012445915,-196.196,139.578,112.129,-83.941
133.0821940193942,-170.732,158.945,17.168,-68.701
133.32850561845333,-132.103,149.617,70.164,-83.991
133.8655587452708,-147.614,141.257,82.857,-95.986
147.56470001400046,-163.033,138.622,130.649,-77.849
107.93470964125655,-125.041,141.431,98.905,-82.528
128.41582429610725,-131.876,147.066,105.798,-70.984
118.60098966748136,-135.67,137.799,134.532,-75.851
141.89492424320096,-147.25,136.293,95.516,-77.003
98.2511039682239,-155.559,138.182,77.775,-74.149
94.56214681335842,-146.465,153.607,106.872,-66.077
123.4310472131595,-141.109,154.304,122.68,-72.855
145.71464140883762,-158.336,144.113,85.712,-72.335
128.77558063065638,-132.118,140.801,86.499,-74.292
122.65860859767938,-140.854,142.424,141.752,-80.83
120.50874542726186,-137.866,141.802,12.158,-71.443
127.477,-138.069,169.571,122.062,-74.463
121.41761564797706,-154.665,140.096,77.763,-81.631
118.62428299613896,-86.948,151.442,82.882,-74.595
140.17881280274642,-111.563,138.181,97.685,-78.108
107.49029515133074,-143.089,138.453,104.29,-76.504
124.06931700142226,-170.009,131.435,92.694,-90.115
101.13688163627023,-169.896,137.8,123.564,-82.3
127.53742491024,-140.484,137.857,105.457,-70.005
142.45206830906773,-161.294,139.676,86.249,-77.496
126.24037518314098,-133.83,140.184,107.119,-61.194
108.58625988979654,-128.482,139.614,-25.638,-70.282
133.75608984495275,-147.662,156.062,100.86,-73.305
175.80649051996113,-140.175,136.469,80.283,-78.334
140.92608484555453,-143.223,139.857,96.457,-73.777
128.16334235199975,-130.599,142.527,86.902,-76.817
129.6489577656355,-127.987,144.146,85.456,-77.417
130.76500111479493,-123.189,144.735,63.627,-63.736
122.25353580057703,-130.022,140.077,127.844,-72.914
99.56495265709714,-131.449,141.201,115.999,-85.036
135.2716141998008,-134.766,144.966,90.941,-83.915
111.70104057667433,-98.878,134.091,100.586,-73.02
123.6990825252926,-135.017,145.224,90.786,-85.054
124.63326712977153,-186.459,140.349,85.232,-77.626
121.59128195104378,-138.304,134.676,104.968,-82.294
128.77912858109167,-152.594,138.023,92.918,-83.495
120.42808656459906,-142.934,157.923,100.32,-74.212
148.330362361966,-159.754,135.033,164.193,-70.445
113.88291586003288,-125.262,144.735,117.633,-66.404
81.5396944373165,-117.592,149.625,98.077,-58.684
125.37254438556317,-113.786,139.166,141.063,-67.433
120.02810009005775,-159.69,133.367,83.741,-76.008
