Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
203.39815489043391,141.575,-155.153,-147.266,-204.704,-126.632,-197.035,-169.236,-54.74,176.697,-40.718,54.873,131.668,-126.089,-5.108,93.619,-164.579,27.478,152.911,162.496
121.27938616602731,169.485,-166.296,-139.493,-181.32,-257.688,-147.971,-127.825,-5.561,142.959,-74.565,86.209,125.418,-32.017,-11.775,62.011,-122.432,-49.386,204.286,174.668
167.41279172609103,151.824,-159.115,-133.606,-172.528,-202.825,-174.125,-122.249,-13.231,148.017,-65.829,43.807,137.553,8.298,2.24,64.615,-113.327,50.916,191.42,162.632
157.42624201926375,153.446,-160.21,-133.984,-182.4,-208.625,-188.785,-174.583,-19.198,178.227,-71.381,-7.363,136.232,-88.585,-2.382,25.714,-124.566,68.724,177.689,196.544
170.78324927858728,134.034,-153.575,-162.151,-173.352,-87.841,-182.609,-179.463,-27.496,167.688,-69.527,55.242,124.495,-35.333,-3.486,63.006,-120.946,96.076,186.898,151.536
121.00125926949333,144.891,-155.561,-130.684,-192.802,-122.945,-207.279,-172.657,-5.969,198.552,-69.806,-26.359,129.376,-27.865,-2.204,103.838,-119.721,57.196,180.354,165.02
104.99209842035309,156.042,-154.726,-141.187,-194.445,-140.583,-190.942,-137.208,67.2,170.841,-73.063,92.848,144.067,-2.48,-5.718,97.469,-134.361,70.872,219.731,189.245
154.29989679800983,158.079,-168.716,-139.347,-202.829,-142.032,-3.956,-83.104,-46.52,177.418,-70.831,41.846,128.128,-55.883,-19.645,76.344,-145.742,-62.23,222.566,185.704
170.5595451411206,160.333,-142.681,-146.279,-192.404,-172.763,-162.904,-125.839,-18.085,45.78,-68.566,68.424,139.964,-8.563,-1.913,89.295,-109.606,22.66,181.306,214.278
214.7825285831191,171.102,-158.08,-116.104,-191.877,-199.287,-155.014,-134.843,-2.171,356.678,-62.511,138.067,116.841,-15.853,-7.313,126.684,-135.312,61.664,180.089,143.358
230.58422550237916,154.386,-154.624,-143.238,-174.286,-182.035,-119.354,-90.467,-178.975,96.571,-77.101,56.589,143.49,-27.633,-2.608,65.546,-130.439,63.256,233.979,225.808
