Response,Explanatory1
205.568,132.391
188.515,129.905
204.3,127.442
181.931,133.073
220.675,123.719
152.63,138.827
209.852,139.147
129.144,121.053
211.016,122.671
179.52,123.382
218.669,133.234
174.899,120.939
248.721,127.848
153.543,142.051
167.164,126.355
173.783,134.765
178.382,128.036
150.264,122.59
213.791,123.092
198.351,126.903
188.043,130.357
211.371,120.079
173.106,128.287
174.874,135.436
193.741,140.942
195.644,127.259
186.071,123.722
192.836,128.236
233.711,133.093
213.803,130.846
221.963,121.589
223.247,130.391
183.26,128.843
131.3,106.912
225.162,131.879
191.09,117.746
171.416,125.593
203.122,120.588
206.384,127.952
199.544,124.637
181.975,120.78
221.531,124.732
220.919,123.249
173.284,122.607
176.487,131.031
149.816,137.201
177.475,127.014
207.016,123.189
178.822,117.468
178.137,144.836
229.01,127.697
187.356,122.971
208.194,131.631
212.321,114.952
212.43,110.094
175.707,127.209
210.451,123.199
180.484,137.998
188.943,125.505
176.647,122.144
178.21,119.915
181.306,135.155
199.43,136.575
214.614,126.098
167.363,124.175
123.694,126.314
195.532,118.726
157.028,133.831
243.242,125.406
236.004,135.576
235.945,132.799
194.3,129.636
179.271,120.082
196.292,122.542
180.339,137.866
146.553,120.688
255.537,136.132
160.298,135.876
166.278,113.29
163.463,131.996
179.174,125.593
243.327,115.798
143.802,127.814
119.156,132.995
166.918,126.051
163.518,145.475
165.845,122.799
190.208,125.655
167.667,136.585
197.707,130.858
193.021,140.031
149.056,134.244
205.741,123.703
196.225,119.866
142.659,130.145
182.276,132.134
153.381,117.456
129.969,139.258
159.117,133.985
207.347,123.814
188.603,118.418
209.991,122.376
195.192,133.875
234.892,126.743
157.403,125.286
176.895,119.241
198.712,131.406
144.534,125.309
165.447,134.905
198.954,115.949
176.648,129.18
146.788,128.346
173.062,135.278
205.61,130.776
144.521,123.183
166.291,129.347
187.141,129.9
181.853,135.813
188.614,132.054
205.945,124.042
209.588,119.209
225.786,123.614
186.485,137.994
152.657,135.096
156.576,122.599
187.245,116.524
188.605,132.752
147.715,125.001
165.504,124.859
154.808,129.369
214.072,134.159
141.226,136.586
212.607,129.203
156.434,126.008
145.115,134.953
189.512,134.513
205.151,133.509
145.274,119.613
163.156,139.781
191.469,130.9
229.107,131.904
199.849,131.435
217.614,130.057
150.443,120.427
190.1,117.549
161.522,132.883
182.928,128.484
161.187,132.689
205.622,133.507
141.166,144.342
164.745,126.569
127.458,125.092
139.401,113.109
178.563,137.767
171.096,118.346
188.677,134.499
184.652,130.406
198.782,127.431
199.908,129.047
206.369,132.836
170.938,129.944
198.507,119.122
208.195,126.228
227.061,127.829
197.473,133.894
136.52,122.38
163.546,138.265
225.393,125.412
149.777,122.339
202.661,129.846
214.619,130.389
213.099,134.991
193.642,132.998
163.737,115.412
166.196,131.884
202.87,118.124
195.579,130.353
178.518,133.386
146.98,131.787
186.271,112.838
200.481,144.318
166.295,128.186
228.179,123.439
212.827,125.444
203.011,133.659
240.497,131.084
185.758,141.852
166.558,136.216
211.39,125.739
157.43,132.82
185.868,125.785
233.903,127.653
205.976,117.91
191.038,128.695
217.941,125.254
174.68,132.529
169.84,131.207
186.201,127.693
176.345,131.948
187.847,123.974
214.226,125.111
157.045,124.397
187.476,134.664
204.695,118.223
187.51,116.304
192.073,109.391
172.455,137.551
178.976,141.959
188.69,118.494
206.987,129.298
177.301,131.86
184.72,118.446
152.386,132.731
183.054,119.136
198.287,126.084
254.77,135.283
167.652,121.68
149.076,120.112
160.889,128.352
194.045,129.824
190.662,141.836
231.805,137.996
163.764,122.331
186.712,112.141
158.765,115.889
186.673,127.456
202.68,133.45
167.968,129.468
190.78,131.384
194.042,123.76
220.265,130.968
212.297,127.455
161.804,132.949
180.022,117.171
113.681,137.849
166.407,144.427
248.16,143.47
257.538,117.397
136.26,116.578
221.701,131.018
160.832,123.268
176.594,131.656
211.141,130.209
159.958,125.656
206.429,127.519
229.368,136.793
183.047,137.184
139.448,124.184
168.757,121.071
212.034,128.259
192.872,122.053
188.871,125.599
176.458,134.614
184.829,136.837
172.583,124.681
176.88,117.1
214.24,121.364
170.716,123.269
198.265,141.841
113.752,120.554
206.056,128.182
222.666,129.581
217.007,124.163
198.263,122.65
207.249,136.928
159.898,124.95
163.173,130.717
176.353,131.468
230.136,118.598
171.2,121.428
197.723,132.105
205.798,136.337
198.654,131.743
184.209,125.817
161.036,122.876
163.798,129.763
175.351,126.287
165.045,119.449
162.636,128.45
147.925,125.443
163.381,144.624
207.465,139.296
168.258,129.609
128.565,141.115
175.046,126.26
216.468,133.987
240.103,124.6
170.975,131.516
210.287,129.965
206.507,126.169
208.283,133.882
142.227,125.401
153.394,131.929
203.372,130.434
181.6,119.841
166.623,126.661
176.126,130.347
161.192,128.332
157.898,131.748
164.413,125.681
197.305,130.993
212.632,133.083
157.569,146.431
165.377,117.745
227.033,123.795
189.645,130.652
178.06,120.975
216.99,126.563
169.389,125.465
182.993,117.606
177.227,135.475
141.599,123.937
218.184,143.055
203.407,131.544
164.124,130.749
226.191,124.829
127.648,125.303
190.22,125.041
188.193,136.021
180.277,123.407
205.66,121.906
197.794,124.119
174.131,115.08
219.144,133.086
170.806,133.169
185.509,124.61
169.598,125.139
185.411,125.255
183.389,123.09
155.185,122.561
203.847,141.073
197.657,118.899
184.025,124.734
152.295,131.96
141.769,144.337
184.431,139.369
152.135,132.358
285.038,130.875
173.326,129.613
204.921,119.224
195.351,121.711
197.052,129.12
194.421,144.872
153.643,127.922
203.464,124.039
184.937,132.968
180.191,122.285
197.773,127.7
225.272,124.964
221.876,128.252
187.958,135.493
220.902,129.923
115.902,131.684
198.768,123.779
180.168,118.312
173.037,118.499
211.522,119.255
135.497,142.175
164.433,130.297
169.428,130.58
187.781,136.219
223.64,125.771
166.524,126.399
154.666,137.558
190.703,120.967
189.513,120.081
191.463,130.635
160.024,126.453
219.91,132.916
179.056,131.783
206.728,134.241
165.535,141.271
190.506,136.289
162.808,130.439
188.68,134.78
192.449,130.986
197.125,121.874
211.343,123.679
146.391,135.097
239.086,130.127
171.157,136.368
221.083,126.913
136.299,135.09
185.869,116.182
173.253,138.941
114.298,120.132
181.56,123.618
144.427,116.633
203.362,126.211
169.074,139.904
138.201,132.84
180.005,141.617
236.914,122.32
152.405,124.922
208.163,126.884
202.646,139.766
228.451,123.364
140.095,132.674
239.153,143.146
197.177,136.731
177.087,119.409
174.739,130.54
194.024,129.665
199.542,129.488
170.262,133.349
193.676,136.438
217.913,117.807
166.09,132.446
225.803,141.009
126.558,141.804
174.035,123.996
214.588,123.458
198.654,117.951
204.07,135.406
243.65,122.618
192.074,131.052
165.716,124.283
197.818,125.749
152.48,142.314
176.967,135.266
160.169,129.85
192.909,121.173
168.436,130.492
168.798,126.383
235.419,122.321
208.355,114.583
190.196,125.666
164.818,120.508
204.467,122.341
139.564,132.041
184.577,117.479
165.532,127.64
153.815,120.406
182.841,129.016
110.352,138.407
164.143,128.504
172.434,140.796
220.45,129.225
196.959,122.068
189.796,141.813
208.591,127.992
183.424,124.812
144.119,143.521
220.215,118.101
193.236,136.083
152.957,125.099
216.417,130.468
165.59,118.001
161.466,135.385
167.653,134.74
167.54,123.456
195.165,128.873
185.966,129.34
185.982,132.97
164.681,129.717
195.078,126.632
167.942,129.064
190.818,138.664
159.533,130.573
164.68,113.611
193.826,126.11
174.012,136.656
161.299,133.308
187.802,119.847
201.511,139.555
206.0,134.682
236.67,115.736
168.79,122.913
192.421,140.29
171.58,133.949
169.098,127.965
187.031,131.696
170.904,131.219
197.909,133.877
225.048,127.153
136.595,129.658
194.562,139.801
189.207,121.375
175.994,128.642
234.353,122.201
161.657,125.368
183.126,127.297
160.127,119.462
175.63,132.979
234.039,115.795
200.684,131.473
175.572,109.219
201.106,132.419
200.5,132.141
200.275,131.106
189.852,125.337
222.673,129.135
240.443,127.555
191.21,141.409
235.287,136.125
195.881,124.293
157.855,128.606
175.313,143.034
177.087,132.668
160.822,132.131
234.773,137.552
221.379,124.627
151.198,126.561
142.431,132.968
215.19,124.772
171.99,125.309
201.97,124.196
