Response,Explanatory1,Explanatory2
118.824,78.725,-69.278
164.464,63.009,-81.112
143.854,67.568,-85.215
141.835,93.502,-81.904
126.089,67.435,-75.518
143.487,54.132,-76.422
167.612,93.872,-77.363
119.296,52.742,-75.565
138.21,84.733,-70.039
120.14,52.704,-78.111
143.787,131.377,-76.822
141.409,51.152,-81.251
153.208,155.95,-74.68
132.981,114.703,-81.277
134.361,49.572,-78.724
127.245,66.985,-75.618
123.253,81.705,-72.165
107.818,39.67,-74.637
149.885,70.204,-72.108
106.444,85.329,-71.499
135.115,112.65,-82.425
126.15,123.582,-82.327
124.012,34.632,-82.835
105.27,34.438,-77.629
140.14,80.192,-74.951
178.754,61.394,-74.77
130.866,70.38,-70.521
163.292,89.444,-75.282
144.89,80.294,-84.177
117.87,48.318,-84.279
148.96,74.552,-73.817
137.068,72.328,-72.459
88.57,34.269,-85.687
164.821,22.709,-78.165
117.961,64.852,-76.327
133.673,57.26,-77.763
141.199,71.365,-79.401
115.151,68.389,-73.622
106.192,97.188,-71.525
106.615,56.434,-83.996
127.33,113.453,-75.467
140.922,48.508,-83.639
160.565,85.492,-77.709
136.037,28.176,-83.514
170.549,44.575,-81.858
121.209,17.813,-77.794
144.727,88.55,-81.457
119.286,38.116,-81.503
117.1,30.252,-70.057
143.196,81.949,-73.237
129.107,87.377,-71.676
119.851,39.751,-71.692
161.762,14.691,-82.348
109.016,73.857,-80.87
142.44,102.753,-79.368
138.682,97.407,-74.897
146.259,44.569,-73.593
150.124,76.555,-75.568
137.879,143.591,-77.393
150.209,78.034,-77.79
132.783,100.168,-88.959
121.392,47.994,-78.089
129.453,62.483,-83.051
138.673,60.589,-78.866
114.123,42.868,-71.781
127.074,78.305,-84.728
152.5,70.903,-75.551
98.179,73.112,-81.147
122.266,72.877,-84.839
168.911,75.615,-79.992
119.433,108.062,-80.05
135.752,39.518,-80.201
121.065,29.615,-73.498
140.601,96.735,-77.115
154.983,47.347,-75.918
151.947,66.628,-82.103
126.661,47.475,-79.958
175.646,85.844,-80.19
113.311,96.55,-74.461
113.939,50.114,-70.915
108.888,77.349,-78.032
138.223,69.77,-80.131
137.575,83.856,-91.544
113.205,42.401,-77.437
161.902,40.51,-81.276
170.725,61.283,-71.364
144.824,48.721,-84.625
147.358,92.765,-75.804
151.435,40.843,-77.308
167.602,81.237,-82.308
149.799,76.109,-73.92
150.082,124.573,-80.407
125.985,7.9,-82.901
144.087,14.419,-77.348
137.108,64.225,-72.848
95.253,55.846,-84.652
164.882,73.469,-75.134
118.798,89.953,-74.575
158.376,41.459,-80.693
127.663,10.119,-77.971
129.32,69.77,-85.54
120.531,98.684,-74.319
151.622,59.924,-78.289
127.647,74.909,-79.604
133.918,35.742,-73.556
129.464,36.978,-70.469
148.019,83.264,-75.152
132.428,62.158,-81.247
123.826,85.517,-78.36
115.726,97.814,-82.508
