Response,Explanatory1,Explanatory2,Explanatory3
7.083,152.554,-139.401,-180.673
5.947,105.082,-271.266,-176.615
4.223,136.621,-143.733,-152.425
-2.05,112.34,-189.649,-179.007
-13.24,82.435,-195.696,-228.822
0.727,141.879,-172.845,-158.031
7.935,147.657,-251.698,-98.498
0.543,137.184,-207.665,-179.275
12.295,147.696,-152.713,-157.864
0.906,153.534,-178.229,-173.951
-2.1,131.541,-226.165,-143.043
-0.989,146.158,-197.315,-134.153
3.166,160.925,-165.52,-128.743
11.283,147.148,-213.181,-156.733
-3.769,183.205,-156.64,-134.904
0.355,145.394,-241.535,-166.933
-1.666,99.467,-175.545,-152.548
-4.484,154.41,-139.295,-147.611
7.511,148.705,-202.784,-133.776
8.202,151.677,-153.002,-181.222
15.714,75.941,-153.073,-171.106
9.148,131.895,-229.976,-116.509
-5.892,151.534,-200.208,-203.802
1.126,112.391,-231.581,-210.449
13.319,153.654,-173.134,-173.017
3.934,145.178,-194.123,-164.003
-8.406,114.36,-235.862,-167.745
10.281,151.784,-234.883,-185.414
-6.072,143.386,-187.503,-197.939
11.166,123.85,-239.136,-170.35
4.815,135.493,-233.69,-160.066
-0.417,123.275,-171.199,-121.513
-4.976,144.079,-158.398,-154.628
-1.793,147.008,-194.367,-197.462
-2.714,119.263,-196.412,-100.605
-6.455,156.007,-203.946,-137.165
0.627,127.989,-201.242,-174.228
9.264,106.348,-237.789,-94.345
0.066,141.846,-215.989,-125.53
14.914,151.12,-186.749,-81.215
2.685,113.746,-237.159,-121.672
-1.68,146.749,-184.087,-150.426
0.417,125.195,-222.589,-155.876
0.171,132.864,-190.016,-159.827
4.531,81.88,-266.289,-145.514
13.488,98.188,-169.306,-157.79
0.778,108.804,-194.268,-108.838
-3.523,152.139,-166.76,-211.053
-7.71,155.044,-159.889,-185.498
17.39,138.276,-217.907,-180.833
1.153,121.068,-178.816,-170.338
17.16,107.309,-143.356,-175.186
13.558,90.239,-172.583,-167.328
-3.013,125.297,-188.189,-168.617
-1.626,113.989,-266.732,-164.865
-13.425,91.085,-185.653,-137.843
-4.076,130.007,-156.594,-168.489
1.722,116.981,-245.816,-156.226
2.294,117.062,-210.823,-169.97
-16.428,182.787,-175.453,-154.215
0.879,138.854,-227.62,-146.578
14.266,158.037,-194.862,-166.01
-11.445,118.049,-250.316,-228.999
-7.161,115.556,-204.595,-123.155
11.377,130.532,-169.16,-125.108
16.3,131.608,-171.51,-142.651
-17.146,141.12,-163.399,-120.669
6.837,109.961,-230.327,-156.988
17.847,119.987,-186.542,-166.942
20.065,121.67,-225.062,-165.25
8.45,129.776,-196.533,-166.637
-6.807,130.707,-255.847,-110.46
3.178,163.622,-195.702,-138.13
5.07,144.604,-238.732,-93.623
10.1,106.563,-226.036,-92.861
-1.399,81.838,-199.54,-208.383
-6.544,115.231,-311.792,-85.244
-3.273,177.913,-216.151,-175.991
6.098,160.639,-224.087,-103.84
3.597,151.504,-228.503,-142.46
-5.171,147.129,-192.015,-123.408
6.391,146.173,-207.398,-86.723
3.022,141.039,-181.196,-163.558
7.173,151.168,-265.652,-168.506
4.122,119.476,-137.111,-167.309
2.52,109.489,-207.457,-86.225
-4.62,124.266,-151.509,-128.942
5.754,162.11,-227.046,-117.114
6.005,149.882,-153.848,-130.337
-2.852,136.226,-137.671,-149.102
-16.116,150.79,-170.144,-164.394
-4.303,110.832,-181.784,-174.983
-2.484,111.36,-211.322,-134.789
-4.654,127.949,-268.77,-110.845
-1.573,116.437,-251.943,-108.493
5.018,133.971,-165.104,-183.56
8.504,115.909,-188.12,-157.615
3.967,145.893,-155.934,-181.349
