Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
-93.763,206.349,38.687,-184.144,72.159
-91.456,231.114,36.743,-165.58,54.568
-92.783,181.859,42.328,-131.371,110.42
-87.025,197.924,35.857,-175.524,131.524
-93.135,208.322,39.643,-165.909,80.859
-94.805,234.464,36.845,-140.32,134.95
-92.287,199.683,32.816,-128.621,102.515
-89.766,156.692,40.899,-175.106,148.146
-90.236,166.081,35.651,-162.386,50.01
-90.233,169.568,41.591,-201.019,55.067
-96.094,209.853,31.537,-164.564,60.635
-93.46,175.741,35.883,-142.841,67.813
-94.055,217.989,37.132,-151.489,110.18
-96.529,190.526,38.862,-175.579,80.239
-91.679,232.736,31.733,-156.4,84.261
-87.331,167.029,36.933,-197.837,69.618
-92.441,156.704,38.52,-150.22,103.825
-92.114,198.808,39.184,-171.324,101.379
-92.034,170.285,35.175,-186.659,84.211
-92.78,201.725,33.071,-162.471,62.565
-95.68,232.631,36.81,-151.781,101.394
-95.365,156.199,34.746,-179.441,127.277
-96.035,198.154,35.478,-166.714,68.624
-94.96,178.972,42.859,-183.919,76.151
-96.6,217.09,36.448,-150.256,50.083
-89.852,217.119,39.427,-137.446,125.596
-96.323,196.838,40.917,-192.817,162.067
-94.794,191.445,36.54,-185.714,65.345
-97.196,202.818,35.224,-160.567,52.141
-91.144,199.487,39.818,-142.084,98.41
-93.184,163.676,37.412,-208.47,103.019
-91.507,147.662,34.692,-172.996,52.803
-91.913,220.288,39.554,-192.54,58.662
-95.877,204.825,37.53,-149.287,89.276
-93.223,172.067,37.437,-174.419,111.11
-94.996,222.656,35.108,-156.556,116.251
-94.585,182.464,37.767,-120.613,111.883
-91.813,157.112,35.507,-162.033,119.662
-93.415,181.738,43.648,-150.956,71.68
-92.422,188.996,39.96,-202.371,86.561
-93.684,180.461,40.419,-175.763,130.963
-93.846,209.404,38.679,-159.138,81.844
-92.256,192.642,32.362,-188.569,143.653
-91.259,180.374,36.974,-174.081,102.567
-92.787,242.841,40.084,-216.982,98.394
-94.226,210.901,37.345,-108.827,60.749
-90.638,184.756,38.208,-167.179,23.215
-95.143,182.37,40.057,-187.747,111.017
-89.962,173.602,37.715,-118.067,83.833
-93.837,203.066,27.023,-157.627,104.647
-93.222,168.647,32.506,-131.143,121.442
-92.667,215.67,40.444,-182.262,113.681
-95.536,176.961,42.001,-167.946,110.8
-90.559,175.377,39.523,-196.633,20.008
-93.709,189.14,37.442,-178.259,149.071
-91.729,224.274,39.686,-155.666,105.195
-96.0,161.052,37.668,-167.769,103.604
-91.096,175.351,36.155,-166.758,103.795
