Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
207.847,-131.45,-120.314,52.177,-124.513,-95.075,145.182,-120.185,-180.992,-27.759
116.672,-207.464,-120.271,18.311,-108.865,-99.786,117.338,-135.758,-142.247,-27.76
134.673,-139.239,-120.521,62.137,-108.693,-89.6,125.447,-101.165,-154.31,-27.76
178.346,-135.516,-120.617,52.429,-175.751,-91.736,164.233,-129.662,-133.283,-27.757
200.64,-131.469,-122.776,46.913,-145.375,-92.882,173.811,-128.46,-205.128,-27.759
93.274,-115.401,-118.56,56.5,-147.72,-95.731,144.759,-134.529,-116.868,-27.759
162.588,-123.077,-120.253,20.128,-148.196,-88.76,168.638,-119.947,-213.178,-27.759
112.321,-135.057,-121.57,45.276,-99.303,-80.745,145.112,-125.172,-171.821,-27.758
147.379,-93.253,-121.129,10.282,-106.862,-87.097,157.425,-131.272,-171.158,-27.759
165.521,-127.838,-120.642,50.186,-142.535,-95.299,148.502,-99.132,-149.891,-27.757
189.664,-171.229,-120.876,37.775,-171.237,-95.092,161.16,-111.761,-195.216,-27.761
101.99,-161.351,-119.592,58.913,-118.873,-90.958,163.8,-124.711,-158.951,-27.76
141.751,-148.533,-122.23,48.724,-150.903,-94.086,124.793,-97.363,-133.516,-27.759
181.441,-121.873,-122.808,64.303,-135.611,-94.463,144.28,-112.526,-112.659,-27.759
97.968,-124.829,-124.538,30.501,-169.272,-93.983,158.058,-98.438,-145.597,-27.76
130.521,-115.255,-122.434,31.063,-108.665,-94.914,135.82,-143.502,-190.413,-27.76
152.586,-174.991,-120.137,60.934,-168.655,-89.714,102.559,-123.372,-130.968,-27.759
133.377,-159.409,-123.09,44.343,-162.342,-95.006,143.09,-123.929,-149.394,-27.758
227.38,-125.79,-119.354,55.949,-148.215,-95.333,165.479,-153.932,-141.402,-27.759
105.316,-106.354,-120.409,56.365,-136.387,-93.911,70.911,-121.172,-147.706,-27.758
199.352,-92.879,-122.659,34.547,-130.29,-77.07,108.874,-117.144,-166.699,-27.76
173.282,-165.508,-121.554,38.655,-115.488,-88.697,139.781,-118.228,-207.838,-27.759
171.152,-118.389,-122.67,61.53,-151.219,-97.727,135.738,-144.542,-214.722,-27.758
128.098,-157.3,-118.968,64.253,-144.511,-84.374,143.632,-119.118,-155.44,-27.759
130.327,-124.665,-120.427,76.132,-111.887,-99.58,147.402,-136.072,-134.197,-27.759
198.361,-103.042,-119.915,42.57,-165.073,-98.478,152.903,-130.09,-169.923,-27.758
92.787,-151.254,-120.217,65.837,-118.849,-100.104,148.103,-148.773,-188.514,-27.759
110.594,-197.466,-120.747,74.621,-106.225,-86.926,135.13,-127.393,-147.684,-27.759
96.005,-150.528,-121.027,45.031,-119.56,-98.672,129.461,-134.629,-171.032,-27.759
187.557,-147.66,-120.576,54.234,-140.679,-98.791,138.942,-125.023,-197.585,-27.759
139.047,-162.442,-122.789,44.31,-157.712,-95.477,174.662,-144.313,-135.098,-27.757
176.789,-176.511,-122.631,41.13,-164.145,-94.389,149.219,-115.225,-124.478,-27.76
173.076,-104.417,-123.129,71.068,-137.73,-95.08,157.871,-115.355,-153.186,-27.758
145.542,-124.784,-122.789,46.437,-139.472,-105.306,155.903,-108.844,-179.456,-27.759
182.158,-104.6,-121.599,37.784,-187.682,-96.782,147.358,-127.483,-153.654,-27.758
184.477,-97.249,-122.848,72.634,-102.034,-91.335,167.217,-91.697,-161.386,-27.758
111.603,-140.015,-120.97,33.453,-139.886,-85.783,154.119,-136.33,-189.097,-27.76
95.081,-117.601,-120.897,64.394,-116.414,-96.604,128.306,-130.378,-167.348,-27.759
172.759,-141.431,-119.818,55.825,-128.193,-87.358,126.022,-124.0,-164.156,-27.758
173.277,-110.356,-120.83,57.791,-141.172,-88.695,129.578,-125.803,-148.425,-27.76
101.883,-136.292,-122.796,43.221,-168.175,-94.28,108.462,-104.114,-136.857,-27.758
174.372,-123.162,-122.825,36.774,-133.343,-91.025,122.529,-97.259,-156.019,-27.759
115.501,-151.335,-121.403,36.916,-149.74,-90.67,108.657,-101.249,-192.129,-27.759
200.062,-110.828,-122.317,57.188,-107.618,-90.202,133.826,-113.446,-210.835,-27.758
120.351,-145.44,-120.826,8.076,-128.204,-101.457,147.274,-81.996,-141.618,-27.759
175.168,-135.247,-121.087,36.359,-141.774,-87.919,132.772,-120.977,-113.65,-27.758
118.749,-166.504,-122.816,35.846,-151.483,-86.045,138.502,-111.805,-166.77,-27.758
123.258,-53.695,-125.23,48.086,-119.865,-88.228,188.009,-128.031,-134.346,-27.762
161.491,-129.928,-121.581,51.972,-128.695,-95.885,128.762,-149.254,-155.158,-27.76
182.708,-120.615,-123.481,57.975,-134.172,-94.603,143.079,-133.084,-166.845,-27.759
142.273,-95.859,-124.21,40.139,-110.037,-87.394,168.808,-113.638,-155.22,-27.758
114.028,-127.84,-122.885,37.462,-160.42,-101.788,108.271,-134.67,-143.031,-27.76
172.599,-103.094,-122.671,49.585,-145.444,-92.898,115.621,-129.202,-129.586,-27.759
196.031,-118.325,-119.693,51.888,-130.097,-89.968,166.357,-125.913,-157.798,-27.76
198.913,-135.433,-121.033,48.843,-133.907,-83.617,165.522,-135.05,-159.861,-27.759
165.553,-114.513,-123.142,52.312,-165.924,-89.172,143.826,-111.816,-122.244,-27.759
147.955,-172.044,-122.183,59.554,-141.62,-87.041,135.006,-124.101,-181.579,-27.758
156.6,-133.744,-123.299,32.785,-157.35,-84.699,113.631,-104.689,-180.028,-27.76
127.23,-117.949,-121.091,52.809,-125.365,-88.548,173.224,-124.024,-135.907,-27.761
180.252,-141.47,-121.6,42.15,-143.451,-93.13,176.011,-103.619,-162.861,-27.757
174.724,-163.114,-121.093,31.88,-124.784,-96.956,142.276,-110.499,-152.097,-27.757
140.072,-182.561,-120.99,46.611,-142.418,-96.188,151.673,-113.187,-158.01,-27.761
117.362,-154.86,-121.569,43.635,-137.648,-97.375,111.207,-155.72,-99.437,-27.758
175.878,-157.519,-118.681,47.935,-122.437,-86.637,173.653,-114.213,-183.243,-27.758
138.548,-164.552,-117.962,44.736,-103.466,-97.876,154.908,-158.903,-157.261,-27.76
184.347,-167.461,-122.268,65.854,-156.021,-85.558,142.02,-149.697,-162.051,-27.758
139.149,-93.887,-123.184,43.213,-167.426,-88.118,170.92,-119.041,-126.421,-27.758
228.247,-103.828,-123.499,78.758,-141.699,-95.222,178.576,-128.898,-218.046,-27.76
102.754,-167.761,-124.111,49.011,-152.931,-89.204,113.817,-108.411,-167.792,-27.757
205.882,-152.149,-122.225,71.351,-189.262,-91.144,164.229,-123.653,-174.664,-27.759
126.903,-163.196,-120.398,41.979,-126.645,-93.864,138.032,-120.775,-150.85,-27.76
186.872,-131.666,-121.253,39.963,-114.781,-98.48,143.282,-115.421,-132.288,-27.761
175.174,-164.58,-118.942,27.575,-130.102,-86.687,125.833,-139.405,-152.092,-27.759
183.691,-133.877,-121.872,46.03,-113.837,-89.702,92.272,-104.057,-186.872,-27.758
138.46,-95.429,-120.39,44.401,-97.23,-87.702,146.195,-97.806,-114.984,-27.76
151.707,-77.858,-120.119,41.976,-111.301,-101.07,187.163,-98.796,-143.22,-27.76
111.902,-186.45,-120.64,24.933,-143.39,-95.398,121.883,-111.307,-141.482,-27.76
166.13,-113.753,-124.494,35.384,-154.99,-94.497,156.738,-114.445,-172.765,-27.759
