Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
-53.143,9.802,-40.13,-134.337,65.018,-141.712,-12.682,152.489,151.112,158.188,64.71,-142.504,-149.935,13.485,-5.866
-58.606,1.426,-36.138,-129.601,71.073,-212.596,-56.208,119.996,164.949,179.387,52.899,-168.868,-107.387,16.72,21.579
-89.261,9.465,-36.55,-135.376,69.885,-174.08,-0.288,147.438,156.463,126.849,38.422,-143.578,-112.037,17.319,1.393
-4.648,6.01,-17.187,-139.393,96.731,-160.506,-42.939,126.836,155.484,156.118,47.344,-180.241,-136.985,17.23,5.763
-25.161,3.239,-27.727,-134.607,83.496,-160.038,-11.674,143.39,174.337,122.516,59.07,-166.373,-144.331,15.521,38.506
-60.572,7.299,-30.967,-125.464,59.452,-179.537,-49.778,86.674,171.376,151.943,45.243,-139.523,-101.696,16.296,13.341
-40.529,3.687,-30.538,-136.727,75.959,-144.893,-46.178,134.896,162.241,172.521,50.035,-128.814,-55.604,15.638,0.761
-44.736,6.268,-25.134,-139.25,53.364,-151.116,-46.914,101.302,172.595,131.493,41.75,-147.403,-105.431,14.81,-4.584
-107.45,-1.069,-38.542,-114.203,92.231,-142.049,-86.109,87.264,177.17,120.178,42.224,-164.35,-132.951,16.876,32.252
-28.565,6.266,-29.012,-126.91,68.479,-194.857,20.231,102.218,162.632,173.033,41.772,-186.923,-115.827,16.691,31.831
-84.941,14.551,-26.364,-125.403,76.051,-185.317,-77.566,131.279,169.047,181.841,70.831,-169.521,-74.498,17.325,-5.769
-3.23,7.96,-30.733,-125.711,68.214,-115.185,46.991,110.27,169.17,144.464,53.5,-137.48,-62.499,13.404,31.421
-24.803,13.661,-40.259,-120.541,55.545,-118.108,-38.123,121.448,155.777,121.695,51.639,-172.287,-110.9,15.039,18.484
-30.256,0.095,-41.707,-133.851,79.519,-187.475,-6.641,141.1,172.022,132.23,46.259,-124.118,-120.819,15.824,-9.045
-45.045,9.563,-29.295,-128.368,48.427,-132.641,-58.132,147.486,148.221,159.836,59.955,-160.755,-124.728,17.264,11.102
