Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-72.062,-130.64,29.939,-176.804,-160.161,157.968,162.175,-146.807,-54.604,-33.777,97.558,-81.773,-200.979,52.271,-28.836,-36.123,-52.937,-60.833,-140.874,148.878
-63.323,-130.058,110.594,-214.725,-161.577,137.006,133.609,-120.044,-74.207,-87.947,104.062,-90.639,-139.288,82.375,10.466,-32.24,-63.294,-79.858,-149.802,129.458
-58.485,-165.02,39.01,-196.882,-171.304,143.978,166.628,-115.102,-133.743,-51.463,100.03,-97.081,-203.732,37.03,-22.546,-52.819,-85.898,-101.756,-150.343,143.871
-60.461,-114.563,75.509,-196.318,-160.468,181.56,147.247,-148.362,-66.353,-79.817,102.689,-74.582,-203.524,65.218,-65.753,-27.41,-107.432,-135.245,-151.559,123.413
-61.162,-134.687,87.024,-200.636,-179.707,142.18,141.534,-114.904,-117.821,-49.298,101.563,-91.842,-196.935,78.489,-60.995,-30.133,-108.727,-32.249,-156.452,137.714
-57.23,-122.165,46.038,-207.903,-182.249,153.067,139.982,-151.703,-114.549,-43.913,108.55,-93.76,-196.297,67.305,-58.449,-43.621,-39.608,-89.653,-155.801,71.504
-49.353,-144.696,83.312,-221.854,-209.847,141.14,149.599,-106.356,-68.344,-45.524,106.941,-103.889,-125.35,86.217,-58.262,-27.522,-38.591,-73.262,-142.536,118.404
-42.25,-99.796,72.402,-204.497,-173.639,142.724,153.574,-195.425,-48.441,-69.677,100.772,-72.642,-170.548,78.37,-69.859,-30.06,-82.919,-83.031,-150.768,169.735
-65.145,-173.413,78.209,-190.188,-173.263,131.95,156.099,-160.818,-39.317,-43.74,105.899,-92.638,-177.565,71.218,-62.99,-29.38,-84.848,-102.223,-149.584,144.26
-56.127,-122.708,56.914,-195.62,-172.134,143.343,160.059,-117.976,-74.754,-32.501,106.852,-71.9,-146.639,45.55,-56.442,-37.054,-132.272,-66.278,-161.839,84.381
-59.974,-146.198,62.33,-194.444,-126.907,179.81,143.474,-125.538,-98.239,-50.383,101.866,-81.09,-191.742,46.049,-40.404,-27.594,-99.92,-66.147,-144.387,117.044
-29.909,-134.421,59.006,-208.385,-170.795,121.763,165.06,-123.443,-94.333,-29.431,110.679,-55.617,-156.832,80.894,-71.268,-37.626,-74.868,-28.716,-140.082,115.537
-73.712,-145.63,64.886,-224.642,-186.692,159.845,158.816,-106.739,-58.252,-71.419,108.03,-90.219,-165.256,71.72,-32.869,-31.611,-77.144,-51.399,-146.207,127.987
-39.278,-160.4,59.297,-179.942,-163.575,136.922,151.116,-137.365,-148.991,-19.325,108.579,-95.99,-203.432,103.469,-47.589,-39.243,-48.945,-110.474,-145.826,128.571
-44.885,-145.903,32.568,-212.324,-162.271,152.499,162.352,-136.988,-80.023,-42.014,104.65,-74.564,-172.85,48.432,-39.036,-23.893,-52.477,-53.139,-142.447,82.573
-21.784,-135.385,64.559,-205.293,-187.963,135.243,142.547,-106.704,-72.594,-20.329,107.138,-89.036,-219.054,49.66,-74.629,-31.576,-71.093,-83.027,-146.354,110.244
-50.425,-162.788,52.725,-186.118,-165.503,150.547,160.445,-165.153,-56.913,-99.886,105.659,-73.838,-177.025,81.581,-85.537,-24.636,-76.38,-58.377,-142.275,113.377
-53.184,-162.254,36.365,-186.275,-156.199,137.745,161.273,-109.622,-20.333,-61.278,103.582,-72.817,-196.057,101.861,-63.815,-32.826,-94.03,-62.699,-148.647,132.356
-38.361,-129.21,84.105,-183.483,-192.341,119.3,146.051,-139.247,-109.413,-44.613,103.799,-89.019,-140.186,80.421,-86.781,-34.981,-55.728,-85.028,-142.236,134.36
-17.732,-145.325,66.677,-168.256,-154.255,145.208,166.067,-107.93,-101.695,-71.31,102.64,-89.36,-187.277,52.462,-63.426,-36.083,-75.214,-16.316,-155.291,137.609
-38.515,-119.772,67.46,-204.64,-171.915,127.625,166.793,-126.041,-84.017,-56.516,101.815,-98.31,-191.648,73.565,-35.547,-20.562,-61.026,-74.977,-156.734,128.286
-72.211,-144.591,83.145,-167.624,-163.926,134.394,164.978,-133.702,-82.054,-83.059,112.904,-107.618,-222.645,84.31,-108.988,-40.397,-144.913,-31.607,-148.861,144.379
-55.95,-121.023,37.45,-206.791,-174.895,147.889,159.179,-123.096,-102.019,-87.728,101.83,-85.164,-169.318,61.659,-55.368,-33.256,-102.16,-92.481,-140.503,159.677
-64.521,-138.225,61.729,-185.377,-149.614,118.857,156.778,-73.737,-64.47,-25.459,107.32,-99.539,-215.131,116.798,-77.04,-34.047,-75.268,-146.969,-149.705,131.048
-19.494,-168.197,52.613,-154.6,-210.918,127.19,152.066,-135.139,-47.05,-43.692,107.854,-83.911,-205.068,82.81,-54.178,-49.932,-33.805,-104.909,-154.741,78.422
-56.907,-149.31,77.716,-184.898,-151.41,150.507,151.595,-95.522,-89.93,-69.406,106.239,-101.0,-159.882,99.035,-16.542,-42.778,-99.383,-41.869,-154.678,155.938
-91.144,-154.461,64.748,-218.651,-173.329,115.282,165.165,-92.973,-86.764,-34.566,100.559,-85.099,-204.804,38.049,-89.309,-38.898,-74.456,-46.109,-144.062,125.633
-44.687,-131.825,98.99,-206.524,-151.864,110.777,154.874,-82.296,-132.464,-96.264,107.781,-103.131,-211.31,59.921,-47.961,-35.034,-90.863,-94.998,-152.227,127.758
-39.236,-159.011,59.322,-199.733,-147.917,100.996,151.868,-56.414,-110.087,-40.399,102.632,-96.478,-196.491,61.028,-51.999,-40.449,-150.45,-107.9,-138.75,79.262
