Response,Explanatory1,Explanatory2
-9.017053568016607,108.953,-212.743
19.093119022462616,104.482,-144.904
-8.03438974793788,110.398,-160.284
-21.383216462575504,109.595,-172.845
-3.540053973354233,111.945,-156.592
-17.455904880270197,111.577,-195.347
-20.768842373359917,106.204,-191.432
-25.538300595126856,106.295,-162.282
-10.227071619720775,109.142,-186.205
-0.927130801464159,109.197,-176.719
19.963458451619417,110.333,-193.455
-9.596719686293639,104.854,-186.929
-38.504811845647325,110.415,-174.338
-27.09980435500414,106.916,-187.378
-42.651049908477205,108.967,-184.105
-69.57999970169817,111.159,-184.89
-4.650512282749361,104.58,-192.849
-33.54979267529497,106.81,-183.555
-12.833670758291731,108.367,-193.887
-26.693199211320035,108.645,-175.523
-23.686176404527856,108.855,-204.707
-23.07924724209667,108.987,-162.585
-11.221467470855274,112.651,-186.22
-30.43471481766798,108.5,-191.358
17.539680676255813,112.53,-183.148
21.712929269434312,112.47,-189.292
-43.64212409003238,109.553,-194.44
0.5489608648257018,110.029,-173.235
-9.290389049297346,109.791,-180.606
-21.714396127610968,108.656,-195.659
-13.633887010977759,109.595,-190.571
-8.217493206036963,112.049,-179.758
-23.265393738778556,109.61,-197.781
-42.21263629090396,105.658,-167.439
16.16194730385463,113.334,-184.274
4.822809129336349,109.008,-165.586
9.088430525405911,108.329,-154.894
-31.517022889388784,104.999,-200.518
0.4500132168621036,108.092,-178.579
-19.866164066463597,109.875,-179.106
-11.820657775039507,108.252,-175.978
-13.81016878593833,109.28,-180.371
-46.74502045768975,108.863,-165.523
-39.232151857097165,111.424,-197.63
-39.199651010775966,112.543,-164.813
0.2142767952803979,106.013,-132.239
-21.141322391384804,109.606,-186.409
-53.8986218287869,105.48,-195.588
-13.990910643866684,104.385,-209.385
-21.87902826979972,109.785,-192.885
-19.199126723191313,112.521,-167.62
-24.553892416612058,110.677,-162.78
-13.990713192919529,108.148,-216.918
7.437414700738898,105.69,-187.611
10.185458618544303,108.82,-194.571
-10.696615573270122,108.616,-173.118
-18.79982414996067,110.776,-197.436
-47.413211990890574,111.542,-172.14
-14.316556404171067,114.658,-194.605
-24.931464235080924,109.495,-197.156
-26.93939976235177,110.431,-185.373
15.425033660763972,109.076,-174.282
-38.12180782677348,106.521,-197.705
-4.117247235921511,114.488,-203.068
-20.432767551615697,107.376,-199.949
-6.898858628097784,110.964,-186.565
-18.05613436027359,109.29,-156.25
-18.531403315868246,106.028,-160.589
-14.995287446191327,108.987,-188.602
-18.84894579839421,114.873,-178.313
-22.420495131243655,105.157,-188.618
-16.044597134884427,114.348,-189.484
-11.373705162261814,108.295,-165.877
-7.831198038435119,108.391,-191.449
-22.33328900647652,107.342,-192.24
-12.505178101515668,109.074,-165.861
-31.484732088331043,108.47,-155.209
-7.605583367617882,108.025,-182.001
-16.20115545508115,110.436,-190.579
-20.26935366455791,109.263,-188.969
-26.678141445023726,111.574,-176.524
-32.21703502390204,109.623,-185.784
-45.84415320883244,111.392,-158.244
-49.68891601150261,102.488,-191.852
-16.822495592549615,109.174,-178.697
-7.068848443099682,112.138,-186.616
-28.750948506798395,105.23,-175.514
-19.79986560829525,112.552,-178.259
-57.182793461269625,110.876,-142.304
-22.510626223592922,111.894,-202.54
-18.819229331015833,105.93,-169.009
-67.26971007352536,109.194,-166.01
-12.65794911673251,108.634,-159.602
-43.07263009887022,107.425,-177.659
-4.992891594272663,107.652,-158.838
-42.99446013017983,107.542,-170.076
-10.569293351358652,107.334,-190.129
-21.958580150401616,115.455,-193.15
1.783366925920248,110.064,-180.986
5.173171098153276,110.475,-165.56
3.305813618239796,114.178,-165.738
-16.046706133294705,110.661,-192.196
-11.507476499598894,109.346,-181.044
-42.97098810027279,108.937,-179.535
-10.68956569615871,109.198,-187.617
-11.448786702495113,111.777,-170.652
