Response,Explanatory1,Explanatory2,Explanatory3
-282.53177743809476,54.978,181.139,-31.703
-234.55085163555475,52.342,185.101,-19.024
-209.0143741965262,51.608,165.135,-39.695
-229.21672472798053,55.63,166.866,-26.996
-216.89872928577864,54.02,174.837,-35.537
-222.1181807433636,53.915,187.129,-14.728
-239.176799310376,51.749,174.239,-40.619
-234.6967536207662,50.733,178.893,-36.325
-257.0630943115101,54.623,172.468,-31.95
-257.38244918848875,51.431,157.928,-23.018
-222.4947348994599,52.043,174.289,-31.815
-222.62823805612862,51.737,175.686,-41.147
-234.7199327602069,54.409,171.212,-38.958
-228.55204712928958,53.53,178.097,-28.485
-255.08243796157436,52.012,146.891,-26.632
-228.19112653835208,55.995,197.875,-26.305
-236.30705717411956,53.442,161.442,-23.386
-233.6279849348707,55.172,190.257,-39.528
-229.8144071494363,53.303,145.318,-34.603
-210.71159990731374,52.239,153.72,-41.309
-233.81850474597047,51.706,153.615,-19.287
-259.1525147047212,52.03,187.186,-44.026
-245.32674494794733,52.76,171.277,-18.814
-227.26611672691396,55.378,149.163,-26.909
-223.0069086279504,54.426,175.424,-39.018
-218.5657687117763,54.174,175.809,-23.234
-245.92783307738756,55.02,197.562,-34.998
-243.99665198326898,52.204,197.689,-39.067
-247.92994267745848,51.958,162.78,-20.936
-228.64463149913286,54.084,207.293,-39.516
-232.7034778566574,54.308,203.683,-18.744
-238.50316486385915,50.572,178.602,-33.889
-225.2760503007207,53.228,179.552,-31.981
-230.40705186646454,52.932,148.557,-28.635
-218.7760111435037,52.128,182.241,-23.753
-255.84577293147942,51.293,177.271,-27.783
-243.87489226951112,53.094,163.955,-15.681
-243.33497757890476,54.329,165.699,-10.74
-221.523413279948,50.461,172.918,-11.543
-263.3387002751989,52.739,186.006,-18.997
-233.71164626786847,46.184,164.379,-23.934
-228.7026500683967,51.935,178.566,-20.682
-225.69101468302813,53.587,176.368,-46.1
-224.31183330799163,53.069,165.771,-27.853
-235.39652990114718,52.346,178.785,-15.029
-211.96542129230133,54.463,197.042,-22.285
-236.5452316141951,51.057,165.165,-23.736
-289.8701901375097,50.993,191.066,-33.594
-221.55877806099247,49.535,166.003,-25.988
-216.61506006536956,52.037,168.424,-22.528
-222.35835712118148,53.215,180.231,-8.952
-246.03458070577264,51.658,162.927,-37.506
-221.637641346387,51.475,167.95,-43.199
-194.81256029719586,50.788,147.759,-32.787
-234.08933177869977,54.402,173.337,-22.387
-228.42922537351632,49.388,160.994,-46.027
-232.46468243316605,50.999,168.391,-36.491
-247.11894167137763,51.853,177.275,-30.462
-227.9709159727998,50.852,169.977,-30.844
-251.639206713296,52.664,156.446,-16.116
-251.13734717364545,56.523,138.247,-19.641
-230.8492739306966,50.686,163.182,-35.736
-227.87441003077066,53.409,168.373,-28.932
-228.35233632785588,52.071,163.991,-28.816
-227.39531683481403,51.902,183.5,-27.694
-223.77260657135838,52.353,154.756,-36.932
-222.99088921885328,50.761,158.419,-28.314
-233.37422348685695,55.306,186.618,-28.861
-249.74618466308644,52.645,177.272,-32.966
-220.12108193104962,52.999,171.615,-33.49
-224.90023547989762,52.315,175.121,-29.586
-237.73536400289618,54.235,172.863,-27.459
-233.3149024192198,53.084,169.385,-40.174
-224.38156884703707,53.588,166.027,-35.356
-241.7500746453478,49.714,173.669,-46.855
-230.99540616239864,52.063,169.34,-24.743
-250.4477604011002,51.766,192.14,-35.167
-233.0484563737495,53.662,191.889,-30.901
-235.1449730201114,50.076,193.113,-35.211
-209.05963796982348,50.217,151.282,-32.522
-197.93856445939693,54.032,179.782,-32.529
-223.99147041558723,51.019,170.929,-37.924
-230.29097666311546,52.055,178.607,-15.379
-229.99821042821787,53.563,194.567,-36.441
-224.8240104265052,53.161,173.206,-28.119
-244.2353324913022,52.822,171.474,-41.828
-222.5204566280466,51.418,169.701,-18.994
-229.89002304873446,51.27,190.19,-40.892
-233.9988614206872,52.536,194.722,-7.551
-248.83222796761794,52.625,176.86,-35.681
-231.17496130588785,53.379,182.666,-36.968
-239.73716660782833,50.863,162.722,-31.832
-225.36159832690302,54.127,177.894,-16.648
-236.7573506695906,50.49,176.461,-18.504
-217.13692452379456,52.574,163.535,-33.973
-212.42499695196938,48.49,154.331,-43.407
-229.3768161215543,53.747,174.921,-51.711
-249.9885050238421,54.493,156.634,-29.302
-230.09415743464803,52.36,178.951,-47.611
-242.35834461912378,50.851,187.408,-25.881
-247.97761924403753,52.627,183.806,-17.27
-222.1300429321072,53.611,184.389,-24.25
-230.5245123922817,51.09,188.086,-26.995
-246.14982543317265,56.237,160.589,-22.518
-235.13329253901105,49.961,179.376,-14.934
-237.22314933054065,52.17,157.944,-22.583
-243.67303452695108,50.812,178.907,-3.946
-234.83657847709392,54.511,169.198,-24.795
-226.4551757582181,50.65,173.92,-26.123
-234.97519125890895,51.75,165.159,-40.923
-249.8953149680322,51.877,171.728,-35.564
-230.48616768244884,51.428,186.455,-24.021
