Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
-140.28630131318715,7.394,-34.259,81.842,-11.223,-72.029,-146.624,-195.371,-201.851,106.608
-128.50422054644693,18.709,-4.448,82.542,20.619,-63.126,-175.264,-177.928,-194.331,94.273
-139.26441422273234,6.888,-82.053,82.753,1.585,-68.169,-164.632,-188.062,-195.467,94.617
-139.44241074036773,15.738,-53.138,84.371,6.826,-75.989,-174.174,-191.473,-197.363,82.534
-137.86838143414997,1.812,-0.883,83.586,28.624,-65.228,-173.236,-171.225,-207.847,86.154
-135.24866593818751,7.532,-25.839,83.07,55.432,-63.247,-192.117,-154.852,-189.227,92.93
-137.56092997471276,7.258,-21.446,83.017,56.111,-68.634,-167.243,-187.101,-197.277,96.848
-153.92946344837654,7.523,-14.623,84.082,-4.405,-72.23,-149.041,-173.465,-192.673,86.005
-136.19742689618027,10.234,-6.036,82.213,26.224,-69.005,-170.685,-175.463,-194.804,88.838
-129.1601357643976,5.899,15.369,82.775,47.288,-68.835,-175.295,-166.218,-197.919,89.187
-137.80245474878257,7.824,23.668,83.743,39.28,-68.925,-180.421,-173.235,-207.494,94.64
-141.80675931669592,13.478,-53.177,83.762,55.644,-59.149,-173.443,-185.79,-199.789,94.519
-135.82172379733674,6.639,2.655,82.795,25.811,-77.992,-168.203,-168.036,-204.683,97.361
-134.38465439099227,9.446,1.31,81.979,49.841,-80.509,-176.686,-196.54,-199.841,89.576
-133.54782705226748,9.854,-19.986,83.67,83.519,-82.33,-165.417,-182.532,-187.953,95.732
-135.2799299660768,2.611,1.769,83.691,40.601,-71.878,-167.84,-187.695,-193.735,88.276
-140.22349916548225,15.75,62.758,82.309,33.855,-67.763,-177.282,-159.174,-190.411,91.987
-134.222841602937,10.125,-21.118,83.417,76.109,-71.375,-165.919,-202.119,-194.33,89.135
-134.19725091044415,11.188,32.525,82.38,18.915,-73.044,-174.733,-134.833,-195.966,92.608
-133.91499378829985,16.708,12.272,84.196,74.902,-69.225,-165.114,-183.769,-185.399,103.992
-139.01925603589947,1.386,-86.315,82.95,31.338,-66.042,-165.197,-156.149,-198.967,87.497
-133.2617255743307,1.408,4.798,83.4,42.908,-75.257,-167.664,-151.96,-197.316,88.75
-134.8266439166433,8.683,-7.05,82.871,51.953,-74.686,-164.047,-188.231,-193.884,101.242
-133.4729827418385,10.446,44.596,82.023,3.645,-77.953,-157.537,-193.949,-197.597,98.981
-138.8736745754655,9.382,-32.793,84.0,-27.491,-79.315,-159.242,-196.53,-201.128,94.131
-138.6489573728445,10.056,-49.588,82.984,18.529,-76.076,-157.723,-181.819,-196.232,97.478
-134.28893701050924,17.335,-52.889,82.335,53.866,-68.328,-177.949,-180.363,-191.923,96.197
-156.84752115782283,1.993,-42.241,82.629,22.042,-73.077,-164.34,-171.123,-194.068,92.781
-132.1419687531242,9.839,3.974,82.334,30.745,-70.253,-157.537,-165.831,-200.321,93.229
-139.1389263012603,11.654,-16.336,83.57,46.326,-86.746,-176.672,-151.346,-198.451,96.939
-137.48935643648014,11.002,-10.949,83.731,21.997,-64.854,-157.18,-185.404,-183.767,83.203
-134.97785233144097,-1.416,-52.596,80.091,13.612,-50.551,-180.055,-184.08,-194.274,98.216
-138.95552532886353,8.008,2.398,84.263,22.752,-58.425,-153.254,-216.387,-190.961,91.143
-141.20353727138883,8.674,-71.763,83.005,51.546,-84.576,-157.195,-218.051,-193.763,93.856
-134.82062142164244,14.112,-36.943,84.24,35.955,-73.528,-162.76,-163.013,-205.603,87.261
-137.4237367477071,7.73,-29.058,83.448,65.549,-60.743,-176.383,-173.448,-191.231,81.728
-133.72774239930754,5.907,-19.254,84.4,32.188,-68.384,-169.83,-161.472,-189.128,86.208
-136.41126977307323,7.438,-89.328,83.716,58.874,-74.387,-171.906,-200.501,-196.561,92.528
-138.0222923796556,7.235,38.555,83.755,21.253,-61.501,-153.779,-178.406,-194.181,97.59
-136.25310046508181,15.561,9.025,83.485,10.616,-75.555,-160.116,-181.966,-191.16,93.264
-135.56520307825036,1.65,-7.546,82.624,48.606,-71.833,-152.36,-171.42,-194.67,95.992
-131.97762889859445,17.216,-26.225,83.643,31.439,-75.906,-171.785,-143.645,-195.805,91.181
-136.49241082485406,15.438,-41.153,81.872,25.293,-83.354,-172.78,-168.846,-209.383,97.082
-136.00706445589768,7.878,35.146,83.159,72.16,-79.413,-182.325,-189.769,-192.763,90.587
-136.57373799046547,12.085,-51.727,80.671,-5.726,-73.276,-177.552,-163.369,-194.133,97.592
-137.8293269699142,6.702,-0.839,82.551,67.082,-55.322,-171.734,-164.809,-203.963,90.303
-135.1931884926595,11.477,-1.609,83.699,21.514,-77.27,-168.85,-192.017,-201.734,98.081
-130.18925245556719,5.693,-58.099,83.982,-35.04,-79.592,-170.272,-175.084,-198.364,88.938
-133.73036603916097,15.259,23.471,82.857,-34.583,-65.769,-157.214,-180.029,-192.167,92.154
-148.59516975818556,3.476,-52.23,83.278,63.946,-72.463,-171.056,-180.943,-182.159,98.172
-129.6815840056322,8.513,-16.075,83.41,59.976,-61.785,-163.642,-177.833,-191.009,89.151
-133.136482963688,14.702,-12.681,82.87,46.386,-75.458,-172.629,-173.59,-196.601,84.682
-143.8183102394856,12.826,15.516,86.063,10.191,-69.225,-176.048,-180.348,-195.607,98.122
-135.23749989399093,2.682,-71.851,83.141,59.139,-67.607,-158.362,-187.009,-198.082,105.888
-139.1624504384345,9.594,-18.903,82.876,42.558,-68.262,-179.115,-190.583,-198.106,90.198
-138.38069836108917,-5.192,16.522,84.378,19.18,-83.842,-172.647,-186.236,-197.556,102.911
-137.77507798967193,10.359,-62.536,84.408,20.228,-76.251,-152.049,-197.082,-186.189,94.529
-134.79795642306604,8.411,4.983,82.198,49.089,-59.259,-171.648,-193.047,-195.83,102.273
-133.4078519449543,2.475,10.225,83.65,-8.239,-65.02,-168.532,-188.592,-182.972,89.675
-137.942529029135,9.288,-5.372,82.899,23.877,-77.151,-173.567,-188.567,-184.858,92.739
-135.64907247020506,9.444,-7.104,83.391,6.704,-72.695,-151.337,-194.505,-196.24,92.384
-138.179,4.277,41.137,83.503,32.319,-65.99,-170.483,-163.07,-206.936,86.634
-141.98013631557689,9.816,-40.434,84.51,35.658,-79.972,-166.75,-159.604,-202.233,103.004
-138.00778332516967,9.52,-29.014,82.557,5.947,-74.13,-173.044,-210.396,-199.52,86.133
-134.05808636446346,13.706,2.758,83.782,32.476,-83.775,-181.088,-151.097,-200.184,95.56
-139.0275513568989,2.607,38.412,83.135,23.003,-66.287,-170.33,-157.825,-203.154,82.066
-154.72649529969104,5.073,32.024,87.31,63.066,-80.597,-170.693,-186.672,-198.41,108.176
-119.2412562223368,5.679,-46.346,82.815,7.165,-76.534,-168.968,-169.223,-202.179,82.507
-142.92159661314957,7.133,-132.277,82.082,-51.803,-70.526,-157.37,-178.999,-194.617,106.367
-136.10521934873037,8.523,-42.299,85.1,56.41,-73.923,-181.359,-181.571,-197.828,98.68
-140.05580533959912,7.87,-25.491,83.163,58.752,-77.136,-173.731,-190.886,-186.736,88.96
-139.9330108654033,16.05,6.676,83.091,19.754,-72.365,-162.772,-188.312,-196.896,85.41
-140.03981241795856,3.781,-16.036,83.98,21.075,-75.702,-155.02,-192.757,-203.185,93.356
-138.19311569004924,12.527,-67.368,83.594,32.029,-82.396,-164.243,-184.727,-196.695,96.704
-132.01063035379897,7.408,-43.3,84.005,19.399,-77.181,-162.729,-171.856,-194.954,83.454
-138.50962265551118,3.638,-80.843,84.276,58.024,-62.423,-178.46,-180.909,-196.067,108.655
-157.02710873540968,7.645,-42.457,83.342,14.929,-75.973,-176.752,-170.366,-201.079,96.386
-137.45909974534135,7.95,-10.785,83.596,46.23,-71.725,-172.507,-194.597,-184.474,83.331
-138.97011613518328,6.278,-77.419,81.842,-5.45,-68.368,-177.991,-188.992,-205.811,92.187
-129.37796062209404,17.264,-10.303,82.543,36.708,-69.596,-176.762,-140.851,-195.371,96.459
-137.48396963483228,11.339,-5.986,82.881,19.697,-79.215,-160.003,-176.854,-195.562,92.567
-147.6962830236337,9.195,-2.484,82.017,62.018,-72.252,-164.118,-150.685,-194.774,98.354
-138.00484917185878,9.897,-78.675,82.457,103.12,-63.779,-163.371,-157.405,-197.898,106.373
-137.17922080691744,9.461,-7.617,84.394,29.543,-68.983,-149.217,-161.477,-190.103,94.925
-133.24442812949803,11.171,6.158,82.567,57.354,-70.548,-176.182,-178.004,-214.785,94.875
-140.1904470353893,4.335,10.762,82.023,13.174,-64.98,-161.937,-176.143,-200.676,90.012
