Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
322.9651642993332,-117.484,-7.166,-125.544,109.956,127.42,138.385,-35.532,-75.96,30.381,-13.645,51.974,-72.118,-31.116,159.653,85.803,-29.564,-45.255,151.15,77.88
328.95177671796887,-112.382,-39.542,-94.817,125.86,75.421,141.327,-59.802,-64.418,15.012,-13.316,76.375,-63.012,-96.576,201.175,96.179,-24.089,-81.654,155.22,83.858
309.7344296648243,-111.852,49.277,-117.965,114.055,123.472,49.624,-60.006,8.304,42.334,-16.529,37.152,-58.574,-81.844,97.036,100.576,-12.271,-58.005,153.736,42.187
298.27467223809083,-100.204,15.729,-70.371,129.269,180.969,82.896,-46.645,-89.026,-11.358,-24.669,63.215,-68.302,-71.742,161.361,94.634,-39.627,-83.364,151.423,76.383
405.59862532139493,-114.815,-5.935,-101.919,133.0,158.848,71.672,-56.879,-23.965,-18.34,-9.495,90.896,-65.059,-108.27,129.332,76.368,-24.868,-41.753,152.371,132.115
180.34609734569497,-110.444,-37.337,-91.282,109.517,106.661,71.685,-33.087,27.532,-54.087,-42.994,43.5,-60.023,-113.84,206.97,74.96,-5.557,-13.603,153.699,41.289
384.9025919900332,-104.119,-65.856,-104.178,101.474,151.626,83.899,-95.309,-18.45,-11.496,-9.52,40.319,-82.229,-43.388,158.84,107.454,-8.732,-48.44,155.403,77.949
347.99089924773386,-96.766,-27.529,-103.47,127.016,130.588,66.763,-80.3,-78.534,20.107,-20.415,36.551,-66.786,-109.655,160.679,82.97,-11.354,-47.949,154.623,63.21
256.5421847593307,-113.518,-49.262,-88.913,108.095,173.651,112.324,-46.852,-54.319,-9.196,-16.115,41.711,-62.317,-80.617,166.267,89.316,-22.87,-45.422,152.502,88.569
119.9005611858594,-114.916,-22.484,-92.257,112.949,147.031,84.163,-77.988,-27.996,-28.805,-26.552,52.391,-79.166,-34.936,174.029,94.909,-13.735,-40.731,151.972,59.821
193.84011354564493,-108.959,4.978,-108.265,106.283,88.35,79.111,-52.146,-55.408,-53.506,5.096,36.231,-72.235,-76.374,146.127,105.752,3.05,-74.528,154.9,61.127
313.1410315141095,-122.564,-62.416,-125.292,100.657,115.967,94.868,-87.461,-60.456,-56.301,-19.445,80.429,-75.529,-83.002,100.51,86.081,-6.389,-10.578,154.787,55.592
339.1421424650359,-109.798,0.242,-108.067,135.12,109.856,93.816,-65.778,-32.913,-9.033,-22.566,43.301,-62.83,-83.761,249.242,101.089,-14.483,-36.381,152.945,112.696
276.6630807560766,-110.518,-26.459,-129.257,105.526,122.073,65.239,-46.164,0.723,7.778,-14.293,46.613,-65.77,-68.041,153.42,84.096,-6.984,-6.056,155.627,93.785
304.0984879363949,-115.768,-19.625,-84.529,114.112,123.388,76.376,-61.342,-44.669,-57.173,-25.108,51.839,-68.443,-86.016,192.195,85.716,-31.957,-67.06,151.518,80.776
234.27572903229697,-106.673,-36.704,-111.429,119.871,165.825,108.51,-61.146,-91.391,-32.074,-15.881,49.389,-62.328,-120.608,199.915,85.706,-15.21,-60.675,153.184,71.514
313.9068017925782,-115.861,-2.255,-97.551,120.18,137.332,22.348,-56.653,-80.251,-25.781,-30.891,65.292,-77.342,-108.783,188.813,81.214,-20.806,-68.884,151.186,27.616
278.8372799125575,-106.367,-26.342,-88.998,137.3,116.605,25.276,-31.989,-65.989,0.002,-10.751,41.318,-57.877,-72.907,210.681,90.079,1.613,-74.18,153.855,74.69
336.6653790668699,-105.611,13.388,-79.446,108.412,136.718,127.097,-64.175,-31.589,24.625,-29.166,53.689,-68.838,-91.94,225.964,88.703,-3.66,-26.883,154.566,103.025
345.8963418293837,-105.999,-56.927,-115.151,118.415,146.791,57.457,-60.528,-47.208,17.375,-25.718,52.531,-66.068,-66.488,126.259,94.611,-34.578,-54.029,154.38,67.672
356.85529648392827,-117.595,-18.664,-132.352,104.237,120.318,98.509,-80.175,-52.24,-63.024,-17.959,58.612,-64.539,-109.036,193.185,63.935,-17.54,-50.106,152.579,30.25
327.1860615957971,-112.074,-75.013,-105.329,121.69,81.785,78.138,-93.366,-26.064,-14.916,-41.893,39.627,-66.167,-77.784,188.554,91.409,-29.611,-119.744,152.595,113.036
299.6093431238505,-110.837,9.317,-157.346,107.099,104.208,94.902,-45.726,-98.369,18.152,-27.442,57.253,-65.162,-79.196,225.176,80.464,-25.268,-58.946,152.029,59.978
259.6699318696036,-116.104,-55.591,-125.814,142.363,143.169,58.763,-60.697,24.032,16.542,-19.738,64.177,-91.434,-92.579,109.676,86.659,9.739,-69.754,153.044,42.256
382.19889018953955,-113.188,-77.869,-112.009,116.777,109.673,2.546,-61.319,-69.339,-69.001,-9.267,54.835,-71.698,-108.332,205.978,96.144,3.14,-33.743,152.661,59.362
251.82409349572765,-120.274,-65.828,-108.133,134.421,119.292,90.018,-57.796,-74.873,-25.884,-11.361,53.905,-75.384,-83.144,217.23,105.467,-44.803,-44.612,152.152,41.311
304.29566014865713,-112.642,-32.813,-80.082,108.031,123.812,93.657,-93.29,-12.945,-4.148,-26.997,30.693,-76.499,-95.208,168.848,102.172,-26.413,-4.433,152.912,88.935
337.1622711000518,-110.444,-58.567,-148.311,115.589,182.307,56.117,-17.318,16.343,-36.131,-26.966,29.666,-87.965,-62.405,230.982,92.186,20.834,-44.449,154.242,58.773
68.97803226679987,-108.282,-38.177,-118.541,114.949,90.83,117.488,-49.707,-19.482,10.123,-17.262,51.887,-61.678,-68.489,152.241,61.186,-19.633,-25.416,152.909,57.111
350.083684942639,-103.498,13.851,-129.361,125.735,101.173,70.384,-21.912,32.919,-42.559,-17.341,50.693,-80.845,-29.209,181.598,83.475,-25.685,-61.871,155.883,91.455
290.6823284047613,-111.286,24.263,-108.269,128.302,84.866,100.454,-57.046,-73.28,27.847,-15.193,48.633,-68.741,-67.476,168.781,90.407,-25.35,-44.198,151.173,95.123
275.79507388241035,-112.916,19.834,-84.249,118.878,123.868,126.899,-54.113,-59.235,-11.839,4.464,51.126,-64.984,-100.21,206.76,67.57,-43.968,-65.593,151.745,88.839
290.82348812232925,-118.683,-21.728,-84.201,108.028,156.682,73.788,-27.001,-2.188,-13.784,-29.051,31.402,-63.559,-75.888,191.466,117.083,5.084,-42.814,150.442,64.849
317.50385742233215,-110.078,-17.952,-109.352,110.527,82.511,92.017,-52.104,-66.885,-12.488,-9.865,56.506,-70.64,-67.711,211.917,82.609,-2.681,-81.382,152.903,105.956
360.92764913109175,-105.811,-62.897,-117.033,117.897,151.408,88.005,-44.879,-30.331,-19.815,-20.474,48.288,-54.769,-117.789,162.328,93.51,-50.988,-66.647,154.006,107.448
341.1579940095878,-101.563,-77.594,-122.602,116.701,93.718,107.022,-55.174,-33.231,-47.551,-7.849,49.275,-78.605,-74.081,163.106,96.667,6.358,-22.489,151.988,61.231
367.51918743641056,-117.094,-36.239,-116.259,128.454,146.033,96.99,-64.615,-28.899,-19.175,-3.816,80.031,-77.182,-106.2,164.53,76.296,-7.187,-39.277,153.876,90.353
275.3693563896686,-118.699,-16.314,-90.219,122.175,129.659,130.61,-47.81,-36.11,5.492,-13.827,62.08,-80.921,-73.645,173.432,108.419,-18.635,-49.099,153.763,101.535
282.8334125060718,-116.391,-41.234,-129.339,125.521,103.57,55.137,-50.134,-8.597,-56.011,-35.108,53.575,-79.812,-51.815,185.94,86.62,-9.935,5.326,151.91,113.231
396.1306988223568,-106.984,-13.815,-135.937,123.378,127.338,76.981,-64.867,-22.988,-11.052,-11.585,63.27,-63.755,-33.719,172.043,81.503,-1.461,-67.439,152.43,46.054
308.25921158770086,-116.725,-73.437,-123.719,107.097,125.771,47.049,-67.807,-55.526,-33.109,-9.739,32.863,-85.231,-67.702,145.82,96.869,-7.863,-61.444,150.23,103.651
310.6815358952973,-110.024,34.018,-113.121,96.287,95.136,118.628,-80.303,-56.334,-12.026,-40.517,35.559,-82.416,-85.543,169.475,88.304,-30.883,-89.817,149.776,88.358
257.42726152208365,-109.425,-75.487,-89.631,127.027,134.88,102.481,-63.294,-13.21,-24.619,-3.939,44.903,-60.434,-68.472,202.709,91.126,-23.805,-56.759,151.216,114.049
408.2886384363085,-106.905,-2.357,-89.787,105.747,107.182,106.772,-41.987,-12.318,-19.826,-19.453,55.448,-67.023,-33.172,185.006,86.331,-27.43,-54.683,153.12,68.103
325.81745762599223,-117.68,4.106,-115.619,116.293,126.584,54.353,-42.313,-17.875,-3.469,-21.495,38.07,-73.062,-80.645,169.039,77.173,-4.13,-75.835,153.296,111.883
261.70713520793817,-112.519,-29.039,-84.158,115.376,114.116,117.374,-25.06,-25.476,-19.871,-27.903,11.344,-82.615,-60.532,161.332,92.409,-31.97,-43.263,149.329,92.638
320.5081187931032,-111.858,-13.341,-133.854,100.522,131.548,159.52,-50.599,-4.514,-26.086,-11.26,67.487,-67.265,-49.274,171.596,99.944,-24.094,-37.102,149.282,81.781
314.6661641009233,-113.381,-85.861,-144.498,105.56,94.098,65.301,-53.639,13.895,-27.294,-24.114,66.413,-85.831,-72.631,124.197,71.427,-15.761,-50.908,154.664,59.297
353.4594543979921,-104.986,-3.109,-72.266,118.37,141.995,82.652,-58.38,-63.199,-38.545,-27.872,40.047,-87.392,-55.729,162.788,81.621,-14.42,-71.871,152.261,90.932
331.71838510548395,-111.363,3.843,-142.833,120.221,126.067,86.307,-72.887,-53.735,-14.957,-10.277,57.392,-70.385,-66.214,226.823,103.256,3.105,6.806,150.688,76.695
313.93745085142234,-115.118,-18.787,-125.938,122.442,94.767,61.053,-65.905,-28.208,-20.027,-26.652,71.534,-60.946,-86.01,172.716,81.03,-0.688,3.766,153.122,63.595
307.40636954685715,-108.657,-29.229,-124.393,141.285,87.835,83.427,-51.46,-45.508,-36.25,-7.83,40.419,-70.075,-77.3,161.215,83.447,-21.814,-41.814,149.904,73.374
366.12506176441536,-105.268,-5.171,-129.75,130.861,84.44,135.194,-76.214,-5.62,-26.563,-29.281,50.27,-73.908,-106.608,228.077,75.464,-24.419,-83.192,154.127,68.541
162.17705976335967,-109.852,-32.341,-86.879,133.515,129.658,66.491,-56.617,-54.855,-41.153,-20.245,41.516,-61.739,-82.361,147.867,92.009,-37.153,-71.288,157.466,60.561
306.6966756923056,-113.383,-56.837,-121.289,132.177,110.269,151.284,-90.507,-72.548,-37.512,-18.621,62.277,-85.179,-73.235,209.547,85.043,-3.408,-58.289,152.561,61.667
254.04884354421617,-110.995,-47.266,-119.095,128.732,117.299,80.142,-74.786,17.617,-0.137,-28.464,41.672,-71.486,-85.516,145.025,91.504,-18.344,-84.599,152.499,71.237
366.33606440168364,-105.963,-23.951,-120.621,104.591,97.698,111.832,-56.56,-28.32,25.508,-24.355,49.893,-64.704,-67.716,140.676,93.91,-26.037,-58.431,151.968,56.447
317.21803103620385,-108.317,-47.082,-104.083,132.784,90.905,125.621,-58.951,-59.181,-18.102,-21.561,45.023,-56.505,-85.485,164.977,79.877,-2.764,-56.582,152.737,122.892
348.06532654908307,-102.455,-39.979,-116.583,123.368,95.758,134.151,-52.419,-70.749,-65.846,-27.846,31.653,-76.306,-111.205,188.518,76.965,-20.611,-27.194,153.295,59.462
301.132237899244,-112.684,33.798,-124.476,109.575,110.651,104.304,-56.55,-94.935,-27.732,-13.861,28.27,-75.544,-97.52,183.343,80.196,-1.258,-102.094,153.21,86.188
320.131936674509,-110.881,0.205,-109.703,127.912,166.615,77.34,-45.34,-64.97,-16.743,-9.01,61.863,-65.362,-110.927,166.962,69.846,-15.77,-49.308,152.494,85.355
320.59041151087354,-105.121,-53.281,-107.558,121.51,138.226,100.538,-60.707,-82.076,23.044,-20.794,59.863,-73.854,-71.517,170.383,72.964,0.83,1.884,150.205,100.857
384.93494200344566,-107.606,-11.946,-95.849,131.868,156.788,99.427,-30.847,-30.862,-26.441,-19.934,26.276,-63.088,-87.997,158.344,88.054,3.518,-31.65,154.818,66.521
309.5641297598437,-115.428,-10.259,-127.051,99.3,150.087,65.899,-50.991,-64.104,-13.96,-18.434,52.235,-65.862,-66.753,159.297,97.46,-27.296,-15.398,151.737,118.462
294.929984823709,-115.803,-28.526,-147.479,141.618,96.005,77.626,-68.821,-62.799,-16.409,-22.961,59.812,-62.922,-100.769,166.901,91.774,-20.151,-57.646,151.312,92.09
292.81572953889804,-106.082,-57.187,-89.297,108.752,198.337,96.994,-57.669,-9.475,-25.164,-20.675,57.774,-69.16,-78.268,154.842,91.467,-47.884,-24.534,155.523,73.306
299.08484266682296,-109.019,-49.775,-152.49,119.023,154.714,139.023,-46.212,3.313,-9.605,-10.832,50.775,-66.355,-110.292,167.039,121.337,-4.951,-47.733,155.194,86.619
204.92844294158584,-104.047,-8.33,-150.137,104.371,148.78,97.61,-36.452,50.615,-56.261,-31.73,45.319,-67.553,-83.076,144.341,88.38,-29.848,-68.101,150.553,86.296
310.1650733471756,-110.788,-16.66,-123.124,118.02,101.555,61.749,-72.193,32.856,6.34,-16.486,72.239,-70.444,-60.468,133.018,95.167,-9.559,-103.341,154.19,113.797
408.7240191378395,-105.869,6.241,-97.005,113.809,100.502,92.796,-77.367,-0.171,5.648,-2.734,48.134,-84.99,-82.004,166.94,103.773,-12.849,-87.058,150.064,78.245
342.0158946318671,-103.79,-28.09,-79.974,125.017,95.212,94.808,-63.738,6.998,-10.744,-27.107,41.972,-67.53,-84.145,142.821,64.972,-23.317,-68.168,155.762,91.328
301.76087260740746,-111.743,-94.727,-149.861,108.383,134.719,9.37,-28.275,7.93,19.729,-5.208,46.82,-62.444,-88.649,189.335,87.294,-15.239,-48.862,154.229,71.398
282.6286506776643,-111.872,-1.031,-70.281,103.189,123.612,43.099,-56.65,-60.13,-25.311,6.098,60.884,-79.756,-71.618,140.89,97.341,8.224,-87.662,151.922,85.824
304.4031361279031,-113.845,-43.364,-98.247,113.522,95.742,99.43,-66.33,-99.442,-21.026,-34.69,71.206,-82.618,-77.029,175.32,89.012,-14.624,-51.19,150.308,69.504
323.8489133610082,-112.133,-74.036,-83.365,102.885,117.805,42.513,-45.302,-69.284,-32.586,-4.868,34.474,-79.983,-99.328,150.591,78.661,-6.65,-4.875,149.879,11.934
