Response,Explanatory1
58.502,-1.22
-46.785,0.7
19.621,-0.327
1.514,-4.241
-0.871,2.802
0.314,-0.578
-0.821,3.714
4.177,8.011
-1.494,-0.255
1.507,-0.418
0.062,1.268
0.941,-0.404
5.418,-11.1
0.869,0.407
79.061,-0.372
-2.418,-2.665
-0.86,-1.784
7.915,-1.15
-0.953,-0.665
-0.156,-0.235
-0.978,-7.865
4.649,-0.258
3.406,-1.197
3.008,55.336
-0.49,-0.137
-7.739,-0.111
-5.44,-1.189
-2.837,0.113
-0.183,0.992
3.313,0.074
-0.621,0.791
-0.503,1.263
0.637,0.111
0.493,1.562
0.232,-0.69
-1.816,-1.778
0.918,4.239
0.139,0.906
-0.692,-0.374
-0.333,2.194
-0.496,0.24
-1.145,-3.999
164.64,-0.006
-0.579,2.138
-1.096,1.031
-1.593,0.156
2.117,2.578
-0.114,-8.329
0.544,3.34
5.493,-2.924
0.504,-2.434
13.505,-2.954
-2.302,-0.31
1.326,-0.304
-2.77,1.688
2.805,-0.06
0.204,-0.009
-2.303,-6.828
0.307,1.973
0.14,0.081
-1.155,-0.344
1.706,-0.097
-2.706,3.28
9.792,3.905
1.948,1.633
8.704,0.129
-3.936,-4.677
0.584,-1.602
-2.921,-0.773
-1.884,0.52
12.018,-0.78
-1.518,0.963
0.734,0.464
3.1,-5.311
0.432,0.383
-0.259,-0.154
-1.086,-3.541
3.351,-0.973
2.204,-1.839
-0.37,0.407
1.868,0.403
7.446,0.834
-0.909,-5.729
0.364,1.799
-1.925,-1.927
2.08,-1.255
5.808,-1.115
-0.377,1.89
2.612,1.057
0.029,-2.071
-0.368,3.222
-1.758,-4.014
-22.414,-0.571
1.394,-1.092
2.2,-0.013
-1.562,-0.319
-0.219,-0.398
-0.868,-1.987
-1.459,-0.638
52.415,-0.124
12.227,17.17
0.584,-0.153
-2.093,3.756
-1.192,0.869
-2.049,0.152
0.932,-0.289
1.756,1.584
-0.091,1.768
0.465,0.629
-2.664,2.694
0.058,-0.517
-0.631,1.069
-0.892,0.414
6.141,0.72
-0.808,-3.296
1.293,-0.528
4.432,-0.504
-0.772,-4.889
0.147,0.637
-567.281,-6.702
-0.392,-5.115
1.423,-1.838
2.64,-1.235
-0.258,3.199
-0.626,-2.046
1.605,-0.805
1.87,0.481
0.875,-22.401
-0.703,-3.274
-0.522,-19.298
6.968,0.059
-0.287,-3.972
12.479,-0.497
14.919,55.425
0.287,-0.359
-6.706,-0.429
-0.452,-0.016
1.053,0.435
9.448,0.69
-2.158,-67.885
-0.256,-0.803
0.221,-0.686
-0.081,3.506
6.272,-0.27
-2.517,3.539
-2.573,-0.937
-0.295,-0.047
4.735,0.401
-4.637,-0.737
-0.049,-0.873
0.695,-0.944
0.012,0.343
1.357,-224.432
0.51,7.587
7.318,0.258
1.157,0.619
1.38,0.677
0.6,-1.077
0.607,-0.632
0.645,-0.918
-0.439,6.453
-0.212,0.609
-0.48,15.43
-0.914,3.81
1.19,-2.184
0.419,-0.953
-0.517,-1.752
2.307,-0.383
-0.877,-0.99
2.49,0.635
-0.233,15.913
-0.267,34.457
-0.121,0.456
-1.592,3.208
351.743,3.807
-1.08,-35.812
-2.411,0.057
-1.411,-1.066
0.555,-0.228
-0.715,-0.757
-15.124,-1.415
-0.886,3.226
-0.961,-1.968
-0.462,10.747
3.5,3.656
0.384,0.714
-0.299,-25.704
-0.164,-2.286
-4.053,-2.982
1.379,0.906
-1.104,-0.083
0.011,16.316
-0.008,-0.804
1.124,0.125
-1.164,-1.868
6.753,1.806
0.733,0.359
1.357,0.116
0.508,-0.403
-1.635,-0.607
0.016,1.0
-0.259,0.235
0.705,-0.003
1.191,-1.155
0.284,0.605
-11.916,-1.324
-3.061,3.493
-3.44,-3.318
-1.385,-0.348
5.545,1.267
8.188,-1.47
-1.181,-0.594
-0.033,0.807
0.588,1.675
-0.939,-0.405
6.981,-1.189
-0.581,-6.83
-35.413,2.462
-2.877,-0.298
0.609,-0.512
-2.03,4.363
0.017,0.228
1.554,2.963
0.288,-0.02
-1.372,-2.017
0.601,0.383
-16.868,10.791
0.051,-0.159
-0.332,1.325
-2.033,-0.558
0.08,7.015
0.078,4.278
-0.028,-0.395
-0.665,0.038
0.841,0.451
-1.094,-0.627
3.32,-1.505
0.056,-0.338
7.251,2.387
-0.886,3.306
-15.41,5.605
-4.568,-1.333
0.16,-0.613
1.077,-1.733
-0.713,-2.485
0.111,11.964
3.5,-0.587
-0.532,1.654
2.827,-0.032
-0.648,4.099
0.037,1.52
-0.157,0.702
0.56,0.291
1.011,0.274
-0.227,-8.949
0.467,1.5
0.248,-2.258
-1.002,0.31
-29.809,-10.627
-0.479,-0.743
-0.637,1.881
-0.296,1.599
-1.394,0.87
2.67,1.428
2.153,-1.526
1.89,228.35
2.324,-0.76
6.131,-8.137
1.613,-0.631
-1.37,-39.229
0.444,-23.289
1.272,-1.198
0.28,0.67
0.504,-0.482
-1.692,-0.66
2.182,-0.022
0.13,-0.673
-0.472,-0.987
-0.344,-0.762
-19.954,8.284
-0.553,-0.238
-1.485,-0.09
0.242,0.701
-0.731,1.412
-0.814,-0.381
0.16,-11.192
1.609,-0.768
0.333,-1.836
-0.788,-3.318
8.429,0.01
-0.542,-0.513
0.044,0.273
-2.087,-2.08
0.059,-0.197
0.485,-0.222
0.147,6.997
-13.818,-4.893
-0.318,-2.994
0.162,-0.483
-0.192,-0.91
-1.199,4.696
-4.923,-0.623
-2.901,0.544
-1.054,0.031
-1.794,-0.783
0.416,3.948
5.201,-0.882
-0.114,0.198
-0.172,-1.113
0.126,-0.288
1.578,1.704
-4.671,2.317
0.768,-0.615
-8.927,0.083
-2.543,-0.174
-0.838,-0.498
-0.358,5.438
-10.401,2.263
-1.864,-0.632
19.65,0.689
-1.209,3.004
0.718,4.756
-7.689,-0.415
0.82,-1.182
-0.64,-6.129
1.683,0.155
-0.07,119.855
2.526,0.569
0.159,10.904
0.172,0.012
0.749,-0.081
-0.362,0.481
-0.496,-0.733
-0.351,0.416
-0.42,-3.079
-0.041,0.008
-6.377,-1.087
0.979,1.806
2.033,3.055
-0.19,1.481
0.994,0.561
0.464,1.032
-0.003,1.893
-0.189,-0.235
0.976,0.019
-2.254,-6.552
-1.467,-0.125
0.188,-2.128
-0.635,4.377
-1.52,0.088
-1.704,-2.44
2.75,-0.002
2.26,1.155
1.75,0.553
-0.197,14.846
2.079,0.092
-2.723,-0.259
0.371,-3.282
-1.447,6.982
-0.842,-1.145
-0.194,-8.249
-1.339,9.349
-0.056,2.484
3.022,0.423
0.868,-1.389
-25.426,-0.111
-4.039,0.754
1.352,3.884
0.235,0.325
0.541,-5.528
-2.744,2.215
3.047,0.133
-5.136,0.276
-0.27,0.043
1.09,0.559
1.057,1.726
-0.023,-6.282
-3.537,0.34
2.423,0.109
-4.511,-7.79
-0.233,-0.96
