Response,Explanatory1,Explanatory2
2.427,2.082,-0.135
-0.261,0.226,-0.142
-0.096,-0.828,1.418
-2.855,-0.549,1.832
-0.831,0.219,-5.274
-0.835,8.263,-0.747
-3.103,-2.924,-0.869
0.05,-3.154,0.956
11.54,18.671,0.124
0.632,0.521,-0.291
-1.172,0.391,-3.52
-8.833,-0.831,0.825
0.026,-0.127,2.26
-2.261,-1.014,-0.159
-1.309,2.317,-1.186
0.492,-0.34,0.325
-9.424,1.673,-4.755
-0.13,-1.142,-0.373
0.317,0.015,2.254
-0.07,-0.911,7.197
0.957,1.616,-1.332
-0.201,1.081,-1.208
-0.281,-2.875,-1.158
0.64,-0.772,-0.72
-11.541,0.714,-2.909
12.837,-2.472,0.531
-0.536,1.801,0.658
0.216,0.471,0.738
-0.624,-3.435,-5.158
-2.064,0.368,0.385
0.456,1.642,-1.138
-2.366,-0.164,7.743
-0.241,139.445,-0.625
0.21,-2.521,-0.927
0.288,-0.249,2.985
0.236,10.485,2.663
-0.21,3.917,-0.938
-0.448,-0.699,0.071
-1.208,1.884,0.98
-0.051,-1.019,0.555
-3.72,0.217,0.795
30.556,-0.156,-0.113
1.363,-9.645,-5.884
0.717,-3.325,3.523
9.107,-1.308,0.041
-0.233,2.824,0.133
11.747,-1.08,-0.571
1.484,0.154,-0.419
-1.065,5.411,-0.567
0.217,-25.067,-0.101
-2.429,0.532,-0.57
-2.224,-0.65,-0.519
0.094,0.717,0.417
0.946,-2.021,-0.381
1.787,0.258,2.582
-2.724,0.101,1.335
-0.614,-3.65,18.741
-16.086,-0.987,-0.182
-1.398,-0.266,-0.713
-1.111,8.711,1.538
-1.49,1.536,0.665
-0.547,-0.282,0.297
-3.7,-2.049,-0.613
-0.676,0.381,0.59
-7.28,-8.686,2.22
-0.583,0.39,0.444
5.251,3.178,1.19
-3.805,-0.083,-0.754
-0.472,-1.153,0.968
-0.359,0.622,-0.418
-3.147,-0.233,1.9
-0.301,-2.487,7.007
2.297,-0.23,-1.229
-2.593,-0.922,-0.697
0.841,4.217,-0.219
-0.171,-0.375,0.502
-67.055,-0.368,-0.568
-0.839,0.706,0.903
-0.941,0.437,33.533
-0.39,0.385,-1.395
1.353,1.856,-3.497
-2.51,0.991,0.833
0.809,-1.002,0.698
1.306,0.543,-7.057
3.058,0.029,-0.462
1.865,0.746,2.069
-2.438,0.243,5.061
-1.502,1.51,0.485
-2.21,0.693,-1.217
8.28,-0.451,0.54
2.036,1.473,-0.121
1.013,-14.436,8.438
-3.004,-1.659,-0.091
1.316,0.126,-0.554
-1.432,0.466,0.377
-7.691,2.902,1.927
-0.811,0.793,7.91
0.269,-0.475,4.021
-2.259,15.583,0.24
-0.698,9.678,0.219
0.513,0.51,-1.525
-4.343,-3.897,-2.271
1.833,-0.642,-6.304
0.451,-3.483,0.158
-7.494,3.577,0.538
0.032,3.281,-0.087
0.591,0.85,-1.286
-135.24,-0.254,-1.16
2.58,1.286,-7.902
0.187,0.168,-0.406
0.81,-0.402,-6.088
-0.106,-0.343,0.057
9.584,1.958,-0.164
-1.406,0.997,0.187
1.636,0.014,-0.116
0.287,-79.018,25.238
6.365,7.749,-0.061
-0.513,-0.09,-0.605
0.066,-9.635,0.774
1.831,-0.643,3.386
-3.784,1.141,-1.537
3.331,-0.103,-3.075
-0.03,1.516,-4.504
-6.682,-0.8,0.218
-0.279,1.663,-0.674
0.532,0.27,3.597
-0.874,0.272,4.556
-0.285,-0.191,0.173
-0.214,-1.538,-0.716
-0.217,3.33,0.709
-0.347,-1.281,0.926
-1.538,7.356,0.073
-0.039,21.74,0.254
-9.875,-7.182,1.592
-7.504,9.336,0.607
3.663,7.751,-0.577
0.041,-0.816,0.678
0.836,0.465,-0.905
0.288,-2.259,-0.669
-0.109,3.802,-5.744
-2.678,0.064,-3.047
-1.618,0.445,5.017
-36.31,2.168,1.692
0.118,0.663,1.02
2.663,1.397,-0.675
-2.971,-5.168,1.489
-1.168,4.069,-0.411
-1.209,1.274,-0.106
-0.858,-2.11,0.799
0.49,0.385,-1.936
-1.694,2.078,3.129
0.188,-0.996,0.047
0.915,1.701,16.404
66.321,-1.04,3.087
-0.944,-0.725,0.151
-1.902,1.416,9.252
-1.17,2.209,-0.218
-2.341,-4.618,-3.13
-20.526,-1.218,-5.745
0.455,2.384,5.114
0.816,29.066,0.458
-3.886,-2.497,0.311
-0.065,-1.479,-0.806
-1.455,-0.097,-0.624
-1.06,10.293,3.896
0.544,-0.69,0.148
-2.349,4.125,-2.315
-0.898,-0.411,-2.457
1.049,-2.952,-0.511
-4.18,-0.593,-4.03
0.786,-1.249,-0.005
2.185,11.994,-0.178
3.86,11.541,0.34
-0.356,1.807,0.158
