Response,Explanatory1,Explanatory2,Explanatory3
6.16,-0.389,1.222,0.224
-4.375,-2.182,0.035,-0.888
-0.136,-0.244,-2.33,0.695
-0.509,1.264,-1.768,1.242
9.824,-1.654,-0.011,-1.294
0.801,0.353,-0.728,-12.551
7.303,-1.971,1.409,-0.415
-0.719,4.362,0.495,1.589
1.285,1.654,-0.419,2.22
-0.707,1.508,-0.805,0.469
-0.075,4.019,2.259,0.129
-0.707,-2.36,0.454,3.256
-0.191,-1.963,0.596,2.464
50.678,-0.469,2.042,-3.32
2.651,1.38,1.347,-0.55
0.007,2.493,0.526,0.754
106.958,5.435,-0.513,0.432
3.719,-0.274,0.0,1.375
1.673,-9.518,-0.128,10.948
-4.357,1.064,-0.176,0.816
0.85,-6.474,0.049,0.489
-0.438,0.514,-1.496,6.871
-0.188,2.233,7.909,0.365
-0.961,0.099,0.91,-0.587
-1.214,-1.871,0.823,-0.49
0.529,-0.096,-0.966,5.51
6.758,-1.15,-15.39,0.267
-1.068,1.872,-2.149,-1.213
11.715,-0.038,1.356,-0.819
-0.312,1.988,0.25,0.44
0.625,-1.057,1.291,0.558
4.792,-0.8,8.726,-2.911
-0.054,-1.09,-1.386,-0.38
-0.038,-0.678,0.058,5.418
-2.968,1.331,4.969,-3.309
-1.266,0.378,-0.882,0.662
-0.427,-1.011,-0.953,1.458
0.96,-0.661,2.914,0.862
0.177,-1.13,-9.718,1.488
-1.74,-1.526,0.292,-2.993
0.675,2.256,0.027,0.701
-1.95,-0.65,0.969,-0.51
1.928,-1.04,0.064,0.708
6.285,-1.594,19.513,0.367
0.429,0.133,-0.525,21.52
-4.53,-0.18,1.077,0.484
-1.96,2.587,0.505,8.76
-1.041,0.348,-0.066,2.911
0.845,0.492,-5.117,-0.428
0.758,1.631,-1.058,0.032
-0.589,1.077,1.811,-0.03
-0.286,0.347,-0.392,-4.405
-41.286,1.563,-1.412,10.02
-0.871,0.309,-0.74,0.047
-0.232,-2.139,0.36,-0.434
-0.326,-1.38,0.951,0.524
3.921,1.25,-0.196,5.015
-0.387,943.776,0.831,0.135
-0.337,-0.407,1.876,1.055
-1.577,1.818,0.091,0.827
-0.236,0.15,-1.685,-2.552
0.639,-0.358,0.023,2.85
-1.386,-0.288,0.539,-7.388
1.179,1.211,-6.986,-13.376
1.642,-6.054,-0.447,3.274
-4.241,-0.308,2.66,-5.374
-7.049,-0.516,-0.247,-1.817
-0.535,-0.305,-0.301,0.858
-0.892,14.337,-1.583,1.933
-3.22,2.082,-0.701,0.243
-1.539,-4.058,-0.426,0.872
-2.007,-0.96,6.09,-0.305
0.014,0.229,-15.584,0.034
-1.614,-0.352,0.523,-5.171
-0.783,1.007,1.237,-0.525
-0.574,-0.776,-1.709,0.839
