Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
3.887,0.509,-0.696,0.76,-0.061
0.488,0.425,-2.061,-1.542,-0.351
-0.179,-0.411,-2.793,0.551,-0.53
0.148,0.481,-0.566,-0.375,0.176
0.927,1.134,2.444,0.239,-0.413
-3.958,5.448,-0.052,1.719,0.442
0.268,0.411,-3.417,0.14,-0.268
-1.545,-0.14,-0.248,-1.359,-0.608
-2.307,10.556,-0.391,0.493,0.742
0.475,-1.618,-0.597,3.981,0.099
31.473,0.95,-1.262,-1.445,-0.617
-0.483,-1.539,-3.529,-0.116,0.294
1.353,-1.448,-0.685,0.457,5.473
-0.795,-0.48,-0.172,7.034,-2.564
0.317,-6.997,-4.164,-6.306,3.629
-0.035,3.795,0.778,0.11,4.06
0.029,-2.119,-0.234,1.812,-0.036
0.148,5.126,0.188,-0.271,0.231
-0.763,1.034,0.198,-0.509,-0.352
2.733,-0.505,2.026,0.637,-1.099
-7.756,0.493,-0.223,-1.859,0.392
1.173,754.755,-0.4,0.259,1.418
-0.375,0.251,-0.016,-0.169,3.427
-1.309,-3.061,-0.26,-0.551,45.38
0.793,-0.558,-33.181,-5.4,-0.581
-2.952,0.474,0.598,4.817,8.909
0.495,1.159,-3.444,-4.633,-23.398
0.647,0.264,0.726,0.118,-4.846
-0.592,0.781,0.943,-1.753,6.901
0.955,-0.089,-0.867,0.006,-0.23
1.879,-3.225,3.6,-2.082,1.269
-8.52,1.033,1.722,0.221,1.961
0.339,0.192,1.223,0.116,-1.866
-0.101,6.619,0.225,-0.105,0.03
-2.891,0.194,-12.267,-0.236,-0.062
365.1,2.588,0.668,-5.509,1.522
-1.439,8.223,9.471,-0.042,-0.817
-0.399,10.827,-7.792,-66.368,-0.103
0.534,17.153,1.035,-0.072,-0.645
-0.415,-0.183,-3.038,0.186,3.313
-2.23,0.297,-1.189,-2.829,-1.462
1.764,0.714,69.211,-0.793,-3.17
6.69,45.406,0.156,139.223,-0.817
-0.592,0.483,-0.379,1.079,0.169
13.625,-5.661,-9.839,-4.183,1.008
-0.172,0.631,0.589,-0.443,0.443
0.724,-0.132,-0.19,-0.634,-0.074
2.037,-0.979,-77.064,-0.892,-7.548
-2.337,0.363,-0.088,-0.192,-0.369
-0.36,0.774,-2.542,0.901,-2.688
2.532,1.175,3.44,-0.588,-0.776
