Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
0.347,-0.536,-0.979,-7.257,-1.785,-1.002,-7.189,-0.475,-0.012,1.065,0.739,-1.119,26.855,-0.727,-0.727
-2.593,-0.431,0.902,-3.703,-6.381,0.038,0.473,-0.36,0.1,1.073,-0.858,3.921,3.117,0.845,-7.822
0.181,-1.061,-2.614,1.294,0.916,0.282,-4.396,0.206,-4.255,12.263,-6.396,-1.004,8.069,1.619,-0.614
0.978,1.214,-0.459,-6.491,0.088,0.81,-0.919,-3.75,1.831,-0.236,14.713,-0.996,1.414,0.117,-4.194
2.263,4.178,-0.761,0.867,-1.576,17.434,0.262,0.961,0.195,3.562,-1.984,-0.234,5.37,-0.845,1.001
2.406,-1.992,0.444,-0.628,1.794,3.491,1.926,-1.7,0.008,2.771,3.326,-1.679,-0.869,-0.536,0.351
0.972,-0.344,7.679,0.121,-1.926,-20.797,-0.134,-0.837,-0.786,0.438,-0.481,5.741,0.585,0.235,-0.604
-1.292,-1.359,0.563,0.241,0.91,-0.131,-1.967,-0.459,-0.489,0.332,0.721,1.651,-0.175,-19.388,0.725
3.598,-5.478,1.443,0.524,-2.071,5.164,1.755,-0.971,0.274,0.478,0.882,-3.988,-0.147,4.664,0.531
1.118,0.143,4.406,-2.235,1.808,-0.761,0.558,4.356,-0.155,0.236,-0.193,-4.77,-0.298,-5.43,0.243
1.43,0.142,0.276,-0.021,0.173,0.26,-0.832,0.151,-0.696,1.006,0.724,-0.833,-0.046,-0.264,0.399
0.854,1.853,-0.954,-9.011,-3.636,0.212,2.263,-0.239,-131.36,-1.92,-0.734,-0.675,-0.213,-2.316,1.772
-0.188,-0.01,0.749,-0.485,-6.624,-0.149,0.278,27.007,0.786,-0.029,1.938,-2.252,0.572,0.447,1.099
0.473,0.6,-0.173,0.207,-1.144,-3.786,0.454,1.049,-0.346,-0.706,0.837,-4.912,0.404,2.638,0.74
4.151,0.644,0.327,0.36,-0.777,0.518,-3.132,-0.035,1.381,-1.357,-1.53,1.397,12.627,-1.656,6.367
-0.208,-2.535,-69.006,-1.199,-1.106,0.641,-1.936,0.988,-0.026,0.055,-0.214,-0.78,-0.025,-0.554,-0.071
0.659,1.419,-0.08,-5.659,1.194,0.774,-0.076,-0.513,-0.003,-1.762,0.153,0.522,0.996,-1.185,-0.983
-0.354,-2.498,2.661,0.052,0.124,0.56,-0.17,0.397,-7.348,-26.35,0.891,-1.807,-0.465,-20.984,-3.226
1.611,-1.212,0.431,-0.85,3.205,0.006,1.746,19.966,-0.155,-0.286,-0.093,0.402,-0.671,-6.718,0.056
11.751,-0.767,1.979,-1.212,-56.13,-0.036,-12.978,3.347,0.855,-12.57,-0.529,0.664,1.317,3.612,3.396
4.007,-0.368,-2.01,0.572,-6.06,-0.405,0.251,1.673,0.14,0.532,-4.34,0.122,0.558,0.536,1.134
-3.867,0.001,-0.104,-0.405,-5.572,-0.566,0.671,-1.341,1.481,-0.551,7.087,4.631,1.927,1.011,0.572
-0.31,0.01,1.019,-1.374,3.883,-37.803,0.203,1.457,0.376,1.018,-0.079,-3.069,-0.109,2.849,-3.34
0.737,0.598,-0.459,0.179,-0.454,-4.464,0.808,-0.622,-21.827,-15.461,-0.138,0.111,-0.202,-0.806,-0.967
0.654,0.451,-3.24,0.677,1.395,3.233,0.924,1.631,-0.833,-0.174,4.318,0.326,-0.621,-0.837,-132.797
0.087,-0.322,-1.256,0.305,-0.238,-1.947,0.02,-0.469,0.413,0.455,-0.217,-1.444,2.044,-1.149,0.191
-0.18,0.39,-0.287,-15.387,0.867,-1.522,2.854,0.607,-0.347,0.167,0.033,4.541,-0.952,-0.19,0.093
-0.302,13.503,-0.343,0.551,1.303,0.572,0.782,-0.027,9.052,3.498,-0.77,-0.612,-0.901,-1.524,0.313
-0.096,-0.384,3.913,0.512,-0.873,0.735,-4.352,-0.115,-1.461,-6.017,-0.95,1.069,0.479,-0.203,-1.574
0.57,-0.999,-0.109,-0.636,-0.747,0.441,-0.503,-0.007,-6.027,2.137,2.507,-10.524,10.038,1.387,-1.18
0.053,0.931,2.538,2.056,6.016,-10.165,-2.047,-0.94,-9.796,0.654,4.27,0.468,0.244,-8.423,-1.638
-1.371,-1.023,0.589,-0.534,-0.025,1.872,0.347,-5.33,1.209,-2.021,0.571,-5.694,-1.992,0.015,-5.267
