Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-0.449,3.77,-7.242,0.591,-2.463,-0.473,-0.494,0.567,-22.871,10.093,1.789,-11.569,-3.597,6.199,0.293,-0.289,0.562,-0.452,1.767,1.329
-66.761,2.45,-13.512,0.276,-1.074,-1.476,-1.36,0.474,0.112,3.472,0.961,-1.541,-0.14,0.597,0.417,-0.451,-0.377,4.499,-0.568,-6.125
0.946,0.939,-0.471,-0.248,0.237,-0.004,-0.45,3.132,10.643,0.318,0.295,-0.929,0.758,0.172,-0.187,1.146,0.771,0.551,-0.358,-0.313
-1.903,0.381,0.939,-1.22,0.158,-0.708,0.081,-0.046,0.215,6.879,-1.465,6.917,0.463,2.851,1.209,-0.682,-0.803,1.279,0.424,-0.39
-1.131,-0.172,-3.7,-7.65,2.67,-14.446,-8.318,6.426,0.434,-0.464,0.042,2.363,-3.684,2.548,0.082,3.798,0.446,0.732,0.305,0.882
-1.346,0.092,15.715,-0.168,0.868,-0.911,-0.367,1.788,-8.819,-0.289,-1.428,-0.102,1.043,0.658,1.092,2.885,-2.082,-0.776,-0.422,-4.851
-7.354,0.392,1.414,-0.07,0.363,0.054,-1.507,-1.955,-1.811,0.675,-0.452,0.066,-2.849,0.585,3.749,-1.48,-0.288,-1.841,-1879.273,2.574
-2.018,0.223,-0.977,-1.025,0.112,0.623,2.663,1.438,-2.821,-1.526,-0.455,1.608,0.453,-0.359,-4.271,0.288,0.725,0.386,-0.715,-0.308
-1.287,0.515,-3.257,-1.175,-2.809,0.669,-0.774,-23.19,2.391,1.586,-0.924,0.373,23.542,-4.423,-0.853,0.897,0.3,0.836,-0.84,0.446
0.496,-0.372,-0.317,-2.961,3.121,1.273,0.138,-1.851,0.203,1.846,-0.363,-1.198,-40.721,2.765,0.178,5.46,-2.192,0.475,-0.447,-9.072
