Response,Explanatory1,Explanatory2
-61.05275528210211,2.082,-0.135
-61.65283898486438,0.226,-0.142
-60.253261369812655,-0.828,1.418
-63.31674722831091,-0.549,1.832
-62.380343715374984,0.219,-5.274
-60.51712506799636,8.263,-0.747
-61.0147233705009,-2.924,-0.869
-61.31509324419922,-3.154,0.956
-59.75603549459537,18.671,0.124
-62.21958082754007,0.521,-0.291
-60.875297551300015,0.391,-3.52
-60.74055324610798,-0.831,0.825
-60.73406599384831,-0.127,2.26
-60.39723710953871,-1.014,-0.159
-60.0300032280346,2.317,-1.186
-62.02924617513529,-0.34,0.325
-61.53346148957303,1.673,-4.755
-61.25848469624527,-1.142,-0.373
-60.55290975238627,0.015,2.254
-61.04454272927582,-0.911,7.197
-61.25285997740977,1.616,-1.332
-61.19939930197242,1.081,-1.208
-61.02980905674552,-2.875,-1.158
-62.36223880862002,-0.772,-0.72
-60.87363824551789,0.714,-2.909
-60.66653560100048,-2.472,0.531
-62.3406844206292,1.801,0.658
-61.255136228127924,0.471,0.738
-60.38138286239793,-3.435,-5.158
-59.85342342160344,0.368,0.385
-60.91273644802127,1.642,-1.138
-60.90743980783236,-0.164,7.743
-60.99403040626538,139.445,-0.625
-60.592299886956,-2.521,-0.927
-60.42585000148078,-0.249,2.985
-60.23997546429869,10.485,2.663
-61.01208920847258,3.917,-0.938
-60.696772139419764,-0.699,0.071
-60.892434726653725,1.884,0.98
-61.1838953296138,-1.019,0.555
-60.45939319160064,0.217,0.795
-60.7682530400069,-0.156,-0.113
-61.08569656157061,-9.645,-5.884
-59.91303598068335,-3.325,3.523
-60.74846933285807,-1.308,0.041
-60.57979322092983,2.824,0.133
-59.58351153699037,-1.08,-0.571
-61.0260544555327,0.154,-0.419
-61.37023415548625,5.411,-0.567
-61.70216868838512,-25.067,-0.101
-62.53170424074857,0.532,-0.57
-61.41600427193355,-0.65,-0.519
-60.773016676021086,0.717,0.417
-61.41147381538737,-2.021,-0.381
-60.952477803264756,0.258,2.582
-62.78926048263924,0.101,1.335
-59.31599620592335,-3.65,18.741
-60.696218036843405,-0.987,-0.182
-62.74066825294685,-0.266,-0.713
-59.92751120067141,8.711,1.538
-61.039978040071354,1.536,0.665
-60.8571947887617,-0.282,0.297
-60.802618074708576,-2.049,-0.613
-59.56430911140398,0.381,0.59
-62.22267880769139,-8.686,2.22
-60.12737005749525,0.39,0.444
-62.31388217533189,3.178,1.19
-60.49048308528323,-0.083,-0.754
-63.18284458556881,-1.153,0.968
-63.35052941134269,0.622,-0.418
-60.880359955600106,-0.233,1.9
-61.719401629562704,-2.487,7.007
-60.90587895310495,-0.23,-1.229
-61.65839574582788,-0.922,-0.697
-61.01840313672824,4.217,-0.219
-60.99419928862997,-0.375,0.502
-60.83271203240972,-0.368,-0.568
-59.75679255059426,0.706,0.903
-60.595218505132394,0.437,33.533
-62.261270394929795,0.385,-1.395
-60.74164431624944,1.856,-3.497
-60.5475071657029,0.991,0.833
-61.958806701027804,-1.002,0.698
-60.58584804744214,0.543,-7.057
-61.776215482640254,0.029,-0.462
-61.22818041976308,0.746,2.069
-62.46728850205247,0.243,5.061
-60.27409475800547,1.51,0.485
-60.88783857044642,0.693,-1.217
-60.658265984973525,-0.451,0.54
-60.54343106811237,1.473,-0.121
-61.46809843463159,-14.436,8.438
-60.8389269733854,-1.659,-0.091
-60.6251515212057,0.126,-0.554
-60.04331747059292,0.466,0.377
-61.02783295542802,2.902,1.927
-60.15928590375354,0.793,7.91
-61.83159926588787,-0.475,4.021
-61.3134402406906,15.583,0.24
-61.22106907532483,9.678,0.219
-60.47419353793708,0.51,-1.525
-61.87149607575766,-3.897,-2.271
-60.132809895392306,-0.642,-6.304
-61.06085025664874,-3.483,0.158
-61.27975217546446,3.577,0.538
-60.08738802975919,3.281,-0.087
-61.79669616778366,0.85,-1.286
-61.1318722827582,-0.254,-1.16
-62.32642637604337,1.286,-7.902
-60.91003243871504,0.168,-0.406
-60.848435800454915,-0.402,-6.088
-61.05937992838251,-0.343,0.057
-61.00790837690558,1.958,-0.164
-61.02581474057113,0.997,0.187
-61.22506395515601,0.014,-0.116
-61.20331140441838,-79.018,25.238
-60.80536742347529,7.749,-0.061
-61.8494184378952,-0.09,-0.605
-61.2524460199835,-9.635,0.774
-60.27209651674612,-0.643,3.386
-64.46149212016861,1.141,-1.537
-61.81563474410686,-0.103,-3.075
-59.73351534332886,1.516,-4.504
-60.783813824968036,-0.8,0.218
-61.762487159118216,1.663,-0.674
-60.86597052262586,0.27,3.597
-61.56850169630143,0.272,4.556
-60.99315312146391,-0.191,0.173
-60.354095433357045,-1.538,-0.716
