Response,Explanatory1,Explanatory2,Explanatory3
-40.251419079613854,-1.056,1.442,2.8
-112.59716549966942,-0.622,0.028,-0.947
-102.37283394142126,0.736,0.378,0.734
-21.123580293712145,-1.062,2.821,1.476
-37.44875906255879,0.313,-0.094,1.316
-43.65691524928947,0.497,0.174,0.354
-38.311222725975256,-0.096,-0.331,-1.179
-74.45976329053866,0.383,-0.557,1.432
-97.94700731979009,1.573,-0.973,0.146
-78.93795970738798,0.864,13.647,1.515
-48.19188022902557,-1.372,-0.923,-15.763
-70.54925955719939,-0.376,0.185,-1.531
-118.01633591433843,-0.276,0.505,-2.06
-66.09893357788214,1.52,-0.692,6.051
47.2617273257472,6.212,-1.959,-1.237
-85.68558299381785,-1.193,0.335,2.233
-86.3971457519919,-1.042,-0.365,-0.697
-55.39791620492522,5.657,4.407,-1.186
-104.38673853533689,-0.327,0.25,1.353
-48.62770657346661,2.323,-0.463,-3.945
-55.01998003147369,1.027,0.372,-0.092
-92.62190501943664,0.439,1.117,0.123
-83.0641405827704,-15.569,-0.883,0.139
-242.2575862394317,-1.443,0.705,2.112
-110.09923037542133,1.488,5.333,-3.038
-87.43801512184277,-3.495,0.631,-0.166
-77.08970050509319,-3.685,-0.711,2.011
-71.13911720104142,-2.329,-1.239,-0.211
-71.46991676657957,0.6,0.07,0.373
-35.338569247708286,-2.532,0.739,-8.911
-111.35293068195139,0.015,0.649,0.143
-0.7850872543883549,-0.709,-0.383,-0.38
-90.71234152342596,0.358,-1.424,-1.525
-5.689483624940357,-9.006,-22.066,-1.116
-79.84717825282448,-1.976,-0.737,-0.722
-58.124260703787975,2.111,-5.591,0.132
-17.0098688406883,-0.001,-1.182,1.053
-61.99087706473855,-0.906,0.445,0.546
-50.390722757067955,0.229,-0.051,1.509
-79.10505509979576,0.123,0.283,-0.443
-61.182040052260085,3.244,-1.236,-0.03
-140.50771298962403,0.482,0.074,-20.798
-27.94000577340698,8.327,-0.452,-0.307
-55.90664805530592,-9.308,0.25,2.258
-75.086831894175,-0.421,-0.524,1.075
-138.11298184849375,1.869,-0.902,0.253
-45.54649758779103,0.653,1.877,-9.004
-50.76604741561227,-6.342,0.627,-0.218
-37.50605158571116,1.291,-1.039,-0.068
-56.03061470950813,1.579,-0.111,2.07
-24.274201644874417,0.972,-1.538,-0.737
-48.67403312252507,-0.068,-0.849,0.037
-65.95246776130391,3.502,-2.781,64.984
-71.92214535068959,-0.621,2.602,-1.628
-29.734883663000538,0.007,0.372,0.491
-14.696892258020597,-2.3,1.04,0.34
-35.330014861763,-0.165,-0.637,-11.078
-99.65921092598919,-0.88,0.249,-1.257
27.16675661766432,-2.082,2.155,3.606
-64.57193025047313,1.43,0.556,0.111
-75.50100262197591,-0.693,-1.167,0.333
-37.740848331863354,-0.403,1.201,-10.705
-62.74163575144941,0.903,2.818,1.08
-11.892642988595954,0.785,1.439,-4.108
-12.913217858262463,0.359,2.514,-2.049
-62.22641946270658,-1.398,-0.702,-2.104
-93.06159709833194,0.086,0.213,-3.443
-59.42906044470178,-1.411,0.327,-0.418
-59.91414260101765,0.096,-0.943,-0.552
-6.996149514351438,0.567,2.41,-1.645
-59.029969247886676,0.18,-0.991,0.426
-51.48535191127315,0.483,0.242,-2.102
-111.42624228040367,1.915,0.52,-1.64
-68.78306478377165,0.105,-0.863,-0.143
-20.84519492390547,2.667,-2.982,-0.33
-61.9166008735407,-1.319,0.114,2.207
-81.04470091338366,-0.827,-1.693,2.184
-119.74458634489726,0.009,0.731,-20.273
-61.49119486565766,0.796,0.894,4.137
-62.5370421126706,0.782,-1.06,0.014
-86.69957503209005,-9.807,4.995,6.803
14.018990115737202,0.566,-0.598,0.061
-47.24908844232718,-2.841,-0.2,-0.348
-31.752156818956596,1.27,0.197,-1.035
-65.63525872370666,2.002,8.204,1.474
-49.1889709400184,-1.061,-0.933,0.454
-84.79713181392066,0.451,0.168,-6.428
-52.791919375529005,-1.138,0.644,0.259
-95.38777183522292,1.309,-0.274,-9.9
-59.00811052903078,-35.782,2.315,-5.356
-101.838519190778,0.092,0.188,-3.001
-81.74517348298545,-5.434,0.972,-1.068
-7.463378200013254,-0.869,1.146,-2.467
68.16420346678754,0.911,-0.031,-4.517
-96.11399561335865,0.083,0.83,-0.278
-40.49753124114105,0.393,-25.309,-0.801
-70.12364451711582,-2.829,-0.292,2.156
-73.3399594587121,-0.342,-1.092,0.535
-57.996305724178015,-1.395,-1.772,4.438
-55.30897664536325,-1.644,1.144,-0.192
-91.29824943718732,0.782,5.012,2.564
-63.51609764311839,1.133,-1.638,-16.867
-50.72677579852783,0.171,5.016,-0.346
-82.38105118546414,-0.237,-0.087,-5.869
-77.02765971364943,-0.875,0.711,1.675
-63.335923864065975,-2.87,0.81,0.26
-83.31589822494237,2.927,2.298,-0.314
-39.92005926616373,-8.722,0.004,0.014
-85.9453814732212,0.814,-0.409,-2.081
-12.650020300503913,0.218,19.321,-0.543
-49.30507431869993,0.328,-0.513,-0.314
2.11894320051695,-1.316,-0.221,-0.233
-73.89942358777424,0.202,-1.326,-2.006
-69.7568599444255,-0.051,1.478,0.285
-18.721129407154827,-0.24,-1.47,-0.301
-70.57387809107875,2.289,4.75,-0.929
-40.34984069022172,6.606,1.889,-0.031
-103.90164899200407,-0.432,-0.957,13.385
-44.771028783050696,-1.8,0.369,-0.237
-70.10813784221536,0.573,-0.261,4.821
-55.85640822616167,-1.879,-14.614,2.268
-92.01289875779092,-0.24,3.385,10.645
-89.52460159371194,-0.001,-3.229,-24.715
-107.5115283345381,0.949,2.15,1.883
-82.61693096414871,-0.477,-0.43,-5.082
-57.12128409965697,-0.155,-1.391,-1.192
-70.26107443526014,-2.048,-0.908,-0.087
-81.64845386654537,1.132,-0.662,-2.421
-66.52382466978632,-0.301,1.88,0.369
-43.13645422321336,2.755,-9.394,0.196
-95.47766483349835,-1.047,1.367,-4.126
-53.183941947745,-0.299,0.948,0.002
-139.28325653904992,0.943,-3.386,-22.784
-87.28857495245398,2.822,0.018,-25.693
-88.48886877065739,-0.47,1.739,0.174
-108.13680726357084,-1.597,0.134,1.062
-58.98196145111561,0.733,0.913,-0.142
51.06501772655721,6.762,0.261,5.252
-58.20023957370106,0.981,1.025,3.839
-45.773549417465084,3.32,3.82,1.145
-76.0643594303322,-1.079,4.325,13.401
-59.459727769326726,-3.006,-15.789,0.898
68.28641245179242,0.176,-2.833,3.123
-64.00076374774403,-1.089,-0.44,1.459
-83.51113930769063,-0.54,-0.746,-0.566
9.852455485867532,-1.299,-0.439,-2.887
-110.16845940315935,0.221,-0.014,-2.611
-139.19132644450409,-2.241,-0.307,-23.981
-55.31457388961424,-5.047,2.303,1.849
-76.12444232958146,-0.665,-1.715,-1.952
-75.86365357918123,11.729,0.19,1.308
-80.8177637828598,0.195,0.214,1.2
-57.43975828217694,-0.841,-0.643,1.541
-30.332603978669294,-0.527,-0.193,2.249
-57.43408288779315,7.037,-0.055,-0.802
-229.47763415483436,-3.951,0.671,1.967
-96.96461745225199,0.614,-0.511,2.221
-7.780254868124038,-1.204,15.314,-0.553
-57.582811156757934,0.279,-0.065,1.018
-76.88302800054481,-0.73,-1.29,0.231
-75.97126650638131,-0.317,-5.718,0.247
-95.41384258868929,-1.144,-0.016,0.891
-35.45008012747576,-0.761,-0.983,-0.153
-132.127007133277,20.585,3.01,-1.928
-11.127599115534176,5.509,-0.173,-3.577
-85.92484649013421,-3.67,0.253,-4.679
-45.38985611099297,1.219,2.814,-0.162
-67.31380604737458,-1.409,0.921,-10.338
-81.80561750452578,3.096,7.73,5.148
-102.99777704739388,7.147,-0.548,1.051
-68.68998595946556,2.355,0.024,-0.077
-164.76310065795101,-22.048,1.231,-5.579
-95.24695192079758,0.513,0.994,-0.104
-88.63654621817852,-0.57,-0.731,-2.839
-94.04684649061811,-0.438,1.599,0.34
-103.3138576089451,-1.657,2.648,0.009
-62.412114164513206,-0.781,0.263,-0.726
-77.94512418927228,-24.561,-1.304,0.761
-71.82508844699534,0.098,0.627,4.844
-119.80998321808237,-3.067,1.578,-0.299
