Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
5.4401018701322785,-3.504,3.915,1.24,-2.051,-0.391,-0.882,-2.026,-24.665,0.217
29.058240939691807,-0.987,-4.191,-0.196,-0.469,1.86,-0.836,-0.268,-0.496,-0.449
26.152396304962295,-1.26,-6.748,0.983,0.426,-0.373,1.477,-0.251,0.209,-0.548
25.659236546257326,-1.112,-3.366,-0.424,-0.041,-1.078,-1.018,-0.759,-3.39,-4.467
68.93900741419324,-0.663,1.905,0.09,0.578,-0.11,0.645,1.294,-1.111,0.441
-18.351444657824004,2.018,0.216,2.132,0.55,1.303,0.793,-0.967,3.003,1.282
-9.429720227781827,1.409,-0.993,-0.347,-0.035,-0.588,4.061,0.082,-0.103,-1.073
0.7773109806166429,2.625,-0.564,0.515,-4.938,0.018,0.663,-10.572,-15.545,-1.075
77.16014238311129,-1.445,0.387,-0.046,7.664,-10.092,10.953,-2.552,5.268,2.778
12.779101810327772,0.765,-1.666,-0.215,-1.458,-3.336,-0.416,5.637,0.08,0.056
30.734195441402342,-0.911,-0.586,1.159,1.343,10.12,0.861,-0.86,0.468,2.778
40.754545820802015,-2.547,-0.036,-1.301,0.194,-0.233,-1.97,1.213,-296.65,-4.372
-5.265954986183445,-5.5,-1.585,-0.253,12.519,-0.373,0.481,0.834,3.427,0.692
114.12814466966611,-1.528,-1.151,-1.403,-3.117,-0.009,-6.174,0.165,1.621,-0.065
71.38941108885294,1.272,0.192,0.371,-2.493,0.695,-1.875,-2.622,0.616,0.298
10.38026362223107,-1.521,1.123,0.189,-0.682,3.982,-6.227,3.349,1.648,-0.909
41.607103676025446,0.854,1.78,-0.675,-0.168,-0.33,0.57,2.044,0.701,-0.482
33.97159785356199,-0.711,2.116,6.325,0.683,-0.174,0.705,2.522,0.231,-24.728
27.591633508904323,1.924,-0.126,0.465,2.347,1.095,3.02,0.065,33.002,0.282
33.926021845406105,-0.267,0.845,-0.708,-7.833,3.34,4.018,4.426,0.583,-1.523
7.655212794878706,-2.289,2.786,1.137,0.324,3.882,0.261,-4.453,1.17,0.673
23.267886765300773,-0.771,0.827,0.049,-0.591,-0.945,-1.105,-0.762,18.34,-3.376
30.295103649179385,-1.87,2.0,-0.277,41.087,0.089,2.979,46.026,0.354,0.455
60.3786107519,-0.367,-0.15,9.635,-4.762,1.163,-0.594,-0.288,-0.696,-7.167
-44.29910599427318,2.882,-0.717,1.551,6.38,-0.85,1.016,29.028,2.329,-2.064
