Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
-123.65578398075326,0.313,1.301,-0.728,7.755,0.883,-1.124,-1.61,0.189,1.127,2.32,-0.213,-1.035,0.567,-55.91
-123.53099166676856,0.285,-0.747,-0.282,-1.305,0.701,0.853,9.123,1.597,-0.309,-0.246,-2.383,-1.423,0.235,0.078
-123.96328016537035,0.011,1.244,6.341,0.058,-0.05,1.93,5.849,-0.74,1.984,0.162,-1.27,-0.389,1.859,-2.596
-124.9756218720649,-1.015,1.41,-1.348,-0.161,1.335,-0.553,0.464,-0.328,1.303,3.504,-0.45,0.003,1.693,-0.014
-123.64109568282068,0.656,3.07,-1.328,-1.419,0.938,1.176,0.69,1.362,-5.451,-0.007,-2.584,-0.432,-1.755,1.066
-123.12979780316793,0.423,-10.805,3.973,11.872,-1.143,0.876,-0.316,-1.671,-0.264,-1.365,-182.906,2.424,2.269,-0.754
-123.80692101989611,1.482,-0.029,3.33,0.107,-1.083,-0.121,-0.897,-0.611,-2.171,0.523,0.725,0.589,1.778,-0.174
-123.57371203300549,-3.773,-15.884,-0.552,0.51,-0.545,-0.099,1.013,-0.48,-0.14,0.842,0.474,-0.874,7.179,0.033
-124.00702848056163,0.879,0.544,-0.712,1.138,-1.084,0.968,1.018,2.496,17.662,5.266,15.771,-0.002,-2.348,0.365
-123.48400000000001,-0.184,0.45,3.752,-1.701,-0.542,-2.36,-0.135,0.932,0.483,0.513,-316.947,-2.611,2.142,-1.6
-123.41183984173526,-0.089,5.988,9.348,0.636,0.314,1.149,1.871,-0.32,5.458,-0.147,-0.087,0.725,0.776,0.817
-123.75100713884535,1.065,-1.002,-319.545,5.203,-0.646,-0.517,1.6,0.211,1.256,-2.269,-0.872,1.761,0.728,-2.924
-124.05201504532562,-0.748,-1.363,0.843,-0.51,-1.966,-1.934,0.805,-2.611,2.407,3.002,-1.189,-5.53,3.105,2.29
-124.17388342184113,-1.06,-0.828,-2.606,-1.123,0.879,-1.744,-2.291,1.812,-0.23,0.462,0.229,-1.083,-0.915,3.701
-124.07010541810877,-1.421,2.004,-1.518,0.195,27.72,-0.8,-2.626,1.707,-0.414,1.692,9.965,-0.957,-4.565,-22.875
-124.27165959278791,-0.674,-9.9,1.859,59.823,0.209,-0.517,-1.323,-1.32,-1.135,0.875,-0.362,-3.707,0.459,0.114
-122.90288926544336,-0.476,-3.278,-20.094,0.192,-2.503,0.514,-1.44,-3.703,3.963,1.326,0.259,2.133,0.356,-0.149
-123.30761170945289,0.255,115.395,-5.417,-0.645,0.891,11.401,1.927,1.287,-0.719,-0.727,-2.154,0.822,-0.63,-2.571
-122.83899361006368,-3.445,-1.477,-0.926,7.468,-1.653,0.403,-3.756,0.17,-0.597,0.303,-1.285,-233.979,7.377,0.65
-123.59478246615696,8.177,3.261,0.976,0.844,-4.699,1.89,1.986,0.222,-0.215,6.03,-0.773,1.852,-0.859,-14.071
-123.61010715607674,2.373,0.714,2.463,-0.087,0.088,-3.93,2.375,-1.545,-2.025,0.662,2.283,1.207,0.479,-1.924
-124.1176183421482,-2.902,1.121,-0.526,-21.812,2.501,2.592,0.375,0.435,0.244,3.816,-1.51,-0.349,-0.377,-0.379
-122.98183800342707,0.732,1.583,0.989,8.616,-0.208,0.43,-12.006,1.41,-0.976,29.974,-1.653,-1.083,-0.368,-0.035
-123.1319050651368,-0.299,-1.997,-0.204,17.002,0.069,-4.047,1.086,0.92,0.558,-1.558,-2.03,-0.182,-1.448,-1.544
-124.16342071323143,0.996,2.802,0.012,1.031,0.105,-0.036,1.192,-1.19,-0.235,0.171,-2.633,1.346,-0.046,-0.708
-124.06953943949742,0.199,12.497,-1.884,-1.367,1.405,0.12,-0.099,-0.209,-0.334,-0.433,-0.466,-0.665,1.877,1.094
-124.96129671111011,4.019,-2.46,-0.606,0.552,-1.701,1.384,1.241,-0.424,3.534,1.052,-0.298,0.591,2.272,-2.613
-124.72462225332278,-1.572,-0.006,-2.291,-1.31,0.328,-0.428,-0.797,0.334,-0.407,-1.024,-1.101,-2.577,-4.476,-0.934
-123.31373479251002,0.355,0.049,0.913,6.229,1.653,0.151,-4.335,-0.111,0.639,2.016,-0.941,2.875,2.594,-0.436
-123.44638211281173,1.933,-0.026,-0.937,-0.951,-6.482,7.277,0.499,0.44,-1.468,0.145,-2.212,2.401,-1.881,-0.156
-123.65419838741646,0.534,3.028,0.453,-0.731,-3.414,3.943,1.116,-2.83,2.321,-3.175,-0.794,0.613,-4.187,-2.128
-123.55648140593102,3.958,-6.182,0.085,-1.865,-0.032,0.506,-0.477,-0.039,-0.41,63.358,5.147,-4.567,-0.04,1.994
-123.53646825334613,-0.587,-0.634,0.025,-0.723,0.782,6.749,-7.26,-0.558,1.109,-0.703,1.378,0.051,-0.233,-0.545
-123.49295379525144,0.042,1.062,0.11,-60.396,-0.328,0.464,2.953,-0.23,-3.13,0.139,3.173,0.39,-3.723,-0.535
-124.29053785715658,-5.248,-0.291,-14.689,-2.026,-4.091,0.902,1.051,-3.743,3.307,-10.418,8.546,-2.914,-1.492,0.967
-123.51296282301325,0.969,0.276,-1.951,1.764,0.774,-2.881,-0.691,0.883,1.121,-0.89,-1.134,-11.897,-0.478,8.698
-123.75509283302797,1.014,-2.065,-0.487,-0.59,-1.011,0.336,0.909,-59.334,-4.561,-6.194,-0.056,0.824,-1.167,-0.314
-123.47862012060297,-0.856,-28.873,0.091,-2.072,0.983,0.248,-1.39,-6.596,-47.2,0.541,3.107,1.129,0.3,1.295
-124.19166286495735,0.067,0.579,-1.818,-1.151,-12.37,4.079,17.818,0.111,1.549,0.14,-8.987,-0.276,1.512,5.035
-123.5950640397128,0.111,0.292,-2.937,-2.662,4.08,0.055,-2.701,0.169,2.676,-0.273,-0.238,-0.95,6.169,23.275
-123.4411454256095,-1.139,0.522,-0.184,49.675,-2.192,1.674,0.437,1.127,62.293,0.686,505.306,0.184,2.386,1.46
