Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-46.8903526576081,0.329,0.148,-0.83,0.286,-0.726,-17.877,-8.821,6.192,3.186,0.092,-0.037,-5.122,-0.957,0.934,-0.939,-0.249,0.225,-0.065,-1.347
-68.1932449395603,3.92,0.67,-0.536,2.207,0.267,7.321,1.26,-0.074,6.094,-3.888,9.623,-1.463,-0.455,7.697,-1.64,3.844,-3.238,-0.966,2.273
-59.89196919900675,-0.534,-0.505,0.43,0.321,16.989,-0.156,0.652,1.074,-1.359,1.664,0.062,1.246,-0.231,-0.628,0.527,1.115,5.889,1.109,1.417
-34.02497561722795,-0.716,-0.87,6.265,-2.018,3.454,2.362,2.194,-0.618,0.467,-0.318,-1.79,0.679,0.775,-1.997,-4.476,-0.667,1.482,-2.611,0.897
-62.84303620760112,0.301,0.37,-1.621,-0.605,47.208,-0.574,0.454,2.442,-0.679,-0.563,-0.818,0.998,-0.473,-1.92,-0.61,0.364,0.552,-0.705,-1.519
-2.7909449083537927,0.481,12.566,-0.32,0.87,-0.9,-1.372,-1.28,0.839,-2.172,0.236,8.307,0.79,2.963,8.661,-1.076,-2.59,-2.799,-0.364,-422.503
1.8857733296900747,-2.463,-1.752,0.769,-1.333,-1.755,69.955,1.214,-3.121,2.783,-1.152,-0.276,9.09,-1.002,-2.535,2.595,78.323,-0.182,15.033,0.029
-49.79452642381422,-2.286,-0.808,3.994,4.704,1.201,-0.898,0.012,-1.263,-0.184,0.259,0.54,42.622,1.901,0.471,1.528,1.264,0.202,1.089,2.864
-71.87897053635784,-1.769,0.708,-0.33,7.994,7.614,-1.127,0.471,0.111,-3.184,-1.462,-1.34,-0.563,3.382,0.18,5.77,0.272,4.605,-0.085,0.786
-148.27174472772128,2.591,-1.331,-3.117,0.253,257.274,0.362,-1.113,-0.466,-0.903,3.812,0.392,0.872,0.926,-1.43,-0.299,2.628,5.289,-0.373,2.683
-19.69741485927757,1.341,-1.149,12.967,-0.197,-1.12,-2.58,-3.868,0.467,0.981,-0.63,-1.688,-317.742,2.139,0.153,-1.035,-8.05,-4.431,-28.179,-0.252
-51.847205856700896,-0.509,0.952,2.598,-0.083,2.227,16.246,-0.674,-0.728,-0.219,-0.514,0.951,0.073,0.39,3.777,16.642,-0.06,-0.198,-7.375,-2.69
-66.14188501176409,0.627,3.001,-15.7,1.19,-0.985,0.746,-33.892,1.403,-1.487,-0.088,0.785,-2.033,-1.529,0.796,-2.64,0.592,4.998,4.287,13.14
-56.60298737724442,0.805,3.597,0.037,0.873,1.866,3.501,4.306,1.031,-0.426,0.02,-1.618,-0.214,3.164,0.283,-1.015,-0.093,1.879,5.621,-0.798
-80.64908587378305,-0.238,-3.1,-1.414,0.184,1.258,3.511,0.595,-0.511,2.043,1.552,7.179,-0.077,-0.022,0.759,-1.063,-0.888,0.292,1.004,4.221
-62.87497939563353,-0.461,0.133,-0.662,0.787,2.569,0.4,3.338,-0.767,-1.729,0.917,-5.623,0.279,-6.492,-1.083,0.625,-0.528,-0.968,-2.658,1.881
-49.24326791667873,-1.573,-0.559,-0.388,-0.096,-0.779,2.601,2.211,-2.829,-0.557,0.495,4.99,-0.765,4.661,-1.423,1.033,4.007,-0.03,-0.075,2.952
-85.90596710457497,-0.333,-0.499,-0.421,2.296,-0.577,2.99,8.498,0.298,-0.972,7.088,0.065,0.698,0.865,1.054,-0.58,0.356,-0.314,-0.587,0.713
-73.58718838883135,-0.715,-0.453,0.168,-21.609,-0.444,-0.171,11.695,-4.619,0.425,61.951,3.75,-2.021,-0.208,0.561,2.437,0.326,-1.193,-0.301,-0.177
-46.621165283037875,-1.103,-5.316,0.038,2.123,0.437,-1.176,1.074,2.711,1.47,-0.176,-1.904,-0.5,0.131,3.082,10.936,-0.618,-0.532,0.565,-0.008
-52.446233898479655,1.255,3.814,-0.403,-0.479,0.458,0.537,-0.753,2.56,-0.904,1.717,0.277,5.399,-0.782,0.005,-1.168,-1.379,-0.054,-0.537,-0.073
-66.697,5.558,1.735,-0.763,0.433,0.107,-0.614,1.26,0.031,-1.065,0.432,0.024,-7.955,-20.021,-0.114,1.586,1.469,-0.786,-1.078,-125.415
-64.24869350174875,-5.468,-3.516,-0.269,-12.28,0.784,3.803,0.833,1.349,-0.812,0.412,-2.493,0.341,-1.666,1.908,-1.738,0.645,-1.263,4.269,-27.79
-82.61249725793678,2.626,-0.432,-0.039,-0.995,3.748,0.324,1.932,10.393,-1.088,-0.05,2.93,-0.001,3.882,-2.807,1.484,-7.983,-13.343,0.346,1.328
-77.08463001343576,0.313,0.687,0.216,1.623,2.412,0.143,3.195,-0.293,1.55,0.813,-0.813,-0.42,0.013,-0.148,13.429,-15.43,-10.035,-0.711,0.026
-29.850115704419352,3.155,-0.116,-1.443,0.003,-0.409,2.817,0.918,12.09,-0.338,-0.257,-3.243,0.641,-4.821,1.415,0.324,2.227,-1.254,0.184,-1.298
-30.383800884663486,2.08,-1.28,-1.709,0.011,0.767,0.831,-0.669,-0.637,3.429,2.264,0.715,1.314,-0.209,-25.247,1.633,0.208,-2.059,4.176,-0.962
2.0804330316364634,-2.628,-3.674,0.716,1.152,-0.414,0.367,5.806,48.461,2.453,2.687,-0.32,0.913,-0.159,-0.912,-0.66,4.365,-5.546,-1.527,0.88
-133.05321098274214,1.643,0.451,-73.315,-1.028,-0.398,-1.622,-2.193,-0.08,-1.111,1.28,0.319,-3.789,-0.951,1.154,-0.861,-0.83,-5.638,59.21,0.408
-47.31807301254891,1.14,-4.954,7.324,0.324,1.263,-9.662,-0.075,-0.647,13.0,-1.655,-0.762,1.174,-0.575,-5.929,-0.015,8.273,-0.204,0.316,1.404
-62.33658974922778,0.867,0.647,1.829,0.21,-1.2,-2.743,-2.006,0.224,4.06,0.058,-0.537,-8.191,-0.453,-0.794,-1.7,3.095,0.165,-68.683,1.314
-57.83090270363292,4.586,0.9,0.99,-0.069,-10.397,-0.827,0.67,1.353,-0.12,-1.335,1.507,0.482,-23.469,-0.324,-5.93,1.444,0.797,-0.578,0.002
-66.5873622133889,-0.009,-0.131,-2.204,2.335,44.238,-0.934,0.014,0.257,1.243,-0.526,1.289,10.239,0.053,-0.258,1.091,0.814,0.326,2.036,-1.235
-49.15064043540781,0.041,0.671,-0.03,0.156,-0.926,0.219,0.318,-0.123,1.092,2.416,0.886,-4.339,1.355,-2.332,0.814,-1.177,1.617,5.447,1.404
-45.80551045431496,-0.776,-0.916,0.687,1.77,1.332,-1.031,-1.801,8.275,-1.636,3.672,-0.526,2.207,0.25,2.442,-0.244,-1.597,38.199,-0.71,-0.876
-50.959953069744024,-0.116,11.86,3.124,-1.606,-9.703,-0.154,-11.695,2.891,-0.039,1.012,-35.405,-10.132,-0.933,0.328,-1.923,0.201,-17.783,-0.227,-3.67
-9.284493371338371,0.119,-0.434,-0.464,-1.402,0.374,-0.858,-1.559,2.917,1.693,-1.046,0.146,-1.031,0.103,-49.58,-5.443,1.216,1.774,-0.378,-0.457
-67.37035955172655,2.356,9.793,8.232,0.26,0.887,-0.512,-0.24,-4.257,0.262,-8.368,-0.501,-2.566,-0.996,2.149,-1.223,0.045,-0.65,-0.36,55.189
-94.82653333054401,-1.927,-0.175,-3.404,-1.909,29.961,0.115,-0.867,6.303,0.336,0.731,0.024,-1.449,1.025,-0.107,1.471,-0.176,-1.597,1.091,-0.018
-44.99079588703642,4.528,0.514,0.009,-2.046,-0.032,1.956,0.39,16.474,0.433,-1.675,1.112,-0.438,-0.648,0.81,-0.317,0.201,0.049,0.436,-1.552
-50.17589251591709,0.434,-0.263,0.02,-1.766,1.079,-1.348,0.02,-0.162,0.576,4.625,1.375,-17.241,-25.195,1.069,-0.019,0.378,0.273,-0.357,-2.343
-59.79928196573479,0.863,-0.984,0.58,0.917,-2.855,2.046,-1.309,1.686,-2.402,-0.119,0.134,-0.041,8.679,-1.711,0.839,-0.064,-16.599,50.459,-0.234
-51.615652984631325,0.208,0.061,-1.963,0.212,6.297,0.162,-0.718,0.683,0.588,-0.885,0.606,-2.061,-0.133,4.308,-0.114,-0.469,-2.947,-2.944,-0.062
-48.9830176627526,-3.253,2.041,-2.487,-2.201,1.341,-0.641,3.263,0.511,1.894,-1.233,-1.292,0.613,-0.53,-0.392,-1.643,-0.586,0.042,1.77,-3.258
-60.97273052338818,0.931,-8.715,3.297,-11.298,-4.417,29.137,-2.024,0.535,36.785,1.289,0.432,1.577,2.896,-2.086,-2.099,0.942,1.068,-0.559,-0.521
84.4213711720861,-0.167,1.211,1.008,-1.763,-0.54,-0.054,1.832,-0.042,-4.472,-0.027,1.296,4.746,0.52,3.079,-0.874,1.479,-0.287,-0.484,-3.745
-25.875209210027,-0.431,-0.223,-0.868,-0.402,0.422,0.735,-0.8,2.021,1.06,-0.091,0.388,0.192,0.9,1.132,0.031,1.117,-2.764,1.539,3.471
-36.06954710774184,0.425,-0.818,-0.368,0.96,1.431,-0.632,0.648,-1.863,-0.403,-0.758,2.555,1.408,-0.776,-0.34,-3.627,1.127,16.866,-1.177,-2.176
-40.87438095347682,-0.091,-2.08,-0.404,0.551,74.111,-2.933,0.312,0.12,1.999,-0.596,1.102,-0.164,-0.17,0.875,0.722,0.629,-0.093,0.851,-0.521
