Response,Explanatory1
80.576,124.049
128.963,95.61
140.834,97.827
91.65,77.902
124.12,97.051
117.431,80.266
46.112,83.623
93.96,109.073
75.885,161.695
75.9,121.349
113.755,147.89
146.675,139.043
91.984,79.542
73.558,158.318
127.158,129.141
70.818,144.541
124.727,102.804
58.443,170.937
130.448,119.646
115.282,141.202
115.415,158.025
34.576,145.35
58.315,118.915
37.415,106.962
70.383,114.098
68.827,121.142
66.646,64.831
116.833,105.505
162.651,118.184
84.115,75.377
76.902,124.759
115.098,73.962
149.709,77.053
47.168,98.425
140.699,74.858
41.1,113.246
111.984,123.117
71.765,85.514
161.772,83.271
57.888,66.789
136.474,105.611
96.915,123.054
119.114,76.358
144.712,105.626
57.227,104.801
137.418,116.118
81.073,108.801
77.52,129.988
59.311,127.452
40.812,122.739
90.362,83.069
116.976,172.092
108.421,89.041
81.379,88.021
94.089,124.351
169.395,172.083
68.774,82.927
55.459,82.515
123.713,143.559
86.768,63.866
145.09,95.649
94.081,139.508
100.773,84.667
43.597,69.312
138.834,57.262
131.096,66.132
185.741,68.6
140.226,89.562
121.889,119.472
114.67,90.609
76.623,107.286
169.537,82.472
98.347,80.872
150.504,83.676
138.192,109.175
169.521,119.582
110.973,93.028
48.297,154.861
175.035,148.361
56.094,55.162
103.071,102.711
55.125,55.417
101.636,143.739
131.761,85.748
91.957,152.356
42.448,76.38
166.042,155.562
160.661,77.355
92.239,79.913
75.721,132.961
86.12,66.178
38.603,122.825
176.827,94.023
54.152,121.039
62.53,70.217
74.929,107.767
68.455,135.99
57.973,179.297
117.66,108.976
74.966,59.224
74.626,124.639
95.301,100.245
68.117,104.774
95.522,107.905
79.196,92.664
165.629,154.385
120.847,96.839
90.78,82.143
128.05,72.44
96.522,94.322
165.581,71.321
71.059,154.011
62.526,75.95
34.894,80.907
59.886,75.514
169.776,103.559
29.83,160.29
153.247,139.029
116.41,117.571
72.92,57.283
115.195,125.065
100.931,149.116
113.477,70.465
95.31,81.674
71.168,124.93
86.61,111.149
119.43,68.655
56.472,118.461
113.568,69.102
102.975,106.175
99.418,129.664
117.2,92.734
146.206,96.828
88.489,91.388
93.256,127.449
93.742,90.924
90.356,86.123
119.446,97.498
59.927,84.664
59.241,113.361
39.726,146.077
95.105,86.895
27.629,140.155
70.239,126.66
99.787,97.117
110.665,63.125
73.017,76.85
56.669,110.903
99.726,68.774
122.817,72.864
101.53,93.058
128.346,96.953
89.755,105.034
80.441,173.58
95.112,65.121
119.517,165.484
121.177,79.646
106.517,112.873
138.094,96.542
120.965,88.455
85.756,129.984
68.394,121.242
166.087,177.083
115.918,76.973
70.17,70.95
103.81,120.766
113.116,72.77
43.42,84.477
91.337,122.117
107.254,88.009
109.485,177.483
136.776,80.603
117.771,89.272
120.476,128.679
50.596,102.329
97.727,94.948
102.979,129.802
122.853,109.659
109.79,139.167
97.025,68.992
85.51,52.87
46.59,155.133
106.603,91.989
82.79,105.651
55.042,67.455
158.045,112.087
138.657,72.445
92.29,47.763
47.571,125.37
59.596,98.143
52.703,127.799
40.361,64.133
61.314,146.689
154.243,62.547
162.854,166.211
51.408,157.915
93.643,118.105
80.924,138.689
101.142,79.055
108.941,84.79
104.318,146.771
73.296,118.233
136.95,113.619
124.388,99.225
157.851,143.479
146.863,130.46
49.42,70.564
116.105,104.258
166.163,137.659
107.628,136.733
135.723,148.195
153.437,89.343
168.875,94.588
48.194,92.204
173.905,144.154
151.199,115.581
126.929,145.552
95.042,140.323
29.029,89.65
107.465,104.63
91.446,69.503
152.507,129.243
158.744,91.661
76.028,146.772
101.101,122.26
86.767,73.599
77.492,103.977
137.568,74.361
47.108,88.149
108.098,100.499
72.655,105.479
76.067,85.262
130.701,69.246
132.001,122.92
97.215,139.968
116.738,152.244
103.38,95.116
58.277,108.067
85.051,128.212
180.039,85.59
152.245,86.593
100.362,115.359
172.858,75.358
41.449,72.725
71.193,65.112
123.024,73.5
99.864,59.805
84.637,76.733
102.903,118.573
167.182,121.871
74.947,103.099
121.669,103.658
149.242,96.569
67.995,101.14
69.985,111.212
144.391,81.161
150.067,56.13
137.669,57.683
182.975,105.455
23.192,93.3
27.788,120.097
71.894,122.498
69.102,85.762
118.197,127.352
139.526,88.331
97.618,66.417
60.498,78.056
84.054,102.08
62.221,125.741
59.075,72.744
90.283,118.451
47.848,144.638
159.061,56.976
52.336,76.537
113.019,120.796
57.366,105.154
137.151,111.018
54.451,51.811
76.722,113.267
107.557,82.303
167.019,105.021
158.516,136.597
150.361,77.712
62.288,56.053
138.107,58.335
64.191,134.823
125.863,115.596
94.991,160.97
84.989,47.507
90.046,95.833
105.819,116.651
73.582,157.273
74.783,131.551
102.235,73.975
140.477,128.7
67.498,118.458
87.639,68.097
109.07,99.003
57.798,92.772
171.15,129.822
74.829,57.849
73.047,79.253
83.323,107.582
89.676,71.234
172.969,115.708
30.875,105.479
124.232,94.198
120.387,104.082
134.127,107.997
64.729,83.686
124.381,76.687
85.594,159.497
34.299,71.956
149.184,160.188
150.113,106.189
92.312,123.814
104.85,84.29
119.136,87.497
123.489,128.889
56.846,64.113
136.401,78.563
146.89,72.27
110.411,105.018
92.672,75.645
99.449,101.11
44.402,139.537
31.07,91.066
141.295,98.299
77.972,65.691
167.734,69.256
168.739,72.105
100.863,141.127
74.641,112.675
81.221,83.156
153.3,83.749
100.928,96.75
84.997,136.713
120.022,122.642
173.63,85.302
50.867,139.613
142.297,146.046
98.546,84.018
146.251,68.34
108.602,78.12
63.301,125.383
111.899,75.917
135.432,55.508
91.097,170.615
58.38,106.9
71.534,101.602
66.952,105.925
54.042,75.881
126.513,100.761
67.873,86.785
59.275,167.778
51.77,52.891
124.579,65.895
48.668,96.775
95.675,80.677
53.182,104.812
123.646,117.814
128.191,146.316
131.159,65.591
137.485,103.486
123.88,102.785
56.459,143.715
119.124,151.696
73.232,63.299
162.912,108.83
52.07,87.557
63.484,92.935
103.629,98.298
98.102,76.566
104.592,84.011
106.118,52.592
101.379,116.059
70.535,87.952
84.79,66.561
168.073,58.971
52.906,79.559
102.409,96.159
117.607,90.393
162.471,90.63
180.169,149.668
145.192,76.6
152.943,92.507
104.865,135.666
90.125,92.56
38.023,117.864
103.565,95.414
64.617,78.543
150.337,85.714
55.957,135.994
43.257,113.331
95.126,104.257
130.575,84.343
97.868,99.34
137.713,154.212
63.349,86.457
75.792,77.043
78.739,147.378
105.266,81.296
68.831,93.861
116.714,77.098
118.692,73.776
32.673,176.774
56.897,51.727
84.825,56.032
85.923,78.37
127.113,104.557
114.382,75.031
75.293,83.072
125.914,93.957
99.541,166.89
64.458,70.051
119.136,124.754
107.481,77.834
69.703,132.295
99.868,76.105
125.473,112.9
154.118,141.999
156.103,76.096
69.324,144.814
116.154,87.166
108.216,82.399
96.333,76.479
69.624,54.158
128.87,150.068
122.793,160.04
164.836,101.502
67.757,87.8
114.75,80.278
172.289,141.066
119.775,68.108
64.182,62.421
122.601,125.516
153.141,146.804
80.484,117.85
95.573,104.561
96.37,84.131
138.748,80.176
109.088,124.172
115.388,80.348
94.534,108.796
100.068,53.827
138.687,96.652
84.882,121.766
88.617,100.414
79.897,93.14
62.748,85.919
136.144,140.904
128.412,84.074
95.634,53.288
119.417,115.592
125.398,139.424
87.432,82.57
126.704,102.122
43.228,128.118
53.619,157.698
90.496,95.267
46.377,130.11
95.122,119.174
113.066,48.339
149.177,146.396
92.877,103.567
59.521,126.978
87.482,96.463
74.818,174.809
127.894,75.562
142.379,167.928
137.65,96.198
110.746,124.605
68.77,76.374
117.081,92.49
85.611,90.456
87.41,94.098
104.371,89.958
122.773,98.276
164.179,163.418
71.711,86.884
143.167,144.001
134.417,85.715
115.482,165.197
48.431,157.493
86.103,141.548
106.698,138.065
80.503,87.502
83.3,122.843
107.169,86.489
67.015,79.553
156.006,113.671
103.712,85.381
143.817,151.812
115.052,89.691
141.112,100.528
101.336,73.155
53.559,94.368
103.103,92.094
72.001,134.483
83.971,119.739
74.526,91.792
152.974,83.339
99.565,130.104
85.65,163.65
60.137,59.957
117.519,141.709
101.159,107.965
118.425,78.589
128.883,89.69
58.919,105.034
147.719,63.615
82.145,148.297
