Response,Explanatory1,Explanatory2
51.014,101.347,118.313
56.856,69.467,91.867
57.393,70.83,102.743
54.955,52.377,138.233
92.75,78.881,76.973
41.83,49.58,136.618
117.683,65.805,98.936
66.025,52.333,109.508
33.978,110.227,83.625
74.712,68.968,175.192
42.262,113.641,118.067
73.097,43.177,170.819
48.611,84.775,56.735
64.641,52.678,69.68
63.55,51.132,92.752
56.843,97.379,44.876
99.28,129.131,154.674
80.03,81.49,61.028
76.365,81.924,65.018
86.375,106.909,119.153
60.575,92.296,81.893
93.485,77.239,99.195
60.518,79.809,127.338
79.558,98.068,88.337
34.418,74.742,75.269
60.148,60.59,104.391
87.495,101.49,84.516
98.357,75.859,98.027
105.571,85.53,69.237
63.285,121.476,113.385
63.83,75.425,113.26
63.206,74.26,120.627
90.025,94.447,85.723
98.862,102.771,92.765
104.152,64.296,165.971
48.302,100.768,140.219
35.25,111.03,73.993
65.282,90.918,109.867
61.641,88.764,96.043
64.898,110.049,114.776
37.765,64.756,108.247
92.664,107.354,68.725
47.168,48.41,146.164
40.884,75.279,53.634
48.452,77.719,131.765
65.11,72.391,108.313
55.642,92.922,137.462
73.872,119.162,149.018
80.47,75.643,161.741
58.465,84.383,131.23
100.557,88.348,104.488
93.141,136.906,109.03
35.557,51.819,99.835
80.848,96.017,128.392
41.864,60.592,117.23
46.613,48.826,64.927
84.97,116.437,106.291
33.762,72.887,117.561
53.315,111.675,118.515
39.451,130.303,131.305
53.997,85.296,115.212
127.615,77.915,136.077
38.08,72.409,81.011
81.309,44.551,85.259
43.026,105.0,110.649
66.192,104.793,59.127
100.26,99.998,64.502
61.195,96.441,61.17
84.169,89.319,111.703
51.272,102.659,90.419
115.275,72.519,125.461
102.43,79.625,104.035
110.514,54.317,85.172
48.363,66.305,156.232
69.707,112.892,89.062
67.766,112.834,174.674
79.115,63.596,85.931
88.903,56.918,102.02
69.858,69.087,87.971
103.63,131.286,87.795
46.373,117.29,56.506
109.153,80.17,128.966
95.743,69.79,99.309
102.616,73.166,147.327
90.773,103.669,155.067
56.595,124.857,180.136
57.986,46.466,119.028
109.133,94.148,91.951
93.005,52.438,77.063
72.099,62.407,122.147
76.128,101.191,87.448
80.474,114.75,162.946
118.626,78.421,89.8
78.039,83.467,85.172
35.488,114.953,151.534
57.461,56.717,121.267
47.807,71.407,77.045
95.02,98.157,112.132
45.313,78.186,54.017
26.451,42.395,77.261
36.576,33.453,89.302
78.401,85.912,65.894
87.897,59.146,158.257
44.097,81.616,65.736
54.347,73.522,105.479
127.077,139.756,103.538
80.438,65.909,73.449
71.766,107.867,93.129
60.079,94.161,114.74
47.172,62.989,55.134
113.584,109.347,102.704
125.76,49.016,100.618
54.952,78.184,120.345
108.387,118.373,167.151
97.617,67.71,88.027
67.951,97.917,151.756
92.905,119.358,88.921
33.759,83.453,86.987
50.701,108.777,107.286
46.269,50.978,92.677
58.463,64.255,84.402
54.876,72.312,132.47
79.311,52.384,101.265
124.808,52.765,73.86
73.111,94.12,69.841
74.187,98.783,65.064
87.991,67.818,87.992
33.38,80.677,168.403
86.804,108.053,87.842
68.797,77.439,96.927
95.566,77.232,162.038
84.976,101.865,73.694
86.919,79.947,127.219
109.633,115.622,134.234
78.599,48.555,120.053
27.42,64.766,107.529
93.25,137.926,70.849
80.527,73.677,46.767
