Response,Explanatory1,Explanatory2,Explanatory3
65.568,27.587,75.857,57.081
60.332,43.12,125.451,55.559
100.207,39.264,52.141,104.34
110.257,84.983,14.072,81.024
115.754,-13.355,76.423,66.067
56.91,80.832,48.615,62.641
55.708,43.896,29.665,74.633
110.907,44.718,107.612,56.87
56.896,-2.108,40.442,90.617
62.019,6.006,84.719,82.114
91.612,39.549,86.325,54.03
98.885,0.785,120.216,93.43
60.285,27.046,126.213,89.747
17.72,34.921,-4.663,75.218
94.307,56.916,65.966,46.197
141.692,65.212,55.77,86.293
82.097,112.144,80.564,63.043
9.586,37.29,30.805,80.042
-17.76,72.433,72.642,45.24
123.956,110.026,53.483,105.869
67.274,59.379,80.162,87.033
33.35,42.234,65.487,69.542
4.309,101.345,51.696,96.466
60.99,2.388,128.049,51.2
71.329,108.968,68.332,63.767
29.353,38.103,40.591,91.754
83.402,14.728,83.373,80.068
59.848,76.351,79.815,106.39
10.232,89.628,44.484,52.261
58.44,62.022,53.544,44.683
150.246,63.051,77.25,104.832
46.022,37.405,87.916,46.515
55.615,44.165,72.782,55.694
-8.185,55.963,44.844,71.728
53.385,41.779,154.742,60.484
158.522,57.607,71.521,65.21
-0.044,20.859,59.456,44.004
115.485,16.254,77.204,56.732
108.344,43.229,75.526,82.591
106.825,39.129,21.114,96.171
143.607,36.352,32.46,103.793
59.595,97.026,127.855,73.198
119.12,125.174,34.657,61.77
7.51,106.542,51.735,51.349
122.738,61.845,153.12,98.548
112.886,10.677,35.801,85.644
111.044,119.727,111.429,58.549
73.822,65.427,38.803,48.461
18.675,81.671,21.447,60.479
111.958,0.222,69.697,98.33
160.798,28.33,66.327,49.805
111.744,50.938,119.439,52.265
164.821,30.492,94.684,65.814
43.107,128.899,35.964,78.376
63.964,79.67,5.407,45.516
21.472,7.896,64.297,96.782
41.712,19.941,103.975,67.297
113.598,18.341,82.079,58.265
48.081,64.227,75.278,54.026
65.103,54.512,52.892,74.573
140.364,16.693,49.243,72.127
70.097,31.845,89.02,89.887
86.411,67.11,107.65,57.264
44.053,56.721,75.308,52.081
116.711,101.481,80.305,56.944
121.056,57.892,39.474,58.816
68.686,93.228,95.387,66.192
81.884,124.389,105.128,63.331
121.704,91.47,108.823,48.332
96.694,30.296,129.343,51.608
128.992,47.459,86.744,82.649
22.433,-8.704,91.906,66.367
87.198,56.784,43.205,74.848
15.733,38.245,93.152,96.973
61.69,60.395,17.102,80.342
85.196,30.688,65.47,98.859
125.487,48.121,50.015,38.021
-12.086,76.74,151.13,94.423
132.518,47.208,75.481,102.05
105.136,52.522,112.858,106.745
107.674,71.999,102.611,104.523
102.647,83.768,99.19,90.045
59.311,1.582,116.808,63.614
81.018,47.703,85.071,52.81
97.279,99.519,22.409,51.404
34.33,86.327,128.108,64.008
145.706,78.958,53.543,66.537
87.153,51.78,82.649,55.739
74.26,63.612,22.135,69.639
110.17,80.488,66.239,97.39
125.987,38.23,54.695,63.772
-0.516,76.848,91.519,62.888
74.094,34.902,113.469,59.029
71.706,55.728,92.814,54.669
-10.692,72.398,105.348,66.655
80.307,8.078,122.152,40.81
114.698,79.153,70.009,99.583
149.171,30.093,119.624,69.858
75.36,6.152,151.796,63.687
169.802,57.99,70.574,54.469
36.223,130.91,35.216,37.697
57.999,113.344,66.951,60.628
52.341,60.348,38.349,57.018
126.296,84.914,45.832,91.416
75.062,28.244,96.621,75.674
79.542,22.972,143.793,64.213
50.504,20.456,7.943,73.489
92.044,10.012,52.184,48.442
