Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
41.364,67.058,40.266,89.06,100.627
85.957,65.55,155.865,140.65,115.718
75.641,20.642,33.443,93.309,123.768
98.769,42.725,128.499,76.438,77.664
63.603,49.982,9.785,140.421,73.761
57.202,-15.375,123.597,161.67,105.101
83.03,-6.861,29.321,88.308,91.051
63.296,95.972,103.269,151.03,110.945
65.161,14.339,31.058,59.653,86.087
52.118,1.868,47.832,144.258,89.75
76.896,16.83,28.605,132.586,55.524
65.499,38.95,10.281,69.755,131.219
43.044,92.507,49.199,130.299,85.993
47.735,81.432,13.87,77.646,54.768
46.733,55.555,23.601,164.744,96.579
55.03,93.396,124.224,100.134,67.807
74.082,102.881,21.479,142.996,67.823
84.275,95.95,38.352,70.468,118.538
116.858,82.255,78.33,84.132,148.093
113.274,31.136,83.476,67.284,74.619
110.532,102.722,31.03,163.608,131.237
72.513,17.393,2.217,88.259,122.776
62.583,65.005,107.645,94.854,156.93
86.449,39.656,14.541,50.506,95.359
75.472,3.57,91.519,77.048,136.121
50.899,75.742,37.022,60.845,89.86
102.331,118.881,54.301,100.145,107.976
89.696,67.023,109.968,53.138,72.202
75.931,119.999,74.966,80.012,87.843
79.381,71.682,36.17,122.274,48.549
71.825,88.762,54.337,78.591,164.844
53.343,78.722,90.389,88.901,89.407
130.266,72.519,88.06,85.341,78.454
69.994,79.631,139.367,117.282,66.043
66.712,45.768,98.921,77.497,114.277
56.472,19.612,-6.093,100.922,78.905
48.433,83.187,27.055,108.124,68.679
91.782,101.914,80.229,73.682,82.713
84.769,113.448,61.648,103.229,97.333
69.894,65.356,5.658,104.327,95.294
78.899,83.75,12.606,164.989,138.623
115.967,88.083,-2.455,93.88,113.877
81.535,65.84,6.056,81.804,113.668
92.56,7.915,11.253,99.27,136.049
66.907,35.777,148.319,97.503,79.959
91.058,46.172,32.782,52.437,123.969
92.432,81.852,95.353,112.903,120.257
71.915,54.776,150.006,63.741,99.485
91.672,23.475,100.997,117.216,113.74
53.933,87.214,70.338,105.079,136.569
107.52,64.453,96.614,127.886,111.896
75.177,14.829,42.837,152.94,120.616
64.526,74.568,95.091,141.128,123.76
66.589,59.163,78.613,112.468,97.58
47.877,36.813,91.813,114.596,71.052
63.508,72.745,88.594,132.393,86.064
91.449,56.137,41.022,94.599,126.602
74.181,113.385,35.148,145.843,82.711
61.719,83.309,92.252,81.991,108.438
76.495,87.171,-27.49,53.87,103.417
62.599,62.475,14.041,124.296,128.574
43.027,100.176,107.296,113.422,140.177
90.429,72.9,24.643,78.439,73.464
62.695,95.01,29.956,73.141,129.04
89.839,86.759,69.185,106.471,93.533
59.294,80.623,30.254,134.792,119.8
61.435,68.875,55.963,100.634,100.598
96.423,30.757,9.899,92.537,75.324
101.276,77.807,-7.995,68.114,108.636
114.215,32.562,64.299,132.255,156.898
93.859,69.684,121.052,79.414,127.355
64.998,47.404,50.783,68.183,107.193
53.55,93.573,85.699,139.3,138.229
100.525,76.685,127.491,109.14,107.64
75.465,63.377,19.953,115.917,87.657
109.998,77.977,89.704,68.107,79.715
101.732,32.438,105.427,71.997,107.161
42.17,125.375,94.638,133.548,97.883
77.407,11.625,64.766,91.125,94.31
