Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
37.717,83.666,86.494,71.56,79.69,50.19,40.279,167.494,120.173,62.711
-15.779,29.552,68.358,117.042,60.291,18.885,52.672,140.114,129.83,64.303
25.406,69.963,46.498,66.428,73.284,24.602,79.207,61.803,21.92,77.847
91.925,66.0,71.024,29.01,103.013,46.07,45.495,95.374,88.65,51.932
-28.765,89.805,96.824,81.916,107.751,-2.612,79.922,51.402,85.908,89.062
-0.499,41.039,66.084,78.216,89.823,-5.427,78.871,66.402,97.551,66.839
31.043,16.577,89.947,74.508,65.078,24.549,78.808,60.569,39.7,84.8
36.582,-22.95,105.592,16.135,57.667,15.714,55.253,57.42,95.95,84.24
33.79,117.8,74.744,60.683,53.938,30.874,74.462,53.223,33.795,98.541
66.2,55.854,75.113,45.579,64.912,-11.653,57.441,87.849,87.422,83.162
28.56,77.424,72.508,109.749,112.828,50.895,33.973,87.755,82.755,59.669
112.525,141.699,95.483,82.043,94.421,53.187,106.461,81.624,125.026,48.192
55.79,38.563,64.986,94.634,83.769,38.216,54.059,85.93,145.448,91.694
8.163,90.632,71.476,77.778,50.97,74.194,95.325,127.083,125.935,58.933
99.24,53.787,68.93,71.235,68.443,89.358,76.195,62.693,78.189,72.655
56.575,136.491,66.95,63.468,61.495,104.889,36.433,61.712,85.94,36.251
23.444,10.951,56.4,129.104,71.27,80.095,58.009,51.189,107.644,90.872
101.805,139.419,85.472,65.996,69.851,26.771,110.631,80.175,106.217,54.49
9.835,58.796,74.229,58.376,95.402,75.867,125.506,51.289,7.266,75.704
80.252,104.157,50.948,68.478,94.198,45.941,56.978,87.747,100.172,84.001
55.36,1.583,65.966,99.556,59.51,6.991,67.078,60.539,78.693,82.189
-10.104,11.756,78.204,111.169,127.81,2.068,27.643,62.436,102.791,74.978
87.252,103.485,31.572,58.075,108.962,121.09,95.645,76.52,38.843,97.783
76.309,59.968,39.574,71.618,125.386,16.072,97.025,98.421,42.08,64.236
112.755,66.166,71.078,107.864,72.56,91.653,58.672,131.502,27.202,106.069
2.386,110.61,31.101,70.865,79.017,72.875,81.54,47.19,57.166,80.51
66.067,2.047,53.968,86.686,118.476,85.389,51.165,135.717,97.759,92.1
-27.672,47.901,65.272,63.346,146.115,113.78,8.806,49.624,73.353,70.814
-11.359,106.142,56.026,45.359,63.328,88.282,81.26,105.313,101.97,66.32
73.489,91.086,68.35,63.473,126.358,47.736,92.909,108.02,87.971,28.791
17.594,84.054,90.272,92.564,75.813,144.197,93.693,166.759,121.893,78.393
69.937,135.485,83.335,56.37,122.983,80.323,71.931,100.468,86.228,76.785
98.458,141.629,75.316,80.529,106.381,16.887,79.775,150.17,109.264,73.367
82.542,36.762,23.664,69.726,118.58,22.313,86.109,99.32,21.058,51.031
44.292,-24.716,25.264,100.841,56.397,59.221,90.952,46.724,30.996,73.192
99.156,85.836,24.503,87.392,86.471,-3.33,102.718,85.229,53.868,87.277
53.91,75.276,22.078,68.349,108.702,136.061,100.244,65.883,74.337,44.366
7.068,51.156,44.06,116.624,59.907,144.089,9.015,98.444,96.283,69.124
108.834,115.709,90.275,41.046,114.494,129.805,93.253,112.591,147.459,74.184
75.373,99.974,77.729,55.985,54.327,84.767,85.077,156.979,9.893,93.903
98.79,89.16,47.788,72.748,94.441,52.345,59.242,122.874,121.28,82.047
16.273,92.47,81.997,109.625,62.467,58.041,109.968,171.409,33.094,97.649
105.763,117.261,26.256,101.738,57.658,-21.784,96.33,104.963,67.908,48.798
5.733,6.127,104.566,36.798,70.421,-2.695,55.133,63.521,34.076,53.324
0.732,99.101,47.551,81.049,87.477,90.186,120.557,147.042,97.779,51.897
43.869,51.395,62.835,68.456,76.642,-0.385,66.703,110.765,26.313,78.919
46.842,64.019,42.098,63.741,53.999,43.036,44.882,98.397,79.189,78.971
