Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
46.676,47.509,82.327,81.465,59.606,116.249,34.071,54.851,82.988,26.919,88.436,46.295,6.537,54.448,-1.244
89.039,66.3,78.706,97.907,23.049,128.005,-25.781,64.985,106.878,114.244,114.845,97.579,57.818,109.18,10.843
46.321,35.388,104.034,63.364,17.483,129.976,45.954,83.629,74.016,127.548,83.862,62.764,67.303,44.098,63.215
100.405,57.708,130.375,87.501,45.073,94.161,-1.814,28.557,36.678,57.115,84.113,89.443,41.243,62.356,72.366
118.839,11.812,88.707,103.364,96.586,121.044,-25.504,48.983,111.506,46.234,95.538,48.657,82.641,36.797,104.684
64.232,83.695,93.397,39.984,95.725,86.036,142.937,73.227,47.896,66.174,42.986,35.196,105.775,56.394,52.435
26.073,32.035,158.502,70.853,84.012,83.989,-2.538,96.336,34.782,99.936,61.503,56.498,91.46,22.337,-12.234
114.999,-9.1,134.48,104.439,93.94,72.137,77.373,44.243,77.233,87.173,116.435,27.727,21.526,94.166,57.651
65.722,88.734,139.807,69.242,92.22,123.595,53.853,60.557,53.381,81.287,74.136,64.176,31.079,38.931,47.706
42.257,-1.281,93.768,50.311,43.254,148.473,52.485,68.996,84.777,104.648,76.62,105.937,19.79,154.535,45.024
39.989,-10.942,128.069,92.224,46.502,78.759,-4.411,109.467,61.777,60.434,71.118,45.975,84.583,113.159,-15.479
33.049,40.039,64.716,96.472,67.674,56.973,72.418,25.56,63.075,116.296,30.645,116.133,66.213,62.378,61.544
101.571,27.92,92.965,94.299,59.733,61.242,138.624,113.105,85.323,21.983,51.113,92.247,26.928,117.054,0.043
66.225,89.866,80.139,29.398,113.259,89.45,53.319,56.732,29.795,52.914,82.978,56.017,44.862,158.35,89.136
104.64,-10.105,51.229,61.788,100.459,55.026,29.732,73.746,89.02,53.393,107.729,30.328,96.437,97.631,113.708
70.371,64.828,84.295,62.586,75.118,74.834,92.757,68.345,82.982,112.739,113.648,75.795,22.24,87.942,144.535
45.295,87.286,137.209,90.48,78.48,60.175,134.047,37.547,93.032,152.928,73.357,89.407,78.745,79.963,94.514
111.848,74.684,75.949,54.362,125.958,54.256,77.049,86.555,72.093,90.504,71.997,61.667,83.312,83.533,42.07
85.356,52.809,95.852,90.431,54.951,182.286,-12.064,83.81,93.173,54.403,42.529,31.27,42.147,133.128,4.038
111.482,9.601,105.931,62.922,104.826,77.809,11.083,29.274,51.52,119.521,80.94,49.111,39.281,68.847,27.86
34.556,27.448,94.643,91.814,82.716,116.962,93.803,67.975,104.943,117.205,34.115,61.108,45.186,137.836,50.255
49.061,6.083,90.593,92.597,-0.561,164.415,42.681,51.543,86.607,30.185,67.393,68.893,79.816,50.339,27.529
41.219,89.46,109.094,57.034,48.914,56.755,102.39,33.797,72.275,138.95,85.006,44.514,-8.982,66.853,90.174
60.629,84.948,101.262,65.293,99.354,64.649,-16.415,68.153,90.789,88.507,90.319,56.029,95.793,127.598,78.497
67.947,73.746,110.814,82.898,99.295,120.847,154.132,31.552,61.692,60.918,75.874,60.577,-24.387,85.396,17.688
