Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
81.852,12.233,38.551,113.612,38.11,103.563,74.727,66.723,90.786,81.808,99.582,68.612,56.294,65.652,41.531,89.255,82.387,72.698,136.209,52.916
20.413,35.19,84.381,94.859,67.721,91.3,146.575,70.763,125.877,118.643,51.786,88.877,24.422,-20.457,44.672,115.886,105.65,84.952,96.195,94.278
25.689,159.548,153.985,13.948,94.878,30.759,94.916,75.469,18.451,74.609,56.088,131.344,-4.203,111.451,125.865,95.733,76.123,75.731,139.819,28.613
112.531,113.908,64.54,105.617,99.699,94.098,77.239,61.967,74.568,101.254,65.265,63.925,100.067,153.785,49.602,105.319,40.575,72.232,83.721,88.814
88.62,122.651,120.075,57.227,83.474,84.543,86.417,80.472,40.976,43.485,128.144,104.21,15.33,38.631,51.342,104.213,41.19,98.354,-5.058,54.272
26.196,61.382,20.945,140.916,73.128,71.988,22.943,61.533,64.978,100.119,138.175,84.603,82.731,60.555,46.898,79.494,54.627,74.816,155.515,91.514
15.116,42.923,69.071,148.685,109.819,3.413,22.938,65.918,113.684,67.868,121.647,25.426,100.43,110.967,46.875,36.851,33.685,59.89,35.47,51.005
-24.32,112.436,83.717,122.296,51.024,78.121,131.223,112.902,112.287,-26.251,14.756,74.06,71.661,71.215,80.427,91.206,90.958,13.657,50.017,81.654
51.833,55.275,114.242,38.908,163.827,53.522,4.619,64.092,112.481,-21.27,48.736,105.11,58.025,155.548,103.907,80.269,77.012,-1.818,38.82,21.046
-12.947,18.065,12.407,80.829,75.785,61.113,62.148,82.862,47.146,87.401,36.06,71.19,46.601,69.171,94.17,53.387,56.992,70.344,92.905,80.531
48.215,149.53,28.202,68.819,185.923,123.836,112.78,94.019,124.73,1.278,63.267,35.569,41.167,100.189,26.043,131.405,91.773,106.173,58.313,84.503
37.292,126.79,13.286,87.018,92.011,94.634,15.212,104.371,134.576,75.11,40.461,128.16,46.127,16.559,96.083,96.236,77.668,99.663,87.479,38.111
43.767,67.356,107.676,15.214,111.967,74.776,123.844,80.584,2.813,42.126,106.201,66.373,81.456,-1.385,99.874,135.682,55.841,54.849,27.765,124.893
89.685,153.37,-8.208,104.303,92.033,91.211,-10.441,70.824,27.254,91.651,105.908,66.361,58.97,49.184,101.403,43.566,22.343,21.673,35.165,59.55
51.722,69.729,71.256,52.882,122.266,54.279,91.542,95.735,72.088,106.188,83.99,56.089,27.532,86.628,83.237,98.883,102.813,7.405,76.067,105.885
-14.274,159.421,47.556,13.722,67.182,90.91,16.484,78.072,81.229,54.492,101.811,112.071,112.14,139.446,9.51,107.561,65.116,46.567,99.256,63.48
9.677,130.351,59.343,16.61,77.615,78.749,9.652,51.065,116.549,98.534,152.257,8.109,23.392,55.92,96.018,76.21,80.532,85.341,35.567,112.103
-10.903,94.396,21.743,80.343,114.3,94.969,156.053,70.043,51.637,90.162,56.033,11.155,77.829,119.0,33.682,50.083,78.093,42.446,79.765,90.435
48.798,93.472,90.18,129.309,59.679,73.891,89.513,64.112,155.738,96.421,158.21,74.393,22.253,41.049,108.214,73.733,96.325,37.473,107.03,126.375
-5.295,110.623,70.257,38.519,114.468,49.634,108.903,61.551,115.001,72.347,84.743,54.389,101.069,90.284,117.324,81.239,59.553,75.834,-0.274,113.896
29.451,79.59,107.42,102.711,50.196,50.087,141.472,92.072,106.096,37.483,122.915,86.522,52.19,103.476,105.058,104.73,44.411,108.23,61.568,23.321
78.692,65.105,6.494,119.403,156.46,74.001,108.183,47.204,81.063,56.707,44.917,42.378,113.175,119.682,130.409,54.827,74.189,68.84,88.13,52.528
2.457,103.498,113.888,52.015,97.344,38.377,95.888,102.051,127.061,50.174,84.573,98.414,104.383,54.518,84.911,134.275,65.394,127.425,51.535,113.953
-10.667,93.625,92.35,147.818,136.447,61.717,85.62,98.125,122.301,12.528,132.525,65.87,66.336,116.952,67.278,55.471,49.803,91.171,98.672,97.27
26.485,54.763,69.02,86.344,116.886,61.29,45.785,97.914,60.194,89.576,134.511,39.791,58.194,166.837,149.205,62.472,84.0,76.512,34.106,142.646
31.431,131.754,75.91,102.013,59.226,47.343,134.391,60.684,140.252,66.7,99.608,61.791,68.225,105.989,83.58,101.954,59.271,11.703,131.066,110.109
-9.627,30.976,-33.486,66.885,105.918,69.233,160.606,90.334,47.824,78.177,163.986,110.323,8.057,130.518,56.691,46.207,61.129,2.851,73.259,44.157
44.673,119.947,76.12,87.878,154.112,63.041,141.072,74.979,44.338,42.29,97.066,139.689,70.086,103.438,73.316,113.353,94.613,31.717,12.672,65.649
73.316,116.284,27.96,118.494,98.965,65.828,-12.354,56.627,33.588,49.499,112.567,76.632,139.984,38.713,72.534,82.329,74.333,86.895,39.273,30.847
79.671,5.9,84.902,29.462,96.257,90.126,94.061,82.676,145.315,7.049,59.404,113.717,66.281,64.3,102.952,40.306,70.044,67.064,64.789,118.439
97.277,80.536,151.036,55.991,114.388,9.357,62.85,104.059,88.533,90.826,78.562,33.068,104.684,118.745,127.056,50.556,82.849,88.719,147.258,90.062
42.262,41.047,89.963,116.204,137.874,72.605,100.382,87.708,8.77,92.288,43.699,65.299,88.982,20.059,71.702,77.616,84.234,22.921,114.972,95.83
26.367,111.537,14.129,71.559,184.64,88.176,17.566,70.356,104.51,6.734,77.673,84.863,-1.526,102.094,48.729,135.529,64.123,97.976,81.839,48.571
37.682,117.019,137.372,117.666,124.81,98.692,41.383,106.073,-18.602,20.004,114.248,76.498,103.304,50.969,64.522,51.595,88.267,29.646,83.406,75.416
40.035,20.633,160.214,136.006,112.232,9.52,39.445,85.731,75.842,2.226,82.643,136.979,74.853,58.289,106.145,26.825,79.328,106.213,78.208,113.048
37.639,57.497,67.894,151.975,76.288,36.229,93.171,79.224,69.762,32.677,85.168,71.379,9.601,85.44,85.418,68.778,89.033,96.765,69.988,121.382
39.932,96.669,114.071,24.13,155.903,99.202,41.866,96.499,55.474,20.355,18.958,64.847,98.708,100.027,123.993,72.572,85.572,102.071,55.004,56.53
55.001,148.892,-2.048,129.339,130.902,88.707,51.698,37.611,88.762,25.526,66.755,79.329,48.765,39.712,118.93,51.979,38.172,77.417,28.885,45.594
10.56,87.883,19.923,71.457,85.552,65.04,39.591,69.673,57.065,81.92,133.782,69.811,62.66,46.113,105.62,45.695,81.876,120.24,12.72,79.249
59.327,140.241,66.056,127.233,48.477,101.111,82.865,100.301,128.824,63.033,37.637,89.002,25.766,3.357,99.479,124.717,29.482,45.447,112.947,77.28
47.999,86.845,115.71,128.905,146.082,92.654,88.809,64.189,144.88,62.891,13.756,79.868,45.155,9.983,66.663,106.253,91.165,55.347,59.171,135.188
64.002,88.894,67.927,33.774,85.67,71.802,136.675,86.973,62.875,54.163,135.392,57.209,75.461,51.541,91.53,67.786,90.985,92.112,143.538,64.368
66.103,46.854,66.383,140.913,192.741,73.4,138.961,84.54,20.111,80.079,25.134,72.12,139.21,35.751,84.411,54.34,80.391,86.659,81.736,54.388
100.467,70.205,46.492,61.21,75.134,57.763,18.935,69.524,127.686,129.778,47.551,115.255,35.067,88.747,121.198,82.303,77.826,112.48,143.944,103.742
63.145,30.728,143.429,30.478,173.077,58.034,95.804,44.68,48.093,31.73,70.216,73.591,1.65,98.301,88.654,143.23,94.277,122.941,43.164,90.419
38.475,74.306,5.795,126.929,76.103,57.177,4.074,70.197,90.24,90.989,120.621,46.304,57.257,76.567,79.855,74.209,55.45,68.404,38.814,91.276
73.61,53.074,65.189,66.561,122.969,110.443,75.56,52.4,78.345,46.93,12.029,29.007,64.025,97.16,31.036,55.903,23.338,50.462,89.742,64.944
77.998,47.827,10.395,136.977,71.964,114.601,66.485,88.652,22.392,46.13,84.855,113.492,127.331,76.497,51.248,117.116,86.521,109.063,31.645,133.141
102.177,93.309,36.328,15.408,89.44,14.404,105.464,94.423,20.165,36.19,89.736,68.68,29.224,41.981,67.34,84.226,85.079,74.121,99.198,132.387
-5.402,12.841,59.683,69.903,91.887,67.287,106.736,93.241,21.475,80.895,57.107,72.101,139.141,181.188,36.379,12.042,66.443,53.484,76.565,52.203
31.624,93.704,87.377,29.241,172.437,33.275,42.137,99.003,108.536,144.587,59.167,100.959,163.782,88.105,94.288,63.128,88.567,75.367,107.452,108.145
85.845,97.161,45.523,76.723,64.139,38.812,81.749,81.266,74.431,96.645,77.925,47.793,57.474,-20.195,101.144,98.949,82.708,100.588,85.995,65.757
16.549,108.749,67.856,14.407,144.9,36.764,13.807,55.053,-6.525,115.65,64.318,50.045,87.371,72.219,107.249,68.726,61.285,72.245,153.198,98.979
11.89,71.259,132.936,84.843,124.756,91.354,49.144,115.402,73.099,105.435,65.074,12.048,151.349,12.387,125.508,74.905,79.331,43.233,3.881,131.235
39.825,56.841,48.549,81.136,97.899,61.07,70.72,91.562,19.984,89.153,12.814,96.077,52.883,144.649,90.142,48.642,77.605,10.494,59.489,55.441
73.135,76.658,51.989,57.649,150.798,98.24,74.048,73.697,133.759,32.905,70.309,107.76,2.261,109.016,45.963,90.359,48.56,110.299,147.28,94.888
51.956,133.42,59.965,-0.812,161.851,111.8,79.068,54.68,-1.805,94.97,70.197,72.21,84.783,93.099,-5.773,70.794,48.713,37.618,84.999,31.18
118.028,62.051,150.986,110.904,87.712,88.715,67.601,66.64,133.093,49.049,62.316,76.602,49.957,132.145,54.351,123.968,82.954,65.454,148.766,86.676
42.09,47.024,64.826,90.348,108.739,53.32,122.214,98.066,143.035,-7.251,98.175,68.565,156.223,38.191,113.154,63.186,53.003,99.483,73.241,65.661
56.804,35.988,137.868,77.594,72.849,80.77,67.894,87.112,72.511,100.618,140.387,76.032,106.539,-18.889,116.258,87.501,63.909,53.759,72.702,75.139
