Response,Explanatory1,Explanatory2
-161.842070002066,61.143,75.072
-137.66537825478213,81.571,74.777
-126.5341769059571,3.208,67.061
-139.19838807388368,80.288,93.965
-144.4541375351207,71.8,72.631
-144.58265094835684,85.227,41.808
-208.76283697833227,71.199,38.788
-159.54253215704296,103.587,55.705
-167.47941029942143,21.351,65.481
-171.53003285953724,49.079,9.203
-122.81480909182844,31.447,65.832
-88.43710023367215,90.55,72.679
-133.10840993908852,37.272,49.736
-140.35570576081216,80.03,114.311
-128.9231989165781,99.327,13.234
-104.59389176519909,108.042,78.468
-143.3389096304916,107.194,86.581
-115.93173653526688,28.936,74.397
-117.65701179915312,50.019,49.312
-118.16562465576834,42.058,69.66
-131.4853667637388,87.733,85.634
-124.25315752775568,74.873,63.032
-122.33083795798018,102.999,53.218
-157.530904390869,85.441,71.705
-146.70349544582425,54.541,55.52
-171.70009137522948,66.718,56.906
-155.2394641436762,47.699,52.512
-134.0509784705647,95.893,10.1
-152.46069024759163,26.98,41.778
-140.60760891286114,85.326,0.165
-192.26664693335738,60.439,6.134
-75.66976812301766,105.874,39.299
-144.81329955416578,84.467,49.116
-132.48951877506215,61.511,107.308
-150.68245207919026,29.947,83.694
-141.78352894571586,121.422,56.533
-89.63606083532221,53.888,49.747
-111.90738777487856,110.589,28.992
-172.52928246050962,65.104,49.546
-123.5665474231206,76.596,91.873
-150.5574297683143,97.205,57.669
-150.00482006951432,85.393,44.83
-198.9400602218444,38.977,90.496
-93.46297893920342,36.49,64.853
-115.24897034261329,80.992,114.259
-175.71747907579163,49.798,102.067
-115.21974977989771,42.734,49.513
-149.05092998999822,97.889,17.639
-115.4867271552699,93.74,1.707
-68.44058005426965,33.883,85.343
-123.08975718007761,110.788,84.612
-125.22340242962042,91.86,14.095
-146.29247086837876,53.669,19.619
-92.90549120135174,92.784,41.224
-91.08349293642276,84.178,63.356
-163.59701295183703,69.359,101.643
-133.3858787998309,65.293,89.919
-146.18868349874492,69.448,92.348
-162.1100936087559,80.795,16.434
-154.32864693777637,63.209,43.978
-155.08973520380965,131.949,42.581
-129.35524264451234,95.221,32.847
