Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
118.23577949222042,47.743,-3.241,42.666,154.996
146.1075855994541,108.423,-19.27,78.309,53.834
90.7528615706841,33.428,53.487,54.109,136.829
188.84810877593662,58.89,94.486,-18.513,83.24
144.1600608570257,84.474,119.136,14.979,179.121
169.60017583151,141.678,70.23,73.863,161.999
151.2050399524353,151.478,45.52,60.126,130.882
137.17310416915836,32.659,46.59,-20.952,45.649
139.05612076664175,107.331,-12.963,-6.007,50.887
140.33993516089566,69.411,80.235,12.386,144.016
173.6304446786454,41.963,8.593,86.005,26.842
166.43864554600512,87.149,-27.48,64.078,84.372
131.37793748911798,110.367,76.091,58.498,111.528
155.55609651703304,120.95,9.833,66.587,138.985
163.29963326985688,164.13,-9.987,43.761,-4.59
132.2029343368194,34.066,52.929,61.276,66.643
211.29536526737115,131.174,2.126,86.563,121.103
140.71137803536016,41.334,46.259,57.432,29.4
157.73761927545092,69.539,12.495,59.218,119.901
132.60552904352858,85.992,107.153,16.337,33.568
131.46698931554755,90.318,60.24,35.333,36.765
135.25951535101757,84.747,115.881,76.236,109.278
130.71377376044194,71.5,18.171,39.506,120.075
148.23946501342942,70.418,72.824,54.27,59.444
144.75957717830767,46.886,84.323,26.64,84.101
155.44750733357262,107.095,-28.587,67.378,119.755
165.05561755233205,96.284,70.291,68.823,99.488
128.4379227790821,38.263,32.235,64.555,156.792
141.9195915005892,93.087,43.215,28.848,148.869
122.61191359387533,64.918,77.028,44.067,97.646
129.94023857382413,70.407,89.316,70.078,178.887
147.7217818131361,98.044,74.707,22.418,97.153
95.84692207632632,53.748,36.169,62.802,134.632
159.78269063567552,122.841,46.125,34.174,92.216
139.22969842692817,123.701,104.569,49.801,106.129
176.89388489748515,69.754,0.228,52.819,70.446
148.89523457607805,137.601,74.915,-29.942,75.211
157.88972847692887,46.396,86.594,61.604,68.177
138.51510477062345,27.394,64.613,98.723,142.879
140.8523120297798,113.955,80.572,-1.364,155.338
151.10376444397622,21.022,67.915,81.361,36.635
166.62171217558046,60.114,67.24,42.491,56.81
