Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-38.49767618935775,75.858,105.963,36.261,106.377,-25.571,50.348,77.72,112.092,49.131,62.167,93.193,45.806,38.418,35.829,115.868,76.635,22.105,113.277,57.86
-147.17654771722545,15.476,52.732,69.178,87.782,20.186,41.785,92.256,105.175,18.583,35.13,54.552,59.897,82.649,105.333,58.619,54.611,55.766,91.021,125.289
-88.7983145627832,87.325,79.961,22.594,66.807,-7.245,125.7,105.61,128.232,87.803,72.533,73.933,69.666,-3.288,21.184,88.908,70.719,33.9,77.982,109.807
-51.44256015098641,67.769,110.904,37.324,132.397,67.133,92.749,103.083,54.649,98.203,85.84,2.797,56.934,-6.279,34.13,79.628,45.524,78.384,88.58,-7.193
-56.420123945673495,33.436,89.696,3.929,40.178,83.955,22.86,75.806,144.435,76.154,54.421,64.97,44.126,101.002,100.494,93.035,130.797,58.496,91.689,12.747
-84.97141700796051,63.906,147.272,43.611,52.582,24.968,3.932,64.568,71.314,72.311,66.924,74.897,129.3,31.676,93.588,163.094,106.363,27.171,87.496,83.183
-53.55241421370734,59.085,137.706,75.697,20.671,118.856,67.662,92.173,44.987,86.959,57.62,-35.325,162.9,94.393,85.049,82.25,64.314,50.018,83.916,73.401
-26.886586054788353,87.444,42.589,40.527,75.727,111.277,25.64,61.778,43.745,26.635,88.446,32.098,87.198,88.726,64.804,88.821,110.285,101.931,110.17,94.477
-42.35723831002413,118.124,74.895,60.347,118.504,106.428,66.104,70.868,57.128,27.435,63.687,41.003,70.624,78.684,100.031,136.181,60.194,64.994,95.696,111.873
-69.11887230818252,37.777,75.218,24.148,67.562,108.839,74.517,98.654,58.553,55.169,33.653,85.143,81.25,56.972,77.271,174.358,64.06,77.265,83.435,54.331
-79.67239885368079,42.709,154.289,93.216,40.946,37.23,65.601,77.498,137.685,13.602,65.419,122.347,83.089,125.779,4.509,101.631,65.865,63.16,91.881,53.539
-63.00390331038432,64.622,143.03,56.437,85.752,-24.163,126.399,74.198,29.71,46.739,61.168,30.84,121.774,-17.931,77.931,126.859,31.655,-1.645,121.036,67.274
-148.8764359893054,46.088,108.845,72.399,60.269,-0.823,94.564,113.506,101.084,72.212,69.867,35.948,79.165,55.076,99.199,124.619,56.184,10.459,55.045,17.828
-2.9087507675715045,91.701,144.972,-9.729,63.453,54.483,94.139,65.007,19.619,98.335,55.494,79.311,55.332,47.743,59.768,99.176,79.371,70.415,96.149,42.603
-109.02779535989266,36.244,103.069,33.644,95.521,68.116,88.704,64.323,126.673,97.503,23.932,41.011,116.292,15.189,58.991,117.359,91.025,47.285,89.371,43.786
-70.91474193197288,41.262,82.133,26.968,69.027,92.638,6.494,105.148,57.235,125.828,81.309,-10.095,103.934,79.895,104.973,155.598,90.356,74.843,71.164,29.199
-27.298489946552067,39.346,132.917,-13.831,-2.153,52.032,38.928,56.973,9.058,174.727,33.788,13.294,129.426,135.32,124.035,75.944,126.339,22.077,90.494,48.396
-39.2687460508633,29.869,88.394,50.572,48.633,53.288,37.397,91.766,80.765,77.867,68.088,32.658,65.296,79.458,69.12,77.763,29.429,51.284,80.115,102.143
-74.74028285406223,78.399,151.011,73.999,8.891,-2.926,67.855,91.341,110.818,102.237,78.183,164.064,82.703,80.434,56.214,148.03,32.101,42.733,65.798,20.368
46.75585993468193,27.672,112.968,59.418,104.968,66.294,76.63,79.381,118.508,24.876,81.98,80.031,48.353,-9.587,36.783,73.84,71.754,-9.718,75.729,5.509
-70.23078681409963,11.584,117.789,20.844,96.023,-4.205,24.291,105.082,103.812,44.827,39.127,6.277,116.966,63.297,87.636,74.536,84.756,0.67,36.747,140.725
