Response,Explanatory1
44.243,8.61
16.407,76.874
145.281,17.078
71.29,116.764
146.447,-21.993
43.575,21.948
51.278,15.457
115.828,18.929
21.92,39.39
91.493,35.579
69.836,50.383
155.189,37.498
90.781,40.079
135.627,34.444
55.572,33.563
99.369,-36.176
142.453,18.845
138.806,-9.019
125.285,77.486
100.065,58.579
30.824,106.553
76.875,-35.561
16.277,111.979
83.096,113.853
17.782,68.371
52.961,98.03
100.638,17.417
150.395,27.494
62.993,14.399
144.139,98.449
113.682,68.207
75.277,99.569
156.094,136.858
36.99,12.943
116.904,4.439
132.852,11.922
7.395,-25.788
72.054,1.675
116.556,139.552
110.365,11.556
137.258,68.05
76.674,79.311
91.727,-8.397
59.999,7.761
125.374,93.129
109.964,-35.227
117.489,70.078
48.145,-31.866
28.734,16.414
122.002,108.109
91.405,18.339
38.103,116.264
101.269,48.501
18.522,19.445
40.094,120.141
73.095,124.014
50.907,37.017
75.801,120.588
107.958,22.279
84.021,34.961
11.617,117.591
120.226,81.369
74.807,-8.039
44.817,96.816
20.681,95.235
147.748,-25.799
97.209,4.229
91.334,132.14
118.349,134.661
95.998,-8.893
85.232,56.892
9.864,6.09
145.087,-35.277
8.548,58.88
135.819,23.903
91.072,134.027
63.809,44.605
99.743,-22.508
49.108,130.538
44.579,68.363
15.723,126.563
59.3,-9.056
151.129,81.144
60.957,76.211
27.433,43.276
110.738,37.314
20.354,1.001
34.965,-36.12
18.529,134.774
70.671,45.456
146.663,45.696
89.568,29.325
113.115,27.873
51.906,135.652
131.246,37.338
65.961,47.293
65.981,105.473
87.789,1.898
31.872,-17.428
40.624,67.162
141.564,99.245
154.25,-4.909
88.938,83.872
14.074,123.591
124.29,48.201
141.034,55.969
94.073,-1.421
106.147,50.284
70.64,-16.611
143.207,61.329
105.769,-0.233
26.045,-26.256
140.279,87.378
156.543,-1.59
21.993,127.934
15.61,0.941
33.822,73.451
95.844,34.058
104.193,105.076
112.019,-15.203
136.569,49.574
111.413,53.784
80.687,63.521
35.43,1.565
48.567,72.654
35.254,84.053
18.425,50.468
47.24,0.3
64.959,66.667
125.451,50.104
16.428,137.141
45.569,122.68
7.969,124.289
31.307,-10.843
110.789,91.89
62.553,132.549
132.32,-21.339
65.332,88.892
127.515,116.657
54.957,114.954
98.513,9.82
118.428,57.649
45.998,36.407
74.79,56.585
56.348,121.051
67.813,-22.86
83.153,95.647
18.669,5.517
17.319,17.944
60.832,64.202
116.938,98.735
22.282,112.296
117.927,66.92
85.78,-20.819
16.145,141.803
105.41,122.969
12.385,40.891
77.238,130.633
150.74,120.874
85.816,54.003
20.444,27.036
115.053,115.051
106.579,90.595
134.931,78.695
137.895,103.665
26.637,129.342
7.721,22.618
144.837,19.713
32.668,58.375
97.009,57.06
118.647,5.344
135.463,42.944
85.492,61.934
30.759,19.312
22.662,121.221
116.252,22.212
120.196,87.862
91.221,122.797
150.279,-19.167
139.953,53.851
93.655,4.334
146.239,96.501
48.96,52.758
130.399,-27.997
107.658,84.786
57.424,48.108
124.635,108.975
77.614,-16.652
28.844,2.07
81.933,-12.133
108.802,38.106
94.45,37.238
64.002,-23.252
68.564,140.825
127.611,16.397
34.06,-8.249
49.602,33.782
10.96,69.15
151.672,61.192
17.174,85.383
154.687,99.665
33.901,133.326
144.228,-0.316
27.806,50.764
55.633,34.32
140.627,33.514
33.655,91.979
99.342,61.277
52.8,-34.96
123.231,-35.165
127.908,102.361
43.6,124.357
16.684,-19.373
74.819,118.102
85.709,88.366
155.364,102.782
133.553,-22.784
14.545,98.804
19.566,85.31
30.041,4.793
51.386,118.505
25.423,130.442
19.257,-28.426
121.899,113.426
25.384,14.918
50.004,34.898
94.302,51.099
72.561,32.272
137.226,34.279
30.239,-3.626
54.654,11.599
69.474,54.659
52.88,82.568
112.116,77.229
44.361,128.697
60.262,26.315
116.763,-24.525
85.328,123.893
109.832,20.485
124.968,123.359
99.322,117.42
128.077,86.082
88.977,27.642
154.93,59.036
131.884,118.149
38.999,106.713
26.09,90.537
28.798,17.406
97.531,2.155
19.169,87.261
32.972,106.094
18.687,44.516
137.617,121.203
153.9,25.383
122.097,105.1
154.503,-28.345
106.21,106.287
89.407,18.214
145.76,7.705
121.15,9.37
66.019,124.727
92.568,33.316
102.544,-4.643
112.285,56.139
68.319,96.107
133.096,18.196
75.552,45.549
38.694,14.602
110.289,35.682
97.814,56.541
78.448,45.412
17.39,62.54
25.636,87.141
150.212,2.912
103.759,104.449
143.488,54.739
152.7,-6.523
131.067,79.306
27.497,-4.023
14.284,-13.237
102.045,-2.53
155.194,112.433
47.277,73.344
24.293,72.897
42.35,135.798
80.658,44.935
28.845,-1.054
20.492,34.137
52.723,56.905
90.664,-7.278
145.596,60.348
78.522,11.147
35.04,43.91
136.021,-1.545
52.301,143.89
56.565,-2.196
45.244,111.984
57.596,46.522
79.751,-17.383
40.056,16.617
99.49,114.529
115.062,72.829
139.264,28.045
114.067,41.258
148.223,-33.666
75.617,-29.461
107.865,8.82
123.099,33.255
22.972,64.559
6.733,98.906
