Response,Explanatory1,Explanatory2
114.448,95.335,90.277
74.06,80.555,-40.111
110.302,140.385,-46.489
54.11,28.038,5.615
143.277,69.697,-18.446
109.144,118.851,-1.651
164.941,32.491,139.893
52.668,85.071,88.709
128.612,55.368,16.117
111.779,125.223,-4.025
67.762,146.592,8.865
124.084,46.262,140.253
161.144,32.234,25.107
79.271,55.313,103.672
159.764,62.2,73.492
68.492,91.204,-26.026
170.567,39.593,125.476
59.034,117.653,19.981
163.089,87.675,-13.632
147.95,50.506,-30.331
194.978,144.429,41.825
76.853,106.644,41.779
133.908,22.057,147.259
145.314,45.804,-24.824
165.377,47.985,143.116
146.351,42.117,89.854
157.26,103.489,76.556
185.822,153.895,15.124
55.037,80.75,121.897
63.438,95.986,126.941
59.101,25.304,143.706
180.894,74.315,-13.663
85.766,124.707,-4.332
145.381,145.32,130.304
100.59,55.267,2.92
82.707,120.108,-13.578
65.308,53.712,81.42
169.401,74.001,-8.131
164.201,118.045,-18.229
124.987,19.489,23.863
133.818,58.811,148.908
70.459,79.385,32.701
69.727,130.516,151.376
84.573,96.072,126.851
126.445,141.477,10.505
133.74,108.49,23.708
104.988,92.292,66.018
83.371,133.495,33.095
72.093,84.654,131.495
129.865,40.428,123.344
62.256,94.316,-2.054
150.623,42.355,11.469
47.691,49.337,67.179
54.4,43.405,-2.854
172.007,140.134,60.804
88.827,99.184,71.521
44.74,143.259,28.544
110.777,20.935,102.018
79.597,130.452,60.993
140.965,138.577,12.182
179.686,115.78,-38.955
180.662,148.965,116.271
99.76,26.652,88.985
102.933,27.707,51.665
167.988,87.388,79.972
169.404,134.241,8.541
84.971,51.04,58.139
174.568,110.884,92.398
72.54,147.293,57.392
123.42,53.04,-22.813
140.172,92.051,-4.603
152.945,35.528,4.465
46.08,117.985,93.672
48.433,31.521,143.891
172.885,75.762,45.906
193.323,80.453,-28.501
125.664,96.332,152.175
74.88,17.92,125.748
146.06,51.004,29.244
191.194,139.638,-11.145
168.233,25.119,129.052
119.095,73.1,115.901
86.856,144.842,-18.548
46.689,136.294,-38.894
168.27,66.571,-41.99
142.757,63.298,-16.313
69.712,121.201,112.004
192.213,147.705,13.088
105.585,136.555,10.166
121.125,128.777,90.069
155.373,21.652,66.174
133.229,19.097,1.179
185.765,48.767,100.607
133.458,85.34,-20.487
43.04,57.865,56.242
164.4,141.966,8.358
159.353,43.046,-38.291
148.609,16.803,12.072
42.193,113.463,-10.196
161.095,38.286,-17.971
96.587,91.615,37.599
58.348,138.852,139.751
168.692,134.964,41.919
180.732,79.151,-39.031
83.49,151.741,110.101
172.917,95.648,-27.147
146.735,117.253,13.76
96.81,118.05,8.499
51.791,134.459,22.157
104.024,48.801,-32.504
106.04,62.386,50.229
171.05,99.543,22.065
64.753,118.153,124.102
148.538,36.832,25.226
83.848,51.102,-40.144
191.938,43.438,152.407
95.142,49.026,126.335
85.594,138.777,60.461
95.085,91.198,-8.415
162.047,50.535,94.397
134.049,142.093,26.763
170.306,23.256,61.498
77.55,70.132,-19.466
164.057,84.784,105.65
98.748,85.552,9.642
106.043,28.692,-32.119
101.186,141.829,103.854
150.831,28.719,-25.082
107.392,21.432,99.37
68.429,135.321,148.485
146.086,103.725,-42.1
145.698,90.554,-39.171
110.0,122.577,-8.014
182.25,110.197,17.928
52.084,77.812,148.121
65.518,24.471,148.409
169.912,60.013,-23.775
83.777,148.669,-26.044
96.689,39.461,77.91
79.78,81.48,139.083
64.277,92.929,23.546
48.972,145.519,30.482
57.783,92.887,52.585
101.734,135.497,20.846
43.526,124.649,-29.851
160.447,146.268,-18.327
129.638,36.459,59.196
99.582,146.934,68.255
105.427,90.794,82.14
169.098,139.05,132.627
99.727,21.735,113.509
156.737,102.552,111.245
190.077,67.687,31.238
79.81,19.826,19.529
66.865,66.373,-2.449
164.14,58.839,114.18
186.217,49.398,43.301
78.298,121.607,19.006
194.491,68.217,17.628
112.236,122.637,95.96
147.617,141.042,98.038
182.947,30.622,111.548
95.292,142.031,-16.271
119.386,97.603,121.358
116.277,50.995,-46.0
122.402,69.157,16.327
45.823,48.546,104.969
175.747,146.66,47.201
63.985,133.586,124.866
121.78,111.211,63.025
93.285,149.828,7.707
60.118,36.875,23.831
167.994,53.155,113.681
125.449,103.141,146.857
69.769,134.223,142.513
139.309,95.166,88.459
89.433,116.648,138.511
70.905,92.363,60.636
129.216,106.114,66.464
82.339,126.316,46.344
45.456,43.347,112.238
123.403,139.133,138.269
63.949,93.825,-35.907
137.577,122.373,22.512
55.932,137.73,53.397
86.4,121.416,106.76
97.621,72.43,94.378
133.198,40.334,34.588
143.883,71.957,17.652
101.627,86.069,90.169
76.871,126.263,-16.089
155.795,88.281,62.24
105.084,90.254,-10.609
176.826,56.421,-42.175
69.488,145.434,107.163
165.691,21.694,38.362
177.56,114.655,154.61
180.064,90.788,119.721
183.415,111.872,-40.182
97.284,85.671,144.712
88.844,82.815,-29.869
113.502,50.592,-1.08
58.015,128.723,34.03
142.305,71.237,82.864
57.847,75.09,-1.92
171.349,114.509,34.019
85.067,132.171,62.432
83.975,66.92,-24.134
170.551,90.542,86.224
134.716,105.773,-10.201
171.995,97.945,46.356
124.277,126.292,-21.984
119.417,43.275,42.596
175.7,83.017,114.683
187.866,106.515,-22.82
76.085,111.208,-42.587
112.259,132.994,83.831
167.717,92.929,-41.278
104.541,87.463,71.67
44.785,108.564,47.231
84.314,124.096,-12.836
65.242,94.2,-20.144
57.219,57.54,124.263
111.888,113.085,51.206
112.907,117.999,65.835
157.065,65.715,-24.484
127.826,97.28,80.3
66.694,28.059,27.573
