Response,Explanatory1,Explanatory2,Explanatory3
24.604,133.773,131.774,110.719
18.11,93.582,103.552,114.987
118.849,52.311,105.063,119.352
-17.95,105.392,51.829,22.385
111.223,124.657,70.12,39.293
28.591,9.2,91.917,38.681
155.822,11.872,24.154,188.425
91.24,27.394,3.065,29.792
141.459,141.066,120.788,174.002
87.892,48.309,-22.75,152.984
71.993,123.588,27.297,48.24
59.525,133.156,21.959,58.785
90.086,40.06,22.908,116.837
146.617,59.995,28.2,137.419
151.67,21.62,75.334,102.792
140.246,113.334,57.602,28.013
106.871,120.188,127.199,31.545
102.887,74.945,31.119,148.579
119.251,28.065,26.109,124.662
64.668,65.321,59.392,162.259
36.941,23.729,109.362,78.695
69.625,93.492,-12.491,67.919
-3.899,34.325,127.847,168.545
-6.197,54.921,103.024,29.93
-9.783,68.715,110.019,15.013
99.815,14.578,24.75,-15.932
42.779,110.683,-24.719,128.423
82.665,34.766,125.542,149.801
1.786,74.764,65.864,77.129
-0.516,16.921,-22.965,67.752
64.895,137.849,68.287,50.451
-8.613,12.965,-25.083,125.561
80.807,18.997,114.136,-24.572
132.895,94.306,79.764,2.404
113.057,116.274,82.098,138.145
93.767,22.103,109.126,75.782
157.983,11.564,57.378,136.322
137.13,115.671,119.089,76.769
154.057,5.503,-20.198,73.942
27.346,101.078,72.022,28.059
155.98,5.555,17.751,122.462
13.946,88.897,-18.962,24.498
69.446,30.155,14.852,-14.91
78.738,90.505,-28.683,159.766
139.802,108.239,-1.897,133.993
59.975,65.217,101.131,177.175
124.31,50.298,77.747,34.275
131.885,138.01,34.134,64.944
143.261,141.881,97.221,88.14
123.164,7.406,91.523,12.968
6.446,109.789,-9.64,20.096
35.094,54.965,116.721,69.267
35.79,48.685,77.011,157.75
148.404,47.761,0.058,186.354
28.355,133.186,-15.106,91.91
103.903,22.714,33.912,128.912
82.405,35.266,54.745,163.209
126.277,139.117,55.724,101.121
94.093,58.144,92.628,79.878
102.736,110.523,92.71,10.713
11.712,72.745,106.51,96.909
26.214,46.385,30.489,144.397
76.746,79.887,111.03,26.486
33.525,29.375,28.257,46.082
135.196,59.726,32.214,81.092
114.169,64.837,125.345,33.833
94.197,102.24,-25.884,-23.6
94.123,62.729,-27.21,186.653
83.28,82.12,102.37,145.947
80.192,101.913,36.498,-9.417
131.604,60.125,3.955,162.333
103.643,119.666,43.117,130.343
40.135,83.206,58.895,-26.55
86.617,110.641,26.07,88.244
101.604,63.736,64.817,-10.999
27.167,29.53,-23.018,5.109
44.19,81.302,67.019,80.851
129.364,58.93,58.213,15.926
117.112,97.107,62.103,48.88
91.631,50.055,57.634,100.703
60.382,66.786,30.117,59.034
125.562,105.293,30.525,-20.105
21.899,106.241,19.045,71.298
121.1,32.198,-25.887,109.618
85.823,46.274,48.442,36.283
8.926,96.864,84.097,-23.888
11.863,44.999,108.425,-31.437
33.025,134.163,90.218,92.773
42.321,130.223,114.233,183.702
60.741,81.879,-15.517,99.484
-13.549,81.311,120.865,125.748
95.246,45.991,-11.056,103.781
14.723,112.336,62.522,57.283
21.944,99.95,42.21,175.462
19.421,102.425,121.333,125.52
11.545,143.392,125.438,174.069
52.366,86.876,48.059,177.869
-13.709,4.916,31.339,-15.966
97.175,85.007,84.919,185.963
65.096,94.703,44.572,-6.9
10.472,98.707,101.431,100.988
13.647,62.598,12.484,71.297
121.461,134.83,-5.6,-24.63
148.886,65.811,134.871,-8.187
83.962,58.418,138.243,16.256
32.12,18.798,-9.165,82.896
30.867,126.653,50.967,90.682
88.909,61.134,22.153,-9.23
16.137,14.804,-22.019,111.422
2.259,123.867,111.572,29.128
109.977,78.319,3.111,3.828
43.332,43.253,103.473,60.38
121.916,78.557,7.1,19.384
115.453,21.082,70.24,169.886
120.834,16.83,58.083,168.799
41.828,28.863,-25.439,-16.993
21.367,99.922,120.049,22.734
-0.098,28.785,124.11,152.864
93.201,129.888,-18.596,75.454
98.438,130.659,20.985,26.884
102.48,66.472,43.395,-21.191
110.522,78.939,4.775,56.384
120.385,129.656,52.301,15.216
41.704,92.33,105.044,105.661
12.1,131.508,103.522,-26.964
25.725,129.568,76.09,48.956
138.182,38.576,-24.339,66.451
38.013,39.069,84.001,93.092
100.604,119.576,-26.255,97.064
50.611,80.841,90.447,-8.48
83.163,18.018,137.055,109.193
-17.68,109.098,59.895,179.028
42.141,138.402,106.518,1.079
45.631,62.266,70.689,-12.693
24.635,112.276,134.199,-5.733
119.955,110.736,-3.559,30.808
93.081,46.727,25.752,50.546
143.098,56.796,99.676,97.797
136.288,61.78,56.279,-32.217
76.006,104.258,11.733,-11.033
46.284,17.862,-17.83,126.886
65.521,72.738,13.924,-31.776
7.044,45.716,-11.088,155.75
-10.55,100.45,3.81,38.887
-12.891,103.38,63.802,43.596
61.084,43.542,74.902,-11.088
-12.036,46.063,35.526,146.071
39.794,128.431,-25.856,81.6
12.747,58.3,124.182,117.806
91.181,56.678,-20.863,22.507
120.308,84.691,89.861,43.331
-5.571,69.987,139.373,112.713
119.96,139.598,60.504,34.805
59.77,54.132,-26.107,163.32
146.787,39.731,96.234,35.114
129.739,24.82,-12.35,51.855
45.586,44.524,45.639,138.789
10.059,66.365,81.399,93.806
54.51,114.906,106.987,94.404
58.496,29.905,34.81,127.108
119.425,142.161,0.255,55.086
81.298,23.213,28.021,19.996
45.952,39.466,76.274,-7.026
134.947,88.378,37.527,108.657
55.668,40.741,-28.661,107.932
57.647,110.622,59.569,9.579
0.426,121.48,114.09,86.464
1.101,129.369,101.521,151.599
63.031,72.511,73.492,8.637
114.87,106.484,122.157,77.832
19.02,82.882,68.3,103.395
157.105,81.911,103.927,78.665
50.35,111.699,18.676,178.903
45.539,128.601,133.759,14.017
65.703,132.387,-23.185,9.918
54.838,76.952,113.911,103.039
123.094,43.638,16.788,77.876
-6.189,74.462,33.013,43.152
125.657,66.16,129.779,185.418
137.661,69.818,46.539,159.799
3.225,82.458,124.492,102.808
104.026,11.213,111.35,100.394
81.292,33.295,18.849,29.763
96.157,134.421,-5.607,138.105
106.169,10.596,49.773,7.099
63.215,43.309,89.312,102.365
103.26,98.952,137.795,-29.116
121.21,130.91,120.094,-4.143
133.264,78.433,0.512,65.004
33.854,120.772,71.959,175.863
6.144,14.57,-24.014,51.596
127.642,33.99,70.179,64.285
57.823,138.199,124.996,165.793
32.248,28.103,103.389,133.918
37.793,84.485,62.544,65.612
-7.781,7.604,60.621,90.662
124.675,95.569,110.453,21.108
158.443,55.421,41.904,173.26
37.95,83.939,82.079,148.364
55.545,72.0,-2.555,3.919
139.961,109.424,83.86,102.594
42.851,36.147,-17.169,-5.0
134.271,84.975,-24.3,129.308
44.21,31.152,126.14,77.228
67.222,20.009,14.236,47.8
64.744,85.368,-9.513,62.739
105.102,94.801,44.948,-7.279
21.897,119.388,98.717,143.959
9.586,118.117,119.253,147.2
65.211,50.411,91.915,157.521
88.836,36.874,39.412,74.928
-0.308,26.116,-10.931,151.042
-3.125,121.292,63.084,85.999
-14.352,64.882,38.665,72.692
-15.064,129.106,132.17,97.272
0.229,73.203,34.356,-8.449
43.869,105.925,-12.224,-14.148
50.332,126.738,115.372,26.989
8.838,111.035,87.814,122.126
4.141,116.059,22.065,26.248
5.541,43.804,-7.106,60.362
146.232,119.231,54.542,81.286
140.631,92.96,97.372,152.754
78.053,93.817,12.339,111.684
-1.613,14.388,58.88,-14.962
104.397,115.212,-0.27,142.696
158.779,50.719,120.788,90.729
56.85,126.379,67.694,87.779
-16.836,78.621,42.936,30.015
59.876,57.522,139.657,131.308
16.1,132.434,-10.448,99.033
131.671,80.864,114.797,124.411
30.82,83.119,80.156,52.224
104.3,82.468,75.727,-5.578
140.187,40.977,77.067,185.802
103.004,127.354,-10.533,151.23
113.571,51.559,105.034,23.897
42.123,37.828,32.974,148.275
34.443,134.398,15.119,64.395
-8.847,26.46,37.773,187.308
157.323,127.626,-22.88,84.632
41.755,103.789,59.901,106.177
142.369,85.341,117.874,15.678
124.272,143.098,134.501,102.724
109.655,35.68,12.26,8.695
4.711,117.427,-27.057,36.98
131.432,86.425,135.328,162.504
101.578,71.891,94.661,61.921
153.466,57.415,121.457,-17.974
8.127,116.247,52.946,52.162
124.4,137.718,47.814,102.051
157.234,103.547,120.889,25.045
104.368,120.71,-19.092,177.792
145.097,14.036,62.937,67.592
66.363,131.134,60.675,68.159
43.254,127.446,20.689,173.871
54.862,25.14,12.918,116.794
9.234,130.667,101.644,48.92
127.593,109.422,79.25,103.839
-13.42,52.725,110.756,107.86
138.17,51.989,45.405,174.568
155.398,133.458,-4.253,130.256
137.241,52.511,19.44,82.745
33.262,131.318,130.549,62.286
72.092,54.462,123.889,68.742
53.769,110.685,107.508,151.785
69.942,97.233,7.112,55.712
1.369,69.131,126.966,92.403
125.911,142.809,0.921,-30.516
105.842,112.041,108.881,101.181
98.303,37.218,87.2,65.551
124.387,63.126,120.189,-17.887
-10.458,22.412,-1.047,-17.504
1.437,125.033,-0.786,78.787
27.408,37.061,4.922,66.429
154.214,100.17,49.622,185.747
29.836,40.01,132.194,-19.17
150.251,96.302,115.407,127.982
21.408,126.253,100.94,18.349
4.377,115.402,-22.943,94.207
157.77,140.54,-28.46,132.858
6.518,39.883,128.525,121.422
154.068,101.098,97.477,111.96
58.615,85.81,83.412,164.166
109.232,110.489,93.309,44.342
52.059,122.792,16.087,148.028
37.594,105.47,119.922,-26.766
55.766,93.082,84.853,-33.45
133.716,100.961,-12.364,115.391
60.09,10.865,-27.243,117.578
32.785,100.926,1.356,175.876
119.693,54.823,-10.882,59.751
