Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
168.009,9.274,-13.164,94.939,90.025
37.922,42.067,25.269,30.048,95.439
47.528,-13.375,103.212,133.956,86.001
82.218,98.376,115.041,132.397,48.954
37.019,-2.979,3.143,125.059,66.029
30.401,75.479,76.678,99.24,106.323
52.069,105.779,76.448,164.063,16.331
110.854,33.784,93.788,3.397,50.786
174.375,171.575,120.263,163.81,57.961
125.54,165.672,52.812,104.282,96.384
87.242,33.888,52.253,136.542,72.314
76.439,158.737,102.38,92.51,60.775
96.99,68.45,87.296,97.965,74.66
149.86,131.982,52.627,114.143,18.633
135.84,136.255,19.07,30.63,88.255
173.016,119.667,35.901,63.947,-4.699
190.129,128.829,-15.032,129.596,76.266
43.83,148.306,97.007,82.294,30.573
39.908,79.327,42.55,46.469,57.626
37.041,3.301,-16.025,36.525,26.228
182.826,72.313,52.169,156.576,37.108
59.821,49.838,-10.941,30.261,52.755
103.287,97.621,40.708,5.451,94.928
42.288,2.736,11.881,95.449,73.578
154.258,103.737,95.673,112.154,74.542
99.384,130.745,97.066,77.671,52.571
105.62,103.788,30.42,127.234,45.334
70.054,174.295,55.817,13.616,25.255
114.059,3.517,52.345,158.913,50.568
83.456,-8.521,79.888,3.134,43.754
112.475,84.414,60.171,29.108,70.751
85.949,29.748,-15.802,84.649,65.671
56.14,29.073,19.975,144.061,52.388
60.028,56.656,58.414,100.829,60.344
113.036,156.935,-10.221,85.532,29.874
72.876,38.613,-12.119,114.159,5.669
125.941,76.258,6.069,127.896,5.455
99.216,68.957,90.187,44.942,72.668
57.104,16.911,36.475,37.176,104.915
172.289,57.571,88.129,12.135,91.989
102.143,179.157,72.042,14.715,3.189
178.057,172.106,99.275,-4.432,71.595
131.134,7.868,46.783,68.688,87.386
62.496,67.576,-3.077,1.998,102.932
45.066,-5.599,-4.624,21.068,84.553
57.412,169.571,117.249,148.316,58.066
32.786,38.122,96.814,37.424,103.997
136.854,134.155,12.233,60.789,79.524
172.455,97.543,67.438,137.01,92.928
64.831,97.252,106.122,171.433,57.702
71.798,81.764,92.98,15.352,64.238
162.195,111.25,83.377,126.751,97.167
82.795,48.187,106.237,158.858,82.639
117.55,76.433,-10.441,-10.168,47.287
148.789,15.746,-14.911,45.814,105.479
133.731,65.472,112.263,14.305,27.417
62.278,13.837,87.729,92.211,18.936
126.356,157.319,86.984,48.218,29.565
143.235,162.678,47.17,140.454,0.06
133.713,12.687,75.163,138.0,26.99
87.313,134.662,59.355,63.548,25.514
152.026,27.538,-14.579,53.236,102.273
150.784,17.378,-8.554,167.761,1.669
59.438,98.749,72.005,69.376,26.457
175.568,114.709,28.975,106.518,58.598
176.875,128.178,111.334,106.617,94.424
135.821,46.462,25.878,113.86,36.685
165.579,169.358,15.162,171.031,23.126
55.352,97.138,-16.262,64.248,97.999
121.109,22.598,7.754,152.516,22.627
125.422,94.05,13.113,160.114,93.766
164.665,91.197,75.783,96.195,32.084
89.704,66.529,84.894,80.393,36.35
161.161,-7.991,-2.524,5.974,80.896
101.703,48.909,-9.531,115.127,-4.055
109.147,85.408,83.669,103.288,84.743
47.937,122.42,83.36,87.611,37.689
33.553,79.274,64.411,110.818,84.889
82.073,155.058,37.884,4.091,42.215
96.84,11.593,119.459,167.503,54.319
52.142,150.384,98.626,118.471,77.044
109.739,60.496,33.685,60.777,5.875
55.71,23.26,99.264,5.323,6.558
163.129,-8.827,99.629,46.105,46.051
69.638,-1.894,-11.465,-6.223,1.378
89.758,6.571,3.864,100.43,93.005
170.686,-2.444,113.595,152.218,88.849
30.505,180.241,107.434,64.658,34.853
111.295,2.471,7.945,107.773,64.052
35.028,131.012,65.353,22.482,95.044
104.897,21.035,63.317,41.776,18.904
140.73,91.074,-11.845,35.57,25.194
158.256,28.525,111.431,109.147,57.493
150.464,74.43,19.8,13.962,85.605
40.633,6.485,73.871,37.311,66.559
152.791,45.726,65.401,55.446,36.626
141.468,26.257,58.612,112.158,102.494
188.077,-15.674,24.61,45.906,66.382
94.754,51.665,83.398,114.123,43.629
39.052,66.031,100.793,89.276,2.489
163.971,58.657,17.734,23.355,9.716
167.123,164.398,113.339,93.629,60.594
142.481,116.827,-14.381,94.584,57.647
188.141,108.415,-0.775,98.332,15.146
107.655,-7.562,111.88,19.077,35.728
52.53,124.57,38.442,43.666,76.424
73.226,113.064,114.196,169.143,89.261
45.297,153.686,82.966,93.047,13.691
115.071,25.956,-12.008,56.456,0.113
193.129,164.122,44.102,171.446,46.837
144.874,25.762,7.581,116.533,38.659
114.881,-12.236,46.907,139.432,69.895
180.551,51.612,-14.32,65.474,7.569
194.904,66.345,-6.726,19.84,61.863
117.371,108.064,52.364,84.074,54.646
51.202,107.022,17.787,97.161,77.039
134.028,58.604,71.747,61.148,66.039
40.06,-3.366,57.841,57.621,38.492
172.064,64.896,74.332,13.169,42.369
36.619,131.627,32.296,77.397,78.525
98.647,153.749,114.455,170.729,52.875
148.431,70.284,63.602,171.812,36.457
92.999,52.814,15.89,36.352,68.553
52.746,169.606,-7.665,167.354,100.664
188.755,115.53,-1.744,89.493,21.07
78.328,84.55,16.754,140.751,62.496
78.641,-9.723,121.276,75.34,71.629
134.291,35.23,49.107,47.182,55.647
98.48,58.019,119.666,9.827,100.558
166.636,81.722,82.384,5.715,74.981
137.802,102.116,66.147,52.552,105.18
95.605,172.406,78.362,105.949,49.683
89.35,20.662,113.622,101.396,94.376
45.772,135.299,117.674,154.129,63.543
88.408,74.828,50.4,93.335,24.423
145.867,29.172,57.085,65.722,34.588
73.797,1.187,-1.573,48.368,7.437
32.743,7.61,3.407,171.223,22.595
76.574,142.341,28.508,137.173,38.029
109.565,89.104,46.129,101.15,5.8
108.717,53.776,21.362,29.784,21.25
46.535,10.568,78.971,78.07,71.969
86.632,179.246,53.853,153.214,57.577
78.769,172.684,45.219,30.479,29.187
173.008,90.644,29.599,51.342,86.427
131.357,52.151,55.148,92.299,4.206
148.003,141.689,49.312,164.53,79.374
187.984,145.235,87.737,154.492,0.366
78.324,76.208,41.351,146.342,53.899
111.741,0.769,48.378,79.219,102.1
110.97,117.109,-8.481,133.552,33.533
97.648,89.877,22.077,98.821,62.555
187.176,63.661,109.912,-11.244,44.228
179.437,91.043,38.017,-0.637,11.674
107.096,99.781,59.287,88.01,29.582
75.873,-15.711,-14.044,65.177,71.295
74.156,122.259,-10.973,138.552,24.971
82.25,169.908,16.619,9.717,27.968
44.747,142.215,30.96,50.922,-0.308
188.994,75.645,106.618,162.627,66.894
40.393,67.986,0.16,118.434,4.408
191.872,125.848,83.666,76.927,31.084
56.177,179.521,-1.232,166.673,48.845
178.311,55.3,9.94,113.958,32.767
171.586,105.331,27.464,65.818,51.703
34.705,179.75,99.327,85.722,48.314
158.68,40.423,62.07,-4.466,15.589
103.186,104.115,-10.177,42.556,73.945
156.053,103.712,39.913,131.465,96.602
42.31,4.144,31.5,11.378,70.955
57.886,69.574,42.423,115.343,21.068
187.838,136.943,-2.697,57.557,81.068
108.19,138.659,90.017,57.678,42.064
190.682,-16.644,88.873,15.411,79.213
69.066,179.311,68.815,54.901,98.072
185.91,17.639,81.785,38.451,102.719
177.877,124.765,113.575,117.365,24.82
148.001,133.844,43.976,94.125,41.58
177.158,42.774,68.21,133.08,48.699
33.088,-3.253,76.402,96.325,43.665
27.575,-3.776,46.756,75.103,80.589
48.561,160.108,28.059,137.582,24.74
80.468,53.43,-13.934,51.082,-2.77
136.561,108.863,1.725,7.245,41.264
98.762,-11.842,113.937,50.854,-0.017
180.879,77.045,33.006,38.56,45.044
48.786,77.935,17.443,77.617,65.55
167.859,146.734,82.349,123.668,47.835
50.406,142.689,55.397,39.345,56.3
69.84,102.289,33.824,48.893,81.055
185.249,178.53,67.4,124.115,11.959
41.907,147.217,43.073,129.688,12.281
98.65,145.293,37.829,100.124,15.126
178.582,134.152,39.152,50.935,39.743
77.251,69.81,115.279,167.798,59.849
71.334,63.667,57.629,110.98,-4.655
145.137,168.806,111.848,-0.232,35.514
157.902,16.941,14.422,45.236,-3.805
50.815,119.268,119.773,50.887,35.088
101.673,65.881,99.658,79.039,76.047
134.589,-1.819,72.076,67.739,59.978
39.554,180.536,-8.591,157.325,9.912
148.32,42.151,31.17,41.68,69.93
81.575,109.921,54.098,12.877,79.245
162.603,165.353,-14.136,103.524,80.153
115.504,131.339,4.663,25.785,53.167
108.569,127.372,-1.311,56.044,56.338
139.974,78.448,41.207,98.444,5.224
153.107,110.804,117.369,127.253,80.699
167.198,56.438,-0.279,55.842,94.633
60.179,67.999,17.279,15.946,3.819
145.978,154.078,25.274,164.674,64.334
