Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
41.246,9.031,99.346,111.037,89.12,71.861,71.011,94.885,139.071,27.656
16.561,75.033,52.601,104.181,82.114,27.643,51.113,31.977,33.994,89.582
32.051,47.717,98.858,72.479,113.355,110.558,-15.598,-24.671,65.482,88.312
123.935,26.864,72.38,70.5,160.029,74.712,139.0,48.663,41.946,52.79
111.522,78.34,45.633,43.538,60.095,24.272,61.994,137.094,-7.447,3.893
22.149,148.235,65.266,79.698,37.517,24.366,-9.175,143.703,132.346,95.766
69.046,70.79,134.585,116.323,76.796,42.879,28.158,123.144,136.875,15.76
54.708,28.62,34.396,113.549,129.358,-1.412,65.756,-25.612,3.381,37.876
51.805,66.382,43.097,93.357,88.554,-12.538,155.325,84.999,106.81,69.254
179.421,25.26,123.235,99.026,25.018,20.937,149.157,41.139,142.378,19.906
173.591,63.934,49.419,21.12,56.53,70.824,-8.406,37.896,72.865,104.737
101.081,25.666,110.664,112.124,65.868,13.673,82.07,3.239,58.213,92.215
105.415,147.525,74.051,52.345,91.137,-18.03,82.962,137.182,70.397,25.613
62.807,151.196,106.012,89.54,128.297,75.915,118.835,154.559,-24.501,5.991
158.666,16.025,39.65,28.066,57.69,77.07,-1.74,51.61,40.899,101.53
182.35,116.642,136.401,27.654,17.672,24.41,164.968,3.401,8.839,45.852
29.688,128.646,64.655,123.843,27.41,-5.137,37.293,68.816,145.457,64.047
181.224,148.294,140.637,82.852,126.77,122.188,7.91,91.472,131.954,67.765
183.065,10.17,118.713,114.633,143.234,108.169,-19.652,53.27,36.377,33.491
34.204,147.637,75.32,47.52,159.773,38.231,103.153,36.313,35.791,69.085
78.33,132.865,75.034,54.404,22.562,41.625,164.979,86.316,145.229,34.773
110.991,32.927,120.944,104.796,63.656,26.318,160.018,62.207,123.471,5.338
22.091,149.207,41.064,103.105,23.991,47.765,155.332,41.837,146.158,82.576
41.622,21.641,129.697,79.958,138.155,72.977,186.752,38.242,18.514,86.096
118.222,17.128,101.764,112.019,50.991,111.648,-4.694,45.157,159.289,24.802
113.963,-2.002,128.764,54.95,136.942,29.025,-2.39,85.498,26.734,103.433
126.142,178.208,42.993,33.146,159.289,38.534,50.22,142.601,125.783,64.664
91.587,76.03,65.775,49.384,125.196,118.633,31.687,75.413,76.583,50.737
89.631,3.301,112.949,96.476,92.212,121.502,106.289,24.833,78.872,32.331
160.768,-2.386,60.555,43.314,103.205,108.646,-13.819,135.418,159.485,5.644
113.159,98.46,53.97,95.134,149.492,36.766,132.12,148.308,3.823,50.915
41.623,-3.392,116.573,98.613,133.706,60.999,-9.187,126.223,64.203,5.428
184.514,11.289,105.655,99.095,165.933,-19.612,-18.342,74.55,82.562,25.313
77.781,56.945,95.483,111.684,160.563,-21.987,146.002,-32.827,120.496,24.916
155.24,-13.09,122.578,68.62,66.867,66.088,104.683,41.871,-3.338,53.618
51.695,88.872,53.709,43.619,86.632,59.132,8.336,-27.178,21.13,76.644
55.149,34.274,118.465,39.509,113.593,33.632,164.887,16.55,148.717,39.925
186.841,100.648,116.478,50.831,86.67,110.859,115.127,164.121,69.701,9.945
69.758,44.154,90.775,103.221,140.514,-26.746,102.426,129.815,123.498,29.273
154.977,80.004,102.248,55.298,137.654,121.957,-23.782,-27.925,100.112,28.745
114.044,78.35,121.063,69.248,50.15,33.983,138.759,87.656,84.856,91.498
18.543,116.919,121.397,21.956,16.718,3.315,134.374,-6.725,72.472,55.917
86.052,100.652,34.517,92.324,47.645,87.273,101.682,147.946,23.31,49.335
39.868,111.267,115.804,26.838,149.29,123.833,-12.467,162.212,51.456,35.701
160.71,38.855,50.967,24.214,32.562,114.546,106.581,48.746,-16.893,16.232
23.395,101.917,48.313,103.5,137.415,106.069,64.218,38.668,-15.699,71.152
90.652,79.7,66.773,98.416,120.078,51.812,164.033,35.321,113.201,12.778
126.512,26.425,110.903,99.295,147.599,-4.022,56.509,123.347,127.347,46.027
66.888,-7.923,118.596,25.842,53.734,72.491,45.298,67.878,98.22,55.336
128.092,-1.009,74.921,42.853,118.355,125.53,171.354,-14.072,72.682,70.257
176.477,59.977,35.138,50.833,159.647,92.965,-6.838,36.011,152.43,33.783
19.073,34.437,83.08,45.635,138.426,47.055,32.098,-10.185,-32.842,76.942
83.92,133.254,57.617,120.947,98.396,101.12,164.357,127.013,-8.034,39.017
182.159,13.455,122.674,78.051,139.271,0.528,-18.377,24.002,43.525,26.037
108.058,56.103,107.404,85.126,43.243,37.166,172.35,148.439,18.569,25.47
11.203,160.545,61.555,99.945,73.006,79.278,139.402,100.652,-14.854,88.046
175.831,31.3,101.997,111.194,74.19,-30.921,98.682,55.664,-13.809,111.645
145.203,155.234,110.17,103.478,87.007,72.484,103.012,-32.211,61.102,106.646
153.111,98.67,79.621,70.559,83.869,87.942,62.626,164.269,56.925,67.701
180.562,174.686,116.045,114.747,60.621,7.656,160.908,56.271,-23.483,84.9
170.814,157.002,91.931,100.414,138.196,61.993,73.393,-26.121,106.854,43.992
80.538,10.126,36.06,62.259,44.071,122.851,73.362,22.799,-34.794,109.265
59.627,63.634,136.101,104.168,148.961,-5.232,153.559,-35.474,119.491,101.511
149.432,124.969,110.634,86.813,22.855,15.382,81.323,-17.291,-15.019,16.858
113.087,89.07,37.347,68.497,126.262,32.961,-8.745,65.919,141.321,43.452
