Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
103.314,83.45,30.131,43.621,18.891,94.541,192.666,113.893,55.791,74.077,86.892,52.947,77.862,102.696,91.751
141.202,159.946,30.027,108.721,148.116,21.076,88.765,68.651,99.389,-20.366,94.795,103.078,113.035,90.213,98.359
148.724,109.794,48.74,63.977,45.834,132.264,80.472,93.037,77.961,-22.369,29.412,118.993,81.592,80.782,99.052
47.589,138.62,46.279,169.277,0.279,62.014,112.559,42.206,82.549,112.689,27.017,64.315,79.14,50.66,44.247
55.234,178.226,73.408,70.023,96.358,75.035,36.574,88.988,145.729,8.537,35.466,48.624,95.865,96.613,60.251
124.852,113.312,23.974,149.361,40.376,117.948,59.983,93.354,110.303,65.65,-0.428,64.069,110.808,80.262,104.884
79.564,64.154,43.025,141.619,97.93,60.692,147.861,89.419,128.723,6.352,111.009,71.215,68.151,64.849,73.476
17.311,156.997,71.774,60.104,74.959,134.868,42.11,50.834,145.488,-13.706,20.169,135.905,71.192,91.656,102.635
62.845,110.52,49.062,98.184,135.409,88.847,168.659,45.453,111.772,73.268,47.429,119.853,109.343,84.751,47.814
-10.868,107.746,55.637,96.512,61.288,102.84,45.496,106.63,38.242,59.148,65.73,73.587,126.865,54.509,72.995
124.982,67.761,34.366,125.664,128.428,-9.349,31.4,72.813,70.563,-25.094,45.199,116.475,54.651,73.288,54.701
4.086,104.92,89.204,163.672,63.214,71.831,51.697,56.492,128.05,67.611,35.286,89.677,83.19,62.854,96.934
56.732,54.028,99.984,39.394,14.768,6.553,94.098,73.064,148.701,26.823,29.139,35.564,74.048,67.016,67.391
92.21,118.862,39.073,165.806,135.452,126.779,38.197,85.128,118.122,2.109,93.811,73.462,82.451,94.951,97.917
15.105,69.252,27.746,113.264,77.419,-23.846,95.371,67.031,99.766,62.413,62.819,133.755,56.426,64.173,56.093
126.728,103.967,85.679,138.428,126.287,76.353,173.235,57.942,41.487,16.085,44.954,80.804,123.865,93.942,82.642
93.84,142.415,20.535,141.301,37.915,16.672,53.348,78.651,109.947,42.545,116.894,120.754,131.429,65.809,82.64
84.078,167.339,70.436,162.695,144.574,139.494,157.362,88.64,149.863,38.575,65.249,80.189,134.804,61.208,99.117
102.559,76.583,26.589,171.476,-0.325,-10.968,156.317,107.0,115.528,37.71,34.67,42.625,106.894,92.833,54.743
153.336,57.842,37.545,29.767,-21.296,74.22,114.383,111.015,96.055,100.591,60.086,86.672,82.494,77.525,106.056
