Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17,Explanatory18,Explanatory19
-5.917,120.504,32.641,152.163,45.943,101.715,40.981,36.702,117.333,32.737,100.115,59.447,121.249,90.826,63.4,-0.591,104.314,49.679,111.768,133.124
117.329,58.412,149.907,45.947,113.006,26.468,43.769,147.342,120.838,152.174,84.748,-20.714,88.821,100.595,73.036,38.416,114.42,-6.208,69.579,107.84
125.906,116.765,28.827,65.232,108.326,125.373,108.462,74.967,93.931,90.308,167.528,142.05,81.387,70.886,87.52,36.008,88.688,76.792,100.473,55.276
-1.358,17.908,106.215,101.351,108.619,31.168,110.869,33.954,98.116,34.622,112.631,9.631,57.039,40.557,153.581,116.086,82.595,3.553,67.337,116.434
76.334,57.321,144.366,184.698,29.652,49.847,20.175,15.124,117.137,39.106,115.077,-4.391,100.518,54.521,74.618,158.436,31.873,112.253,34.103,64.367
41.083,3.735,61.612,68.061,73.988,116.113,21.171,127.912,104.628,42.975,170.002,90.211,95.58,-11.916,155.142,45.31,104.386,96.912,114.15,72.387
163.546,51.208,158.632,88.674,132.214,25.919,95.832,34.759,48.984,137.305,75.373,131.875,48.31,12.556,82.112,80.135,91.607,71.145,106.059,116.38
164.377,82.154,144.231,104.05,71.21,36.208,93.667,146.613,105.443,23.979,126.927,155.408,58.947,-12.697,69.72,74.118,96.011,68.243,138.32,63.743
93.807,91.129,144.303,163.416,88.324,59.704,78.64,27.401,59.46,26.034,143.732,141.514,48.219,52.463,119.401,50.378,35.766,51.632,65.163,38.805
163.097,50.558,44.555,98.995,133.824,119.16,49.469,186.492,56.972,116.553,87.568,99.17,56.046,43.333,97.607,-6.307,114.962,35.664,94.037,40.708
-7.511,52.963,36.493,187.661,55.203,80.454,116.338,10.266,73.164,51.723,105.326,5.929,121.691,29.548,54.373,100.026,83.38,55.242,60.091,84.453
54.152,53.128,96.329,73.046,110.493,3.563,67.778,122.817,63.99,145.774,112.863,125.713,37.704,-6.76,111.435,-6.216,100.915,28.773,56.881,21.002
