Response,Explanatory1,Explanatory2,Explanatory3
-31.624092406544435,56.69,119.708,78.239
-77.8447381279143,42.26,168.558,99.155
-17.2101776038687,8.473,14.543,19.077
-53.89052655704313,89.658,65.083,30.816
-34.937500296763076,61.113,76.91,85.458
-23.356032652288945,74.066,167.567,106.319
-64.37360920439464,50.549,74.652,56.594
-46.36970787956098,93.031,63.661,115.761
-41.12428602217787,72.313,19.227,27.414
-55.929370644578015,46.442,77.999,33.142
-71.88372774741845,46.246,8.223,82.085
14.01799113699036,9.296,58.85,37.27
-25.25286765729379,45.279,104.874,131.959
-90.36882414588877,39.02,156.705,86.572
-89.3354562242236,34.233,156.372,75.16
20.432747458892678,22.107,152.99,30.473
-72.0989468909206,27.438,5.365,80.713
32.52526676701058,46.484,160.179,28.938
30.339418186624656,75.51,130.969,4.219
-27.79047850356504,28.529,39.162,62.196
-136.0022514378249,17.94,63.593,79.037
5.295435421118881,40.945,56.621,37.691
-45.23866937845489,30.484,114.231,132.638
-50.217986250628954,42.772,161.701,13.315
-104.69855393568375,41.836,-4.599,31.435
10.108844778102963,12.172,126.454,59.671
30.37868739216063,12.218,70.154,13.955
-60.561611837264536,12.354,28.779,61.804
-86.4521625427626,81.689,110.384,133.919
-5.174684424724802,61.479,32.764,62.108
-54.78453847929032,72.343,135.787,48.45
-130.69038127522663,31.282,62.564,26.262
-78.12856144408349,66.94,146.462,25.608
-31.674304821774058,43.741,167.08,5.197
-42.457742774193406,31.055,141.982,57.326
-76.22746508210629,51.279,73.691,45.559
-0.8602965808406822,89.248,164.769,44.836
-64.46037920601871,114.83,117.501,126.504
-106.69202124660053,98.404,42.612,13.61
-10.507077409726506,96.266,73.947,55.863
50.22331163703529,24.576,75.231,54.998
-29.443231409891325,85.339,153.168,121.826
-69.94933069810288,87.499,38.203,12.07
-8.975123342749583,65.535,51.463,55.941
30.85680808804821,51.719,143.128,48.688
-38.98661341738325,89.893,73.344,127.876
-31.520926223498392,39.049,59.393,49.742
-45.80758084034602,23.041,-1.636,132.848
-54.99887446390075,31.703,22.321,106.258
-62.97323392508005,86.588,1.175,111.316
-53.127400938562886,78.815,-10.241,10.68
-85.43225913403417,12.301,143.607,106.717
-15.32482495949499,88.929,89.672,65.39
-74.24121467871983,80.033,47.712,19.982
-63.04868365489369,74.412,-3.259,120.874
15.174729173014029,9.685,11.693,118.028
-43.890387054429226,39.562,27.522,79.86
-77.85595270586218,7.563,3.652,4.469
-25.219307136544444,41.806,-0.63,36.674
-66.11999001079018,77.873,25.766,125.915
-7.234162154083222,91.887,26.781,73.975
-18.179167039458065,42.411,147.376,32.045
-47.96600000000001,20.289,107.477,122.244
1.4308749302446842,64.618,142.715,45.026
-8.300206925640296,9.034,85.887,82.605
-11.445682584754877,85.762,95.842,31.24
-13.674179677131931,102.411,62.816,99.318
50.88587194694133,65.37,145.095,102.688
-167.07000000000002,107.471,164.388,20.275
-25.57560075467481,71.945,-9.193,102.832
-90.12706974003608,12.045,-6.798,103.192
53.11620584082722,98.578,20.928,12.168
-91.80430554510683,17.971,168.051,131.97
-108.71547877072817,81.768,-9.183,23.264
-29.81796015512667,62.267,20.556,38.905
-37.58234868981489,40.651,36.605,32.513
-67.51278479221247,110.992,81.38,104.659
-30.795873482701893,115.795,10.149,42.094
-33.528528799681126,79.642,130.27,9.916
-24.828990077757283,53.387,39.833,29.048
116.74370434710042,71.266,101.041,93.036
-13.807230344318612,76.812,31.67,81.745
-65.87600491730296,35.732,47.65,58.482
26.76729312295339,24.953,62.127,36.267
0.6783629022735198,40.687,172.618,67.935
43.971033235762576,67.575,43.059,112.597
29.767809298113775,7.259,52.366,46.724
4.32543278446569,65.137,74.504,21.585
-30.007071630539883,76.138,112.11,40.907
-79.70288147743774,55.422,120.438,56.449
-61.500294985043354,100.618,101.686,83.672
-48.18708117723256,82.674,172.894,4.116
-46.427918123386775,21.374,99.423,86.69
