Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9
155.22172255599443,55.569,62.514,-34.015,71.146,-10.228,182.894,49.653,87.858,105.131
221.99454971528473,14.68,106.481,-29.18,66.726,3.537,129.437,13.557,119.262,95.546
236.86324722878157,111.568,115.899,18.525,61.224,44.172,-3.222,24.755,136.509,79.877
247.0112038166965,81.664,-19.496,22.048,152.466,49.877,80.311,100.948,113.171,74.274
206.1612036017346,64.154,9.254,-28.333,75.996,2.585,152.519,105.466,147.634,65.238
188.38949620482947,61.045,-28.526,80.491,136.902,-29.726,113.831,63.218,128.453,83.124
180.27293172915978,60.639,70.747,113.388,60.713,77.972,177.131,121.355,104.186,21.453
211.08593404512396,22.899,-27.191,128.965,69.578,7.828,155.778,32.876,115.295,48.579
263.5046072932058,42.112,96.844,-16.802,73.885,101.898,139.013,-42.273,96.137,94.46
210.41502289880714,6.274,6.025,-19.315,162.522,22.14,188.142,59.732,130.894,23.895
151.42204088593974,-8.457,-15.003,-33.219,149.742,97.901,44.246,-17.488,119.368,54.342
175.3978569679133,80.339,68.031,46.025,150.006,42.547,24.128,107.742,60.323,74.097
190.51799200920036,56.751,-44.215,-4.109,55.027,86.398,141.557,13.479,126.886,94.444
207.43713974352892,103.353,98.393,116.721,96.98,85.117,21.487,-2.62,100.222,100.824
186.97843373582768,11.265,97.294,-21.772,166.15,28.039,105.842,95.652,59.141,74.194
217.90160839413358,111.369,102.816,102.634,68.404,89.861,172.233,-18.221,129.392,8.863
176.3737723308658,-3.304,89.271,28.947,132.768,-34.704,78.335,97.833,108.278,11.064
275.0857098832065,66.855,-26.638,23.335,136.534,58.642,10.997,47.919,65.133,87.419
193.55209015096625,0.494,-17.766,129.5,108.179,15.059,-1.053,28.616,56.705,57.631
185.77778395643625,1.95,22.305,105.105,91.583,31.29,155.295,38.481,128.988,75.594
75.48516675417244,11.749,17.353,-3.196,149.797,-12.001,11.508,81.524,111.22,49.632
179.2819695505195,10.628,29.935,2.225,86.584,73.531,146.766,-31.551,120.004,82.95
169.60611729976443,101.179,76.834,45.873,98.809,36.124,89.006,3.604,96.368,76.085
157.88278791652095,103.95,27.561,-26.192,144.609,74.966,34.645,4.381,103.794,36.904
203.5382886830559,110.512,-33.979,31.983,85.689,85.4,72.424,120.484,106.086,85.07
194.0006844373284,92.635,97.638,124.918,77.204,73.675,133.217,91.916,129.513,96.394
172.15668957863576,23.108,-33.198,5.081,153.579,88.214,58.186,114.014,106.181,43.209
200.2130398589476,68.105,57.252,114.878,172.417,70.681,9.826,88.857,104.724,60.233
288.18388300888597,22.911,93.908,-24.705,93.395,85.805,109.262,90.094,74.591,35.767
245.0920063783284,101.429,101.049,21.181,109.965,50.144,142.834,39.049,132.746,89.884
210.50104105189388,100.461,83.013,53.148,159.984,97.092,36.755,-0.03,78.499,23.377
187.49993624571613,100.385,40.175,-39.384,142.868,100.157,90.195,90.86,97.487,56.109
137.87300000000002,70.993,25.287,129.843,159.407,-2.608,2.979,42.546,130.874,50.385
197.1367685687433,65.019,-29.329,-5.478,91.204,48.34,165.867,36.364,116.723,17.759
207.47900566088333,78.263,42.595,-10.065,65.109,11.889,76.075,-39.318,101.031,91.563
209.1783592625605,73.845,28.93,47.741,142.832,0.572,164.462,1.353,67.349,85.5
234.6827751815793,71.099,62.467,-35.767,103.439,-27.648,27.296,52.65,124.179,83.892
152.6605297967757,86.159,-39.5,13.007,123.722,18.631,118.2,94.088,115.698,72.047
175.84452440023273,90.0,95.423,-2.791,139.858,51.063,60.41,95.523,57.762,16.526
214.38817073412673,110.495,58.565,106.835,165.298,34.881,123.752,3.256,126.977,104.009
228.9278733004404,53.989,-16.93,15.283,113.508,-0.399,194.798,94.411,52.823,89.176
176.53254774416848,106.231,6.415,111.843,123.051,39.623,150.67,14.63,47.103,21.665
224.5781673695833,61.719,51.129,38.808,159.78,4.04,72.459,5.223,83.813,97.574
186.046918063428,74.785,-10.993,-23.412,104.539,38.717,21.142,-37.731,129.654,72.153
206.14894304585692,99.968,98.674,5.078,92.225,49.03,79.293,94.481,60.571,10.274
309.74888381717705,91.012,50.21,-16.564,162.986,34.323,45.181,38.679,147.867,81.542
261.5769989826886,113.635,16.598,-8.133,117.437,-4.78,187.927,49.324,87.641,78.984
190.05132991539037,41.307,0.717,-10.43,149.938,73.88,-3.153,-23.837,102.774,81.625
280.3722163289229,93.208,40.91,108.488,130.006,-29.179,145.916,89.624,86.335,38.793
183.4426075974702,9.946,-30.219,124.348,80.044,41.661,163.739,37.794,58.619,31.988
224.5778595342067,65.359,93.993,127.841,48.372,24.049,194.389,-26.593,49.627,10.728
201.3140408661758,10.878,-16.709,53.215,148.735,103.411,138.185,0.756,113.497,24.158
195.79429229768513,91.855,108.599,35.795,108.382,56.61,124.383,63.487,121.413,27.83
194.57358397372886,-12.004,38.208,3.128,103.509,34.322,51.383,62.174,78.478,52.88
201.11800022990855,95.394,84.748,114.579,173.739,100.255,126.23,59.313,93.516,84.728
242.99934034849815,4.308,80.464,116.663,111.339,-0.076,118.875,-20.696,59.091,94.301
267.97220392143333,-1.822,92.536,56.018,160.405,24.932,165.928,-18.827,63.183,104.521
183.00090558981262,11.574,-41.262,-36.001,123.362,97.959,189.481,0.06,59.778,84.681
156.3041357497824,52.263,24.71,118.137,48.045,77.018,158.085,65.669,146.788,36.647
202.90407989964493,-6.244,107.03,-37.241,151.042,47.35,128.843,24.943,120.334,89.393
163.52181386997808,10.618,88.546,45.603,106.064,-2.782,154.571,-39.611,136.362,56.461
154.17416699848877,41.995,-32.552,106.011,115.153,-27.549,83.703,53.205,101.881,88.57
194.94575826849558,92.584,38.041,30.614,164.842,-17.478,93.528,-9.387,113.889,57.977
357.96892099128047,81.76,17.101,127.6,106.854,65.014,35.419,-19.126,61.627,57.539
190.1667033964775,14.703,77.885,28.734,122.924,95.669,100.738,-36.331,146.068,93.633
228.3954485455431,42.522,40.53,25.46,106.84,74.35,24.913,11.514,116.451,44.39
264.9512854840085,12.943,113.301,57.811,55.998,47.941,15.569,28.855,98.279,56.869
206.80717348171765,-12.189,105.667,-38.639,132.944,-30.838,62.991,-0.25,108.312,103.852
184.30764271783474,-11.383,100.759,-17.618,98.765,84.655,137.804,-4.796,108.582,8.578
310.75817109296105,9.681,1.837,100.346,139.01,-21.438,102.724,28.441,53.632,62.557
232.188142799782,39.102,17.875,110.729,78.994,56.273,192.215,108.338,127.963,60.773
146.79062089648153,-0.14,36.414,-34.383,94.69,-33.201,43.378,38.078,84.828,80.226
187.35822932663478,108.569,58.936,20.931,155.827,51.969,125.116,84.064,144.998,13.888
156.95413646877864,117.381,-10.588,36.135,66.095,94.557,18.948,-17.932,133.022,75.29
161.69200189137572,17.825,91.595,91.123,92.207,0.657,132.865,74.138,143.628,22.191
196.0244622923788,64.157,-38.242,107.919,71.895,56.59,4.449,36.056,100.869,99.711
158.82526212044644,12.209,95.94,-15.344,152.953,15.95,82.521,82.94,58.34,16.75
240.03162190423365,32.706,38.126,77.119,105.815,14.542,116.059,71.0,48.3,56.795
152.8349696501856,31.44,80.193,48.598,111.104,27.055,21.055,16.576,75.621,56.769
217.8392571757908,8.671,52.168,100.668,93.71,87.05,117.023,-19.742,108.268,50.902
222.8098299432855,44.567,82.086,44.833,59.82,101.768,111.027,65.103,57.811,40.505
187.32541673506788,117.41,-32.887,35.336,96.852,22.406,190.798,-35.262,146.862,99.822
213.51181774430376,37.172,107.532,12.312,153.245,25.994,182.207,-12.899,99.924,62.197
182.31033941569675,3.389,-29.582,71.154,173.768,72.306,162.062,0.534,112.139,20.433
192.4335591775717,17.301,-19.27,121.081,61.9,63.547,10.548,33.857,110.174,67.368
199.88519930625554,13.279,24.876,49.616,160.518,28.092,166.334,20.272,61.709,86.192
212.99860395648494,25.387,85.194,10.134,109.239,-14.451,53.81,108.764,46.178,33.616
201.55192532991953,20.396,65.953,54.962,157.42,-33.187,119.255,34.386,145.514,23.782
125.02724358375809,107.831,-18.607,73.248,129.727,19.826,111.76,-33.648,115.574,52.602
268.8306563345848,74.321,16.122,-13.896,123.396,91.116,73.444,86.026,79.844,37.185
184.12494318320452,43.986,42.646,36.135,89.207,72.96,184.505,-43.254,57.16,101.543
170.42738704703584,2.914,-4.889,-32.552,67.759,63.02,114.322,-32.881,141.843,22.592
192.3913465710072,1.059,-29.134,-36.993,96.196,-25.413,196.884,-43.046,78.773,10.876
200.0070408780839,53.467,57.529,60.244,169.345,12.915,152.817,2.962,100.489,70.854
154.07279201888227,75.946,-2.234,9.553,65.143,61.335,5.654,15.238,117.716,9.283
103.9107297353577,86.589,55.217,23.836,80.291,61.734,197.374,84.362,49.503,34.424
217.5265451326654,91.488,18.865,-19.539,72.535,-10.927,146.062,1.646,60.971,65.754
209.30571583340486,-0.257,112.49,10.892,159.736,-30.487,126.436,-13.912,78.479,11.748
199.42056907262287,56.812,99.94,86.306,124.386,49.222,14.662,18.663,74.777,67.522
188.25617355362098,86.627,89.829,104.98,90.302,-21.002,17.108,-6.936,133.794,53.238
215.15212431734867,36.863,6.494,-34.832,140.939,0.163,122.329,42.363,91.75,103.894
202.99627036794217,12.178,-19.076,53.574,154.093,-3.69,113.699,83.232,64.927,80.382
