Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
159.73203702068048,81.75,114.127,72.447,100.793,74.04,100.291,161.67,-10.469,174.513,181.693,-2.341,148.2,98.887,91.372
153.36368620493724,33.691,97.487,13.146,168.636,77.005,71.543,21.578,36.135,70.677,27.288,117.469,11.937,135.799,70.553
159.92943660019844,129.825,1.277,38.925,168.833,61.93,47.563,-23.048,81.858,139.431,54.013,4.063,77.115,154.967,101.19
158.28492480309401,15.851,91.178,32.658,79.447,103.567,111.393,155.579,90.767,100.82,160.261,5.702,7.096,94.532,22.13
144.07254247788444,155.878,139.899,90.036,84.919,92.866,27.072,163.591,128.398,48.132,182.051,125.435,108.382,61.411,125.814
144.37952564772812,61.111,8.649,63.099,107.259,98.026,-22.181,-25.73,135.7,84.82,127.038,83.49,28.002,161.581,40.957
144.49821694547705,29.336,17.975,63.126,91.089,101.067,83.922,95.168,8.106,118.79,116.77,118.592,124.055,74.919,162.199
147.6230204962601,55.141,37.503,50.831,85.397,109.543,50.897,113.594,-11.495,69.992,120.286,137.849,21.309,117.192,89.041
147.096726059639,152.196,101.849,29.659,26.083,90.285,42.792,-32.725,39.37,161.016,49.81,121.535,102.0,108.252,14.378
144.0197817567675,25.059,70.681,8.015,28.346,61.447,110.372,61.764,-4.572,37.161,101.661,89.641,85.332,144.846,161.052
149.84224345392184,66.957,61.952,71.278,93.653,90.516,-16.382,124.695,43.853,105.257,110.291,46.645,172.01,75.255,72.263
145.43773493656053,102.754,21.781,16.763,48.801,45.355,64.679,126.88,52.133,172.966,185.537,89.566,31.336,148.742,9.476
143.37293329058295,-6.467,50.16,45.818,137.648,107.109,18.696,-26.735,70.727,147.279,90.479,79.536,-7.087,123.759,100.354
144.93933301081353,-41.878,35.274,47.039,71.599,67.124,47.314,41.33,51.501,38.735,41.831,147.529,77.432,118.816,87.506
156.5248196804101,32.592,125.147,72.763,96.482,106.211,72.606,31.95,1.555,56.398,149.445,124.735,43.642,78.929,111.422
154.1446536522355,-37.626,100.953,33.827,103.878,58.065,142.019,164.927,-6.946,159.307,108.288,-8.393,9.751,151.575,83.305
150.9768034749868,-16.034,103.1,11.789,72.796,88.983,68.309,35.838,145.177,161.714,48.538,24.689,75.588,157.905,106.5
141.76791179047754,-14.152,69.325,63.028,78.062,93.012,61.289,142.767,85.539,64.254,139.571,139.1,181.993,47.362,42.947
